BE,counts/s
295.0,341.87983
294.9,360.30913
294.8,379.76155
294.7,391.07808
294.6,369.31442
294.5,378.90711
294.4,356.47304
294.3,393.23945
294.2,368.56478
294.1,352.13049
294.0,345.81533
293.9,376.32165
293.8,383.97348
293.7,333.55841
293.6,335.91566
293.5,349.09068
293.4,382.8426
293.3,371.08918
293.2,384.97371
293.1,360.39103
293.0,383.73039
292.9,368.38984
292.8,333.91159
292.7,369.40418
292.6,366.40951
292.5,359.12224
292.4,379.08129
292.3,334.29794
292.2,387.57925
292.1,368.05017
292.0,331.3592
291.9,342.28771
291.8,350.02964
291.7,371.61831
291.6,355.65787
291.5,367.09079
291.4,367.21434
291.3,348.41389
291.2,378.95566
291.1,331.54766
291.0,367.76606
290.9,350.01984
290.8,335.25638
290.7,348.13848
290.6,373.90142
290.5,373.01531
290.4,359.02386
290.3,351.23526
290.2,376.33655
290.1,374.0933
290.0,348.66809
289.9,349.40011
289.8,338.22252
289.7,340.4146
289.6,366.46857
289.5,361.29899
289.4,372.70623
289.3,378.68448
289.2,347.85288
289.1,362.76871
289.0,331.0712
288.9,345.918
288.8,362.32874
288.7,363.7426
288.6,344.59275
288.5,352.34366
288.4,348.1348
288.3,385.64365
288.2,367.63505
288.1,343.88835
288.0,323.48593
287.9,351.75323
287.8,352.11625
287.7,362.13278
287.6,364.58046
287.5,353.05718
287.4,362.89088
287.3,374.8557
287.2,358.19555
287.1,337.87188
287.0,373.14838
286.9,405.74732
286.8,364.88846
286.7,386.51483
286.6,402.68071
286.5,375.80867
286.4,377.0067
286.3,421.95804
286.2,381.46109
286.1,364.3026
286.0,386.88323
285.9,383.20037
285.8,399.63149
285.7,360.95574
285.6,402.94899
285.5,401.82195
285.4,388.22681
285.3,373.47676
285.2,340.21353
285.1,392.5209
285.0,377.62363
284.9,403.03775
284.8,393.31434
284.7,383.69059
284.6,364.88467
284.5,374.49027
284.4,371.83319
284.3,359.1599
284.2,319.30843
284.1,330.89738
284.0,323.00708
283.9,386.40753
283.8,366.85308
283.7,344.32669
283.6,348.52804
283.5,355.70408
283.4,345.97253
283.3,335.67415
283.2,348.53112
283.1,370.94299
283.0,373.30796
282.9,351.42866
282.8,373.43961
282.7,346.67295
282.6,351.41976
282.5,342.24321
282.4,343.79212
282.3,374.25234
282.2,350.30955
282.1,338.07162
282.0,366.31889
281.9,345.32233
281.8,362.84889
281.7,349.36878
281.6,337.18656
281.5,339.03481
281.4,360.77789
281.3,345.34762
281.2,347.46227
281.1,346.82761
281.0,354.87358
280.9,358.03544
280.8,335.54074
280.7,367.20732
280.6,363.56003
280.5,353.69889
280.4,393.20159
280.3,366.54846
280.2,325.34908
280.1,378.36898
280.0,369.43297
