BE,counts/s
1300.0,16230.813
1299.0,16100.74
1298.0,16607.548
1297.0,16455.755
1296.0,16344.363
1295.0,16303.519
1294.0,16030.159
1293.0,16643.863
1292.0,16652.822
1291.0,16218.891
1290.0,16625.857
1289.0,16822.459
1288.0,16908.868
1287.0,16801.044
1286.0,16499.017
1285.0,16895.324
1284.0,16586.355
1283.0,16606.413
1282.0,16721.26
1281.0,16718.439
1280.0,17130.441
1279.0,16379.147
1278.0,16558.283
1277.0,16353.73
1276.0,16527.583
1275.0,16877.381
1274.0,16811.765
1273.0,16361.757
1272.0,17189.725
1271.0,16794.549
1270.0,17275.138
1269.0,17249.575
1268.0,17000.879
1267.0,16495.399
1266.0,16918.27
1265.0,16986.729
1264.0,17157.016
1263.0,16882.859
1262.0,17137.146
1261.0,17416.62
1260.0,17233.577
1259.0,17120.692
1258.0,17349.06
1257.0,17155.297
1256.0,17409.766
1255.0,17496.25
1254.0,17374.83
1253.0,17168.946
1252.0,17354.435
1251.0,17843.697
1250.0,17405.381
1249.0,17788.356
1248.0,18278.381
1247.0,17979.622
1246.0,18043.05
1245.0,17895.215
1244.0,17942.246
1243.0,17919.27
1242.0,18451.783
1241.0,18427.91
1240.0,18607.153
1239.0,18069.993
1238.0,18391.363
1237.0,17696.78
1236.0,18483.45
1235.0,18162.571
1234.0,17985.409
1233.0,17980.674
1232.0,18633.513
1231.0,19759.961
1230.0,19838.388
1229.0,20110.372
1228.0,19432.997
1227.0,19319.433
1226.0,19659.006
1225.0,18975.835
1224.0,18021.724
1223.0,18393.936
1222.0,17920.179
1221.0,17348.051
1220.0,17514.026
1219.0,16799.136
1218.0,16833.122
1217.0,16458.797
1216.0,16422.944
1215.0,15924.28
1214.0,15232.863
1213.0,14997.887
1212.0,15118.995
1211.0,15664.122
1210.0,15272.026
1209.0,14845.231
1208.0,15201.631
1207.0,15012.646
1206.0,15204.745
1205.0,15193.268
1204.0,15153.515
1203.0,15262.949
1202.0,15227.886
1201.0,15420.427
1200.0,15616.752
1199.0,16035.287
1198.0,15293.401
1197.0,15526.389
1196.0,15899.797
1195.0,15441.633
1194.0,15070.746
1193.0,15356.586
1192.0,15134.035
1191.0,15228.549
1190.0,15570.331
1189.0,15091.762
1188.0,15088.866
1187.0,15049.393
1186.0,14936.121
1185.0,15287.567
1184.0,15215.145
1183.0,14932.635
1182.0,15222.616
1181.0,14939.551
1180.0,14902.723
1179.0,15664.509
1178.0,15376.348
1177.0,15688.76
1176.0,15346.956
1175.0,15139.203
1174.0,15444.094
1173.0,15841.057
1172.0,15997.375
1171.0,15616.153
1170.0,15459.447
1169.0,15013.422
1168.0,15479.764
1167.0,14959.079
1166.0,15348.071
1165.0,16047.24
1164.0,15686.208
1163.0,15917.707
1162.0,15931.63
1161.0,15679.385
1160.0,15574.137
1159.0,15679.641
1158.0,15183.496
1157.0,15182.948
1156.0,15797.326
1155.0,15357.206
1154.0,15311.115
1153.0,15776.529
1152.0,15695.924
1151.0,15547.653
1150.0,15770.474
1149.0,15436.323
1148.0,15873.714
1147.0,15740.94
1146.0,16150.535
1145.0,16277.724
1144.0,15394.214
1143.0,16109.254
1142.0,16191.564
1141.0,15642.452
1140.0,15903.294
1139.0,15735.613
1138.0,15700.262
1137.0,16334.172
1136.0,16057.651
1135.0,15453.247
1134.0,15741.469
1133.0,15940.924
1132.0,15925.186
1131.0,15551.58
1130.0,15687.463
1129.0,16095.858
1128.0,15974.095
1127.0,15610.314
1126.0,15582.157
1125.0,15509.209
1124.0,15867.321
1123.0,15897.31
1122.0,15876.249
1121.0,15966.892
1120.0,15565.717
1119.0,16347.765
1118.0,16395.899
1117.0,16120.889
1116.0,15827.882
1115.0,16358.475
1114.0,16402.06
1113.0,15498.619
1112.0,15911.615
1111.0,15839.589
1110.0,16243.101
1109.0,15843.99
1108.0,15926.86
1107.0,15635.221
1106.0,15281.354
1105.0,15570.397
1104.0,16161.102
1103.0,15531.1
1102.0,15482.504
1101.0,16023.941
1100.0,16303.895
1099.0,15864.47
1098.0,16198.246
1097.0,15948.735
1096.0,15982.391
1095.0,16316.957
1094.0,16017.465
1093.0,15944.245
1092.0,16345.947
1091.0,16352.959
1090.0,15962.32
1089.0,15980.755
1088.0,16200.882
1087.0,16141.81
1086.0,15866.611
1085.0,16023.816
1084.0,16070.108
1083.0,16414.245
1082.0,16041.297
1081.0,15741.527
1080.0,16232.33
1079.0,15980.002
1078.0,16136.751
1077.0,16401.531
1076.0,16226.179
1075.0,15979.535
1074.0,16776.677
1073.0,17053.976
1072.0,17321.449
1071.0,16082.002
1070.0,15705.14
1069.0,16408.33
1068.0,16243.311
1067.0,15784.974
1066.0,16416.969
1065.0,16545.655
1064.0,16585.8
1063.0,16541.505
1062.0,16140.733
1061.0,16232.991
1060.0,16321.569
1059.0,16214.118
1058.0,16334.011
1057.0,16252.059
1056.0,16441.212
1055.0,16328.634
1054.0,16104.765
1053.0,15962.135
1052.0,15978.343
1051.0,16144.525
1050.0,16340.55
1049.0,16554.719
1048.0,16422.358
1047.0,16530.87
1046.0,16533.87
1045.0,16943.241
1044.0,16427.849
1043.0,16222.262
1042.0,16367.404
1041.0,16085.499
1040.0,16410.032
1039.0,16355.797
1038.0,16642.164
1037.0,16726.765
1036.0,16819.445
1035.0,16587.276
1034.0,16488.018
1033.0,16398.032
1032.0,16486.388
1031.0,16329.432
1030.0,16796.034
1029.0,16011.147
1028.0,16278.634
1027.0,16237.481
1026.0,16453.995
1025.0,16621.883
1024.0,16476.38
1023.0,16952.617
1022.0,16511.945
1021.0,16355.847
1020.0,16679.692
1019.0,16777.467
1018.0,16371.751
1017.0,16594.37
1016.0,16681.858
1015.0,16495.076
1014.0,16451.355
1013.0,16063.88
1012.0,15415.314
1011.0,15814.483
1010.0,15573.806
1009.0,16069.592
1008.0,16025.149
1007.0,16028.223
1006.0,16097.053
1005.0,16826.741
1004.0,17077.816
1003.0,17195.704
1002.0,17035.652
1001.0,16644.51
1000.0,16249.766
999.0,16241.922
998.0,16160.452
997.0,15717.218
996.0,15322.619
995.0,15133.53
994.0,14648.879
993.0,14196.62
992.0,13525.203
991.0,13559.293
990.0,13430.675
989.0,13504.149
988.0,13359.918
987.0,13272.466
986.0,13530.198
985.0,14298.922
984.0,15770.116
983.0,16368.736
982.0,17269.129
981.0,18116.86
980.0,18700.72
979.0,17027.763
978.0,15536.783
977.0,14337.755
976.0,13347.364
975.0,12635.358
974.0,12163.668
973.0,11832.756
972.0,11441.579
971.0,11629.602
970.0,10495.074
969.0,10097.351
968.0,9748.9715
967.0,9596.0277
966.0,9263.107
