BE,counts/s
1300.0,15644.564
1299.0,15704.297
1298.0,15514.452
1297.0,15879.363
1296.0,16388.777
1295.0,15594.102
1294.0,15977.706
1293.0,16481.162
1292.0,15814.956
1291.0,15717.537
1290.0,15897.571
1289.0,15786.042
1288.0,15479.613
1287.0,15774.652
1286.0,16283.487
1285.0,16224.938
1284.0,15566.679
1283.0,15831.608
1282.0,15552.035
1281.0,15933.851
1280.0,15866.378
1279.0,15876.626
1278.0,15725.191
1277.0,15451.279
1276.0,15353.405
1275.0,15737.907
1274.0,16008.542
1273.0,15738.686
1272.0,15533.437
1271.0,15380.874
1270.0,15623.374
1269.0,15830.626
1268.0,15814.017
1267.0,15731.066
1266.0,15867.404
1265.0,15706.116
1264.0,15353.786
1263.0,15768.328
1262.0,16035.329
1261.0,15880.534
1260.0,15800.452
1259.0,15889.546
1258.0,15948.553
1257.0,15848.68
1256.0,16300.123
1255.0,15981.331
1254.0,16341.312
1253.0,15931.096
1252.0,16602.898
1251.0,15994.948
1250.0,15728.755
1249.0,16088.864
1248.0,15990.755
1247.0,15813.028
1246.0,15942.748
1245.0,15840.141
1244.0,15699.313
1243.0,15964.884
1242.0,16082.746
1241.0,16720.306
1240.0,16054.667
1239.0,16287.262
1238.0,16573.278
1237.0,16235.282
1236.0,16038.112
1235.0,16539.857
1234.0,16951.06
1233.0,17068.934
1232.0,16397.889
1231.0,16453.685
1230.0,16543.726
1229.0,16478.915
1228.0,16422.477
1227.0,16625.575
1226.0,16509.434
1225.0,16454.13
1224.0,16407.093
1223.0,16810.635
1222.0,16626.923
1221.0,16515.951
1220.0,16866.498
1219.0,16685.492
1218.0,16701.048
1217.0,16505.733
1216.0,16444.091
1215.0,16128.968
1214.0,16459.046
1213.0,16147.781
1212.0,15834.767
1211.0,15643.935
1210.0,15284.749
1209.0,15315.429
1208.0,16103.1
1207.0,16065.026
1206.0,15847.702
1205.0,16590.629
1204.0,15847.122
1203.0,15727.759
1202.0,15628.733
1201.0,15523.278
1200.0,15573.032
1199.0,15932.921
1198.0,15714.489
1197.0,15488.254
1196.0,16040.812
1195.0,15414.496
1194.0,15803.046
1193.0,15428.428
1192.0,15425.299
1191.0,15569.518
1190.0,15604.183
1189.0,15535.254
1188.0,15645.639
1187.0,15306.677
1186.0,15908.209
1185.0,15657.969
1184.0,15869.376
1183.0,15644.759
1182.0,15582.634
1181.0,15621.135
1180.0,15018.812
1179.0,15290.915
1178.0,15542.557
1177.0,15828.282
1176.0,16130.218
1175.0,15787.638
1174.0,16014.705
1173.0,15797.412
1172.0,15692.727
1171.0,15280.974
1170.0,15833.363
1169.0,15800.786
1168.0,15837.965
1167.0,15859.889
1166.0,15762.202
1165.0,15486.69
1164.0,15018.077
1163.0,15877.624
1162.0,15726.014
1161.0,15441.337
1160.0,15334.061
1159.0,15884.532
1158.0,15830.999
1157.0,16011.39
1156.0,15683.299
1155.0,15838.797
1154.0,15711.398
1153.0,15803.701
1152.0,16208.481
1151.0,16140.677
1150.0,16003.998
1149.0,15566.174
1148.0,16163.025
1147.0,15952.57
1146.0,15668.355
1145.0,15600.934
1144.0,15782.897
1143.0,15772.717
1142.0,15534.642
1141.0,15534.086
1140.0,15421.947
1139.0,15808.979
1138.0,15931.445
1137.0,15434.822
1136.0,15623.571
1135.0,15768.319
1134.0,15791.956
1133.0,15896.156
1132.0,15907.557
1131.0,15611.05
1130.0,15774.191
1129.0,15903.828
1128.0,15687.423
1127.0,15990.509
1126.0,15734.585
1125.0,15732.146
1124.0,16400.776
1123.0,15819.177
1122.0,16098.72
1121.0,16353.321
1120.0,16237.298
1119.0,16313.654
1118.0,16599.254
1117.0,16278.621
1116.0,15822.148
1115.0,16135.725
1114.0,16295.046
1113.0,16619.943
1112.0,16210.485
1111.0,15742.941
1110.0,16363.513
1109.0,16369.202
1108.0,16311.008
1107.0,16499.252
1106.0,16480.091
1105.0,16342.573
1104.0,16266.119
1103.0,15997.812
1102.0,16105.28
1101.0,16173.655
1100.0,15700.629
1099.0,16147.043
1098.0,16178.746
1097.0,16340.278
1096.0,16973.441
1095.0,16192.901
1094.0,16275.123
1093.0,16242.282
1092.0,16478.763
1091.0,16281.497
1090.0,16552.933
1089.0,16579.164
1088.0,16355.284
1087.0,16088.448
1086.0,16827.344
1085.0,16609.498
1084.0,16207.957
1083.0,16263.018
1082.0,16530.353
1081.0,16238.047
1080.0,16457.386
1079.0,16358.923
1078.0,16935.876
1077.0,17267.094
1076.0,17187.754
1075.0,17121.551
1074.0,17336.658
1073.0,16937.483
1072.0,17133.123
1071.0,16977.424
1070.0,16887.724
1069.0,16883.459
1068.0,16507.305
1067.0,16732.554
1066.0,17097.206
1065.0,16666.23
1064.0,16618.635
1063.0,16961.139
1062.0,17224.286
1061.0,17179.343
1060.0,17080.658
1059.0,17236.697
1058.0,17028.822
1057.0,17246.764
1056.0,17401.14
1055.0,17352.038
1054.0,17211.721
1053.0,17205.613
1052.0,17086.772
1051.0,17365.964
1050.0,17294.622
1049.0,17826.864
1048.0,17484.808
1047.0,17773.462
1046.0,17556.062
1045.0,17212.449
1044.0,17731.208
1043.0,17280.834
1042.0,17791.786
1041.0,17867.027
1040.0,17877.086
1039.0,17983.765
1038.0,17983.177
1037.0,18046.08
1036.0,17689.392
1035.0,17605.383
1034.0,17877.9
1033.0,17907.598
1032.0,17725.905
1031.0,17786.354
1030.0,18178.482
1029.0,18668.835
1028.0,18476.119
1027.0,18855.989
1026.0,19111.018
1025.0,18875.191
1024.0,18753.357
1023.0,18814.929
1022.0,18901.245
1021.0,19440.614
1020.0,19562.415
1019.0,19924.833
1018.0,19643.088
1017.0,19161.844
1016.0,18733.288
1015.0,18562.952
1014.0,18567.29
1013.0,18487.688
1012.0,18178.161
1011.0,18348.75
1010.0,18544.938
1009.0,19743.175
1008.0,20353.7
1007.0,20519.538
1006.0,21170.117
1005.0,21592.656
1004.0,22313.162
1003.0,22378.908
1002.0,22411.011
1001.0,21110.341
1000.0,20211.162
999.0,20100.406
998.0,19236.053
997.0,18438.094
996.0,18113.897
995.0,18148.725
994.0,16916.112
993.0,16847.597
992.0,17286.38
991.0,17716.037
990.0,18282.088
989.0,18302.267
988.0,18541.556
987.0,19573.556
986.0,21130.579
985.0,23506.592
984.0,25192.446
983.0,26448.256
982.0,28075.616
981.0,28671.073
980.0,26221.071
979.0,23157.531
978.0,19963.865
977.0,18360.776
976.0,16935.184
975.0,15662.893
974.0,14188.956
973.0,13339.992
972.0,12336.929
971.0,11548.346
970.0,10693.049
969.0,10117.953
968.0,9696.4842
967.0,9424.8788
966.0,9570.918
965.0,9625.7735
964.0,9811.432
963.0,9475.3332
962.0,9438.9538
961.0,9574.2869
960.0,9335.864
959.0,9810.6539
958.0,9595.6965
957.0,9397.699
956.0,9396.5812
955.0,9091.147
954.0,9331.6387
953.0,9674.6398
952.0,9443.1758
951.0,9591.5634
950.0,9145.7443
949.0,9434.2618
948.0,9654.1592
947.0,9330.9203
946.0,9376.0449
945.0,9422.3624
944.0,9237.0726
943.0,9695.056
942.0,9606.2072
941.0,9743.1216
940.0,9852.5148
939.0,9931.5208
938.0,9802.2787
937.0,9681.5325
936.0,9846.1041
935.0,9920.5666
934.0,9537.6152
933.0,9877.009
932.0,9933.7547
931.0,9675.441
930.0,9738.2137
929.0,9940.1498
928.0,9872.7807
927.0,9848.4154
926.0,9962.755
925.0,10273.155
924.0,10009.643
923.0,10212.595
922.0,9593.1396
921.0,9767.0078
920.0,9802.5413
919.0,9987.3623
918.0,10078.501
917.0,10273.336
916.0,10346.145
915.0,10462.767
914.0,10181.671
913.0,10254.483
912.0,9799.1521
911.0,9850.8867
910.0,10202.672
909.0,10402.757
908.0,10586.524
907.0,10451.51
906.0,10319.014
905.0,10045.614
904.0,10127.792
903.0,10072.363
902.0,10439.424
901.0,10089.029
900.0,10790.361
899.0,10513.385
898.0,10737.059
897.0,10675.135
896.0,10458.994
895.0,10435.941
894.0,9967.1137
893.0,10697.6
892.0,10550.58
891.0,10636.4
890.0,10434.721
889.0,10790.136
888.0,10735.481
887.0,10769.545
886.0,10602.749
885.0,10343.927
884.0,10733.697
883.0,11164.688
882.0,10725.057
881.0,10915.012
880.0,11030.651
879.0,10901.758
878.0,10856.283
877.0,11109.857
876.0,11096.767
875.0,11191.925
874.0,11146.948
873.0,11068.276
872.0,11222.493
871.0,11077.519
870.0,10999.587
869.0,11066.16
868.0,11387.903
867.0,11141.091
866.0,11116.227
865.0,10790.07
864.0,11077.54
863.0,11292.862
862.0,11277.353
861.0,11303.772
860.0,11206.515
859.0,10896.094
858.0,11405.318
857.0,11276.59
856.0,11461.867
855.0,11456.47
854.0,11264.294
853.0,11640.814
852.0,11763.423
851.0,11621.268
850.0,12089.184
849.0,11744.982
848.0,11600.042
847.0,11812.323
846.0,11629.602
845.0,11852.176
844.0,11955.796
843.0,11890.705
842.0,11784.475
841.0,11840.063
840.0,11715.539
839.0,12038.093
838.0,11918.87
837.0,12095.534
836.0,11795.263
835.0,12125.78
834.0,11780.534
833.0,11913.958
832.0,12259.171
831.0,11994.367
830.0,12321.384
829.0,11893.568
828.0,11913.21
827.0,12063.823
826.0,12236.407
825.0,12224.51
824.0,11944.457
823.0,11859.426
822.0,12333.185
821.0,12068.031
820.0,12010.111
819.0,12083.394
818.0,12333.525
817.0,12448.103
816.0,12474.977
815.0,12637.52
814.0,12419.152
813.0,12368.228
812.0,12265.854
811.0,12954.203
810.0,12545.394
809.0,12747.555
808.0,12577.47
807.0,13094.741
806.0,12806.896
805.0,12641.007
804.0,12906.749
803.0,12788.145
802.0,12914.669
801.0,12836.155
800.0,12810.181
799.0,12834.821
798.0,13370.132
797.0,13103.935
796.0,13235.563
795.0,13083.266
794.0,13174.905
793.0,13467.08
792.0,13038.065
791.0,12855.128
790.0,12824.771
789.0,13176.214
788.0,13669.564
787.0,13405.436
786.0,13375.791
785.0,13080.45
784.0,13451.964
783.0,13558.324
782.0,13279.339
781.0,13255.297
780.0,13108.436
779.0,13223.858
778.0,13257.599
777.0,13314.314
776.0,13600.19
775.0,13475.314
774.0,13527.433
773.0,13628.395
772.0,13413.954
771.0,13422.24
770.0,13344.966
769.0,13316.117
768.0,13503.114
767.0,13453.454
766.0,13414.107
765.0,14083.286
764.0,13555.279
763.0,13468.629
762.0,14122.456
761.0,13886.721
760.0,13894.349
759.0,13925.394
758.0,13862.99
757.0,14486.555
756.0,13885.463
755.0,13849.906
754.0,14281.768
753.0,14215.557
752.0,14183.099
751.0,14084.18
750.0,14246.315
749.0,14040.814
748.0,13962.746
747.0,13859.747
746.0,14104.349
745.0,14260.125
744.0,13716.477
743.0,13920.902
742.0,14120.656
741.0,14572.963
740.0,14509.242
739.0,14434.162
738.0,14109.427
737.0,14030.022
736.0,14186.493
735.0,14652.354
734.0,14375.286
733.0,14398.494
732.0,14701.896
731.0,14450.425
730.0,15105.476
729.0,14834.371
728.0,14945.02
727.0,14541.473
726.0,14670.741
725.0,14963.421
724.0,14570.814
723.0,14644.111
722.0,14573.507
721.0,14609.743
720.0,14704.001
719.0,15022.721
718.0,15048.258
717.0,14710.762
716.0,15015.492
715.0,14144.859
714.0,14737.421
713.0,15274.815
712.0,14911.581
711.0,14789.942
710.0,14779.518
709.0,14872.192
708.0,15357.692
707.0,15172.916
706.0,14914.574
705.0,15263.92
704.0,15123.741
703.0,15138.348
702.0,15140.277
701.0,15395.052
700.0,15347.36
699.0,15140.086
698.0,15007.668
697.0,15094.206
696.0,15061.341
695.0,15143.22
694.0,15229.677
693.0,15033.4
692.0,15480.008
691.0,15794.071
690.0,15692.887
689.0,14986.96
688.0,15172.953
687.0,15336.148
686.0,15737.262
685.0,15607.936
684.0,15751.717
683.0,15165.961
682.0,15475.318
681.0,15981.963
680.0,15664.469
679.0,16315.693
678.0,15958.805
677.0,15693.987
676.0,15740.552
675.0,15908.966
674.0,15923.439
673.0,15969.222
672.0,15887.395
671.0,16375.666
670.0,16055.903
669.0,16376.671
668.0,16753.336
667.0,15936.358
666.0,16222.286
665.0,16381.069
664.0,16344.108
663.0,16248.398
662.0,16197.201
661.0,16411.478
660.0,15924.879
659.0,16260.816
658.0,16568.907
657.0,16392.099
656.0,16537.6
655.0,16669.077
654.0,16797.225
653.0,16533.685
652.0,16487.778
651.0,16666.879
650.0,16622.52
649.0,16505.774
648.0,16486.307
647.0,17016.553
646.0,16554.736
645.0,16719.551
644.0,16808.674
643.0,16951.737
642.0,16959.685
641.0,17393.617
640.0,16866.609
639.0,17011.043
638.0,17083.194
637.0,17204.703
636.0,17241.821
635.0,17379.491
634.0,17217.215
633.0,17022.646
632.0,17140.644
631.0,17410.951
630.0,17348.664
629.0,17474.067
628.0,17537.495
627.0,17572.354
626.0,17212.075
625.0,17057.746
624.0,17269.414
623.0,17274.004
622.0,17565.126
621.0,17499.128
620.0,17557.321
619.0,17881.023
618.0,17805.626
617.0,17390.015
616.0,17543.491
615.0,18058.97
614.0,17556.754
613.0,17555.391
612.0,18037.546
611.0,17782.417
610.0,18385.037
609.0,17969.851
608.0,18205.682
607.0,17499.194
606.0,18133.116
605.0,18123.608
604.0,17623.169
603.0,17732.04
602.0,18014.876
601.0,18291.372
600.0,17884.634
599.0,17195.297
598.0,17903.812
597.0,18244.917
596.0,18074.32
595.0,18492.597
594.0,18788.468
593.0,18832.254
592.0,18448.533
591.0,18603.408
590.0,19145.613
589.0,19509.269
588.0,18546.535
587.0,18618.001
586.0,18852.975
585.0,18538.318
584.0,18903.078
583.0,18699.072
582.0,18557.806
581.0,18722.403
580.0,18601.901
579.0,18756.005
578.0,18790.142
577.0,19194.77
576.0,18869.398
575.0,18611.656
574.0,18803.792
573.0,18220.164
572.0,18291.623
571.0,17659.345
570.0,17547.81
569.0,17857.061
568.0,17142.848
567.0,17741.218
566.0,18343.034
565.0,18559.014
564.0,18688.019
563.0,19497.077
562.0,20351.802
561.0,21202.088
560.0,22163.362
559.0,22364.788
558.0,22839.339
557.0,23005.827
556.0,22278.224
555.0,21200.699
554.0,20140.53
553.0,18655.635
552.0,17424.961
551.0,16566.724
550.0,16176.028
549.0,14802.649
548.0,13382.157
547.0,12872.055
546.0,12272.327
545.0,11060.086
544.0,10118.699
543.0,9395.4107
542.0,8816.7482
541.0,8184.7161
540.0,7949.6773
539.0,8484.1231
538.0,10852.206
537.0,17645.754
536.0,42119.851
535.0,102897.64
534.0,117018.52
533.0,47808.208
532.0,14055.314
531.0,8047.8325
530.0,6430.3752
529.0,5981.8057
528.0,6060.0317
527.0,5949.4429
526.0,5974.3875
525.0,5782.3773
524.0,5401.3158
523.0,5547.1322
522.0,5830.9814
521.0,5890.4117
520.0,6080.4697
519.0,5658.2328
518.0,5766.9798
517.0,5871.0298
516.0,5941.5885
515.0,5863.0109
514.0,5896.1917
513.0,5831.4937
512.0,5740.0646
511.0,5946.1087
510.0,5952.367
509.0,5829.8429
508.0,5685.8052
507.0,5763.0195
