BE,counts/s
1300.0,16656.0
1299.0,16303.654
1298.0,16062.247
1297.0,15708.256
1296.0,15778.071
1295.0,16377.518
1294.0,16371.889
1293.0,15929.754
1292.0,16493.864
1291.0,16145.606
1290.0,16124.908
1289.0,16563.435
1288.0,16299.255
1287.0,16375.366
1286.0,16335.4
1285.0,16611.984
1284.0,16433.684
1283.0,16096.282
1282.0,16573.919
1281.0,16434.288
1280.0,16355.835
1279.0,16450.135
1278.0,16510.584
1277.0,16550.427
1276.0,16107.363
1275.0,16292.032
1274.0,16586.224
1273.0,16285.801
1272.0,16287.333
1271.0,16694.515
1270.0,16271.223
1269.0,15898.807
1268.0,15759.614
1267.0,15798.153
1266.0,15846.257
1265.0,16092.741
1264.0,16006.243
1263.0,16706.943
1262.0,16708.058
1261.0,16628.594
1260.0,16657.044
1259.0,16415.632
1258.0,16625.066
1257.0,16766.791
1256.0,16865.674
1255.0,17391.135
1254.0,16557.756
1253.0,16702.389
1252.0,16670.771
1251.0,17005.564
1250.0,16861.755
1249.0,17460.43
1248.0,17306.58
1247.0,17133.739
1246.0,16847.846
1245.0,17055.031
1244.0,16829.455
1243.0,16623.145
1242.0,17314.885
1241.0,17377.637
1240.0,17266.707
1239.0,16937.874
1238.0,17411.761
1237.0,17540.362
1236.0,17389.672
1235.0,17155.816
1234.0,17319.952
1233.0,17542.694
1232.0,17337.911
1231.0,17361.105
1230.0,17782.954
1229.0,17502.992
1228.0,17705.003
1227.0,18014.496
1226.0,17961.595
1225.0,18494.668
1224.0,17672.514
1223.0,17983.095
1222.0,17848.781
1221.0,18040.338
1220.0,17181.694
1219.0,17630.779
1218.0,17562.437
1217.0,17148.733
1216.0,17030.409
1215.0,17235.226
1214.0,16735.134
1213.0,16095.223
1212.0,15982.88
1211.0,15897.585
1210.0,15922.473
1209.0,15555.703
1208.0,15393.065
1207.0,15625.716
1206.0,15857.205
1205.0,15620.35
1204.0,15763.957
1203.0,15429.338
1202.0,15628.617
1201.0,15832.859
1200.0,16121.492
1199.0,15532.016
1198.0,15580.117
1197.0,15452.928
1196.0,15736.227
1195.0,16627.145
