BE,counts/s
295.0,363.45852
294.9,377.96637
294.8,372.82187
294.7,337.35018
294.6,333.47678
294.5,319.83158
294.4,353.49296
294.3,377.06889
294.2,338.36494
294.1,343.08512
294.0,335.24792
293.9,349.02461
293.8,337.72652
293.7,349.32288
293.6,326.73777
293.5,349.97938
293.4,355.76782
293.3,364.36668
293.2,372.54177
293.1,361.44336
293.0,365.31377
292.9,366.86602
292.8,384.64059
292.7,354.06662
292.6,362.28083
292.5,355.49968
292.4,374.10588
292.3,389.9571
292.2,355.20412
292.1,362.60164
292.0,344.79851
291.9,336.73133
291.8,357.02728
291.7,334.71615
291.6,363.46174
291.5,336.51839
291.4,379.0549
291.3,349.98397
291.2,358.63552
291.1,366.17283
291.0,360.61939
290.9,360.64329
290.8,343.01718
290.7,389.85018
290.6,362.8758
290.5,379.64411
290.4,354.00801
290.3,349.30119
290.2,365.67166
290.1,355.66516
290.0,344.66044
289.9,328.19615
289.8,304.06315
289.7,371.81995
289.6,388.60204
289.5,359.42317
289.4,381.9646
289.3,344.7022
289.2,340.85432
289.1,337.78407
289.0,371.89121
288.9,380.47691
288.8,367.81328
288.7,363.25096
288.6,355.08048
288.5,370.64467
288.4,350.39055
288.3,373.81941
288.2,376.01068
288.1,356.38161
288.0,374.4744
287.9,348.08328
287.8,365.79868
287.7,325.42152
287.6,360.45463
287.5,377.04811
287.4,381.01508
287.3,371.30357
287.2,392.05909
287.1,408.41047
287.0,385.58219
286.9,396.16257
286.8,373.68858
286.7,403.52912
286.6,415.0178
286.5,439.17121
286.4,454.39762
286.3,408.98495
286.2,427.62062
286.1,449.15131
286.0,422.80119
285.9,431.55846
285.8,430.28798
285.7,460.30488
285.6,440.45714
285.5,418.71656
285.4,431.95985
285.3,428.59943
285.2,410.66136
285.1,399.25496
285.0,388.52086
284.9,405.84775
284.8,391.77795
284.7,392.13975
284.6,379.94411
284.5,379.68936
284.4,381.65182
284.3,363.92587
284.2,367.02887
284.1,354.46931
284.0,346.17687
283.9,336.74723
283.8,378.98265
283.7,388.06166
283.6,373.59477
283.5,339.82218
283.4,331.87677
283.3,347.85938
283.2,309.71332
283.1,335.29869
283.0,348.13102
282.9,368.2772
282.8,359.00203
282.7,335.80962
282.6,344.12254
282.5,352.68433
282.4,350.05988
282.3,339.58712
282.2,356.77076
282.1,327.207
282.0,345.44115
281.9,340.28635
281.8,331.30577
281.7,353.1666
281.6,346.02892
281.5,322.69066
281.4,362.12841
281.3,381.92931
281.2,353.17775
281.1,360.05364
281.0,344.99136
280.9,334.24871
280.8,320.95575
280.7,338.79361
280.6,372.79397
280.5,349.8344
280.4,319.52942
280.3,336.27143
280.2,324.36088
280.1,327.56346
280.0,318.90063
