BE,counts/s
114.0,91.788314
113.9,104.53268
113.8,98.419835
113.7,85.469701
113.6,93.98107
113.5,80.081324
113.4,92.192272
113.3,107.43645
113.2,88.034654
113.1,91.316256
113.0,97.787024
112.9,89.460494
112.8,86.656158
112.7,81.148969
112.6,85.547415
112.5,90.710829
112.4,80.263782
112.3,84.677717
112.2,90.840439
112.1,80.377834
112.0,82.996404
111.9,70.636642
111.8,82.959353
111.7,81.134151
111.6,85.756247
111.5,84.143225
111.4,90.154682
111.3,89.092647
111.2,74.246455
111.1,76.232765
111.0,85.043004
110.9,88.661743
110.8,73.436542
110.7,89.55378
110.6,82.017162
110.5,75.283597
110.4,81.407098
110.3,85.554247
110.2,75.163588
110.1,81.355738
110.0,74.497117
109.9,71.341153
109.8,80.945085
109.7,80.11692
109.6,73.959577
109.5,66.119103
109.4,77.506216
109.3,76.51317
109.2,83.456878
109.1,76.409051
109.0,73.181006
108.9,76.936645
108.8,66.93198
108.7,71.473565
108.6,73.687172
108.5,66.170819
108.4,67.555655
108.3,74.197855
108.2,81.534709
108.1,79.145786
108.0,92.107729
107.9,100.12806
107.8,87.350843
107.7,105.51982
107.6,111.89618
107.5,112.38333
107.4,132.09981
107.3,153.07234
107.2,172.5447
107.1,192.4998
107.0,250.63868
106.9,256.74588
106.8,311.60691
106.7,362.36844
106.6,427.75873
106.5,484.981
106.4,551.08551
106.3,694.18217
106.2,745.05051
106.1,895.3972
106.0,988.62241
105.9,1131.9041
105.8,1216.7146
105.7,1355.6905
105.6,1462.5887
105.5,1557.556
105.4,1673.4813
105.3,1669.5555
105.2,1713.1023
105.1,1727.8315
105.0,1709.9027
104.9,1673.5836
104.8,1656.6344
104.7,1565.8631
104.6,1509.3177
104.5,1360.6777
104.4,1274.1587
104.3,1165.2705
104.2,1058.4298
104.1,954.13421
104.0,864.28803
103.9,742.16763
103.8,676.64983
103.7,595.62957
103.6,493.43779
103.5,438.69874
103.4,385.54665
103.3,331.16607
103.2,286.71532
103.1,247.0761
103.0,209.77738
102.9,207.36428
102.8,185.47595
102.7,151.94467
102.6,140.97724
102.5,127.95742
102.4,123.34599
102.3,111.6553
102.2,99.570252
102.1,104.51771
102.0,92.339859
101.9,76.062594
101.8,94.798076
101.7,96.437981
101.6,88.613621
101.5,78.844878
101.4,77.565562
101.3,81.758808
101.2,77.334261
101.1,67.552083
101.0,65.535382
100.9,60.665487
100.8,62.584396
100.7,69.078411
100.6,73.160375
100.5,71.330806
100.4,72.342609
100.3,69.720998
100.2,65.086232
100.1,78.334447
100.0,86.618216
99.9,85.599863
99.8,86.846624
99.7,88.177079
99.6,83.763933
99.5,71.960314
99.4,65.019329
99.3,72.708695
99.2,58.852811
99.1,57.680593
99.0,57.345532
98.9,52.379385
98.8,60.313701
98.7,58.517928
98.6,56.282875
98.5,54.516423
98.4,50.831474
98.3,56.107109
98.2,60.408082
98.1,50.646714
98.0,48.468081
97.9,66.088604
97.8,61.362449
97.7,59.652507
97.6,60.441448
97.5,55.247098
97.4,54.556124
97.3,58.02419
97.2,62.557012
97.1,60.056984
97.0,59.485378
