BE,counts/s
1300.0,15451.497
1299.0,15538.22
1298.0,15412.107
1297.0,15177.17
1296.0,14937.538
1295.0,15387.183
1294.0,15362.26
1293.0,15312.959
1292.0,15611.402
1291.0,15192.971
1290.0,15327.042
1289.0,15289.096
1288.0,15385.343
1287.0,14700.166
1286.0,15296.281
1285.0,14775.26
1284.0,14849.508
1283.0,15042.499
1282.0,14918.121
1281.0,15524.783
1280.0,15109.765
1279.0,15322.636
1278.0,15324.077
1277.0,14862.906
1276.0,15152.078
1275.0,15265.613
1274.0,15046.448
1273.0,14861.555
1272.0,14768.0
1271.0,15180.229
1270.0,15044.599
1269.0,14536.951
1268.0,14686.575
1267.0,14809.023
1266.0,14929.17
1265.0,15017.258
1264.0,15186.859
1263.0,14969.306
1262.0,15202.067
1261.0,15361.042
1260.0,14928.547
1259.0,15379.022
1258.0,14984.458
1257.0,14982.514
1256.0,14683.655
1255.0,14814.748
1254.0,14734.435
1253.0,14828.21
1252.0,15068.801
1251.0,15253.982
1250.0,15795.678
1249.0,15397.982
1248.0,15463.283
1247.0,15447.313
1246.0,14887.043
1245.0,15345.264
1244.0,15048.633
1243.0,15081.361
1242.0,15159.39
1241.0,14931.698
1240.0,14780.835
1239.0,14943.239
1238.0,14762.532
1237.0,15018.136
1236.0,15088.699
1235.0,15145.549
1234.0,15256.242
1233.0,15075.007
1232.0,15234.665
1231.0,15128.741
1230.0,15288.996
1229.0,15228.83
1228.0,14963.566
1227.0,15261.809
1226.0,15594.633
1225.0,14513.795
1224.0,15033.573
1223.0,14673.202
1222.0,14812.368
1221.0,14730.413
1220.0,15208.338
1219.0,15275.285
1218.0,15201.552
1217.0,15218.033
1216.0,15111.084
1215.0,14740.111
1214.0,15036.692
1213.0,14897.001
1212.0,15228.579
1211.0,15000.735
1210.0,15103.123
1209.0,15514.82
1208.0,14973.497
1207.0,14971.459
1206.0,15007.054
1205.0,14918.814
1204.0,14471.221
1203.0,14726.258
1202.0,14784.057
1201.0,14946.139
1200.0,15176.965
1199.0,14872.81
1198.0,14709.692
1197.0,14841.859
1196.0,14873.941
1195.0,15075.014
1194.0,15072.344
1193.0,15024.146
1192.0,14859.001
1191.0,14939.765
1190.0,15040.932
1189.0,14830.218
1188.0,14888.5
1187.0,14746.967
1186.0,14966.45
1185.0,15341.235
1184.0,15041.519
1183.0,14760.537
1182.0,15180.775
1181.0,15151.631
1180.0,15186.832
1179.0,14893.138
1178.0,14945.529
1177.0,14950.243
1176.0,15649.183
1175.0,15510.391
1174.0,15229.713
1173.0,14682.844
1172.0,15040.045
1171.0,15291.663
1170.0,15646.655
1169.0,15398.34
1168.0,15207.294
1167.0,15139.657
1166.0,15361.474
1165.0,15179.054
1164.0,14626.473
1163.0,14725.949
1162.0,14479.071
1161.0,15139.419
1160.0,14764.003
1159.0,15002.368
1158.0,15204.885
1157.0,15157.722
1156.0,15308.293
1155.0,15309.856
1154.0,14746.134
1153.0,14975.197
1152.0,15307.057
1151.0,15416.73
1150.0,15204.101
1149.0,15647.174
1148.0,15439.478
1147.0,14822.428
1146.0,15098.691
1145.0,14980.106
1144.0,15099.746
1143.0,15308.826
1142.0,14966.763
1141.0,15207.033
1140.0,15535.962
1139.0,15637.961
1138.0,15328.524
1137.0,15328.422
1136.0,15136.659
1135.0,15165.859
1134.0,15245.687
1133.0,15884.348
1132.0,15920.909
1131.0,15726.588
1130.0,15290.65
1129.0,15154.553
1128.0,15895.244
1127.0,15280.747
1126.0,15161.895
1125.0,15231.741
1124.0,15226.352
1123.0,15574.909
1122.0,15330.145
1121.0,15429.436
1120.0,15367.584
1119.0,15562.264
1118.0,15591.628
1117.0,15900.175
1116.0,15403.623
1115.0,15103.288
1114.0,15648.452
1113.0,15316.674
1112.0,15541.997
1111.0,15608.81
1110.0,15345.227
1109.0,15668.797
1108.0,15187.636
1107.0,15386.791
1106.0,15534.035
1105.0,15902.775
1104.0,15763.583
1103.0,15288.25
1102.0,15750.904
1101.0,15524.501
1100.0,15467.398
1099.0,15311.891
1098.0,15649.978
1097.0,15719.866
1096.0,15656.826
1095.0,15735.791
1094.0,15532.887
1093.0,15402.544
1092.0,15533.244
1091.0,15568.572
1090.0,15628.662
1089.0,15575.777
1088.0,15919.009
1087.0,15594.437
1086.0,15375.925
1085.0,15411.303
1084.0,15464.986
1083.0,15570.395
1082.0,15676.757
1081.0,15652.203
1080.0,16055.442
1079.0,15500.731
1078.0,15764.324
1077.0,16023.029
1076.0,16363.163
1075.0,16005.308
1074.0,15950.371
1073.0,16086.937
1072.0,16247.466
1071.0,16755.682
1070.0,16472.49
1069.0,16563.984
1068.0,16218.517
1067.0,16261.059
1066.0,16119.613
1065.0,16540.444
1064.0,16840.69
1063.0,16702.281
1062.0,17013.872
1061.0,16417.044
1060.0,16536.789
1059.0,16405.26
1058.0,17026.26
1057.0,16740.186
1056.0,16267.492
1055.0,16228.004
1054.0,16845.764
1053.0,17014.466
1052.0,17280.636
1051.0,16980.586
1050.0,17142.915
1049.0,16654.291
1048.0,16763.41
1047.0,17363.185
1046.0,17143.804
1045.0,16608.469
1044.0,16887.651
1043.0,17067.471
1042.0,17127.529
1041.0,16911.447
1040.0,16936.419
1039.0,17237.351
1038.0,17551.206
1037.0,17582.206
1036.0,17252.631
1035.0,17205.175
1034.0,17574.14
1033.0,17551.131
1032.0,17721.559
1031.0,17643.421
