BE,counts/s
541.0,608.04171
540.9,578.07019
540.8,541.10628
540.7,580.92383
540.6,547.11078
540.5,572.87009
540.4,522.17681
540.3,549.19901
540.2,506.70891
540.1,548.89124
540.0,518.10007
539.9,491.86648
539.8,517.2909
539.7,549.68391
539.6,516.94914
539.5,535.18741
539.4,520.26372
539.3,503.54868
539.2,494.45976
539.1,547.54414
539.0,515.91802
538.9,518.10894
538.8,522.67878
538.7,519.50291
538.6,508.65455
538.5,497.35279
538.4,475.18989
538.3,517.23926
538.2,514.59372
538.1,523.5815
538.0,535.19366
537.9,516.90388
537.8,503.23845
537.7,512.43248
537.6,510.30438
537.5,568.47138
537.4,533.10542
537.3,553.98146
537.2,597.82511
537.1,634.44205
537.0,617.44453
536.9,640.74097
536.8,649.2683
536.7,681.21929
536.6,783.29365
536.5,912.46584
536.4,964.01616
536.3,1090.159
536.2,1224.8009
536.1,1413.132
536.0,1571.6761
535.9,1880.0573
535.8,2213.8917
535.7,2632.8693
535.6,3092.396
535.5,3626.5626
535.4,4262.6565
535.3,4934.6771
535.2,5720.5835
535.1,6442.8172
535.0,7240.0078
534.9,7841.774
534.8,8962.0495
534.7,9520.5967
534.6,10099.977
534.5,10582.462
534.4,10754.338
534.3,11046.22
534.2,10841.23
534.1,10763.188
534.0,10408.494
533.9,9602.3809
533.8,8914.2864
533.7,8202.624
533.6,7436.833
533.5,6403.9241
533.4,5584.8291
533.3,4763.8666
533.2,3930.6272
533.1,3412.537
533.0,2881.8304
532.9,2473.1953
532.8,2066.4554
532.7,1713.2359
532.6,1454.1012
532.5,1257.3741
532.4,1086.7811
532.3,932.36552
532.2,849.94337
532.1,784.53628
532.0,685.80045
531.9,663.00573
531.8,684.5552
531.7,655.85976
531.6,682.82339
531.5,617.75132
531.4,558.55935
531.3,523.38825
531.2,506.87692
531.1,534.60707
531.0,533.63101
530.9,529.65745
530.8,506.83586
530.7,523.46926
530.6,471.91437
530.5,474.05708
530.4,447.12585
530.3,455.60086
530.2,455.09957
530.1,428.76419
530.0,462.13468
529.9,439.50547
529.8,430.45955
529.7,418.933
529.6,458.49839
529.5,467.37548
529.4,428.20516
529.3,445.8976
529.2,450.20666
529.1,457.72523
529.0,414.61458
528.9,395.65019
528.8,438.66078
528.7,446.21967
528.6,423.29331
528.5,433.17672
528.4,413.93174
528.3,442.5654
528.2,445.4459
528.1,410.95111
528.0,426.24687
527.9,403.35024
527.8,410.48213
527.7,443.49058
527.6,436.0109
527.5,455.37422
527.4,447.57893
527.3,458.92783
527.2,443.42171
527.1,439.75019
527.0,446.27514
526.9,397.65751
526.8,396.85087
526.7,421.04512
526.6,411.85758
526.5,386.1793
526.4,399.63568
526.3,412.29415
526.2,394.99327
526.1,364.33732
526.0,380.16818
525.9,440.66182
525.8,413.69243
525.7,402.14148
525.6,427.28047
525.5,431.12911
525.4,439.52625
525.3,405.69888
525.2,432.2925
525.1,412.43156
525.0,350.46863
524.9,403.61788
524.8,419.81323
524.7,380.07205
524.6,411.44379
524.5,418.26692
524.4,403.75356
524.3,399.37742
524.2,397.45599
524.1,421.31905
524.0,457.0287
523.9,443.39209
523.8,411.39646
523.7,385.54872
523.6,388.00022
523.5,433.04246
523.4,423.54634
523.3,398.71214
523.2,417.74193
523.1,430.7282
523.0,398.05381
522.9,396.3699
522.8,432.52173
522.7,403.66564
522.6,397.48276
522.5,417.94362
522.4,433.92375
522.3,418.43304
522.2,414.2754
522.1,414.4259
522.0,432.21798
521.9,441.39228
521.8,430.24206
521.7,387.66281
521.6,445.4942
521.5,405.27091
521.4,410.63089
521.3,391.58614
521.2,402.9849
521.1,411.93618
521.0,396.72057
520.9,423.19217
520.8,413.74196
520.7,394.05398
520.6,392.7361
520.5,409.31454
520.4,434.82316
520.3,415.21828
520.2,415.59349
520.1,414.21116
520.0,394.75935
