BE,counts/s
295.0,372.86125
294.9,373.96284
294.8,383.02081
294.7,356.02474
294.6,394.67346
294.5,404.30589
294.4,405.04826
294.3,391.48187
294.2,389.29022
294.1,393.3931
294.0,397.60138
293.9,410.27102
293.8,433.49744
293.7,407.92287
293.6,388.6964
293.5,378.43011
293.4,388.21475
293.3,381.96484
293.2,426.42947
293.1,413.2151
293.0,393.85503
292.9,369.69361
292.8,368.8044
292.7,391.25016
292.6,387.58813
292.5,396.61823
292.4,382.21296
292.3,392.84467
292.2,384.73422
292.1,380.08945
292.0,390.74707
291.9,408.44118
291.8,393.97565
291.7,401.05442
291.6,388.10484
291.5,399.51402
291.4,435.26364
291.3,401.18701
291.2,377.91736
291.1,386.8407
291.0,375.5661
290.9,372.1265
290.8,375.86282
290.7,417.30235
290.6,388.02025
290.5,366.30017
290.4,417.32772
290.3,412.69634
290.2,392.43714
290.1,383.34245
290.0,382.8935
289.9,369.98223
289.8,367.17971
289.7,418.05916
289.6,354.03187
289.5,386.93099
289.4,389.05163
289.3,405.40059
289.2,406.60893
289.1,425.69892
289.0,417.65951
288.9,393.74933
288.8,390.34163
288.7,420.5988
288.6,376.65729
288.5,406.80761
288.4,373.17236
288.3,389.72865
288.2,397.45163
288.1,418.37241
288.0,390.13009
287.9,411.61175
287.8,380.51865
287.7,382.48739
287.6,397.88836
287.5,399.50065
287.4,407.53463
287.3,405.00527
287.2,372.0028
287.1,401.31243
287.0,435.79517
286.9,408.61733
286.8,428.41822
286.7,411.10154
286.6,402.44515
286.5,409.32784
286.4,412.18871
286.3,399.89673
286.2,403.5284
286.1,410.36643
286.0,430.8298
285.9,385.698
285.8,403.55629
285.7,397.48972
285.6,421.36109
285.5,399.94213
285.4,405.00207
285.3,414.69425
285.2,409.40349
285.1,370.78705
285.0,390.64935
284.9,387.52277
284.8,380.82932
284.7,378.44919
284.6,366.85773
284.5,399.80583
284.4,393.70973
284.3,405.05094
284.2,424.50289
284.1,380.34827
284.0,378.39921
283.9,418.16908
283.8,356.89625
283.7,343.46048
283.6,376.99097
283.5,397.86142
283.4,403.98086
283.3,406.76839
283.2,405.37088
283.1,404.91355
283.0,408.10515
282.9,389.24671
282.8,393.51218
282.7,386.71638
282.6,390.90259
282.5,378.98869
282.4,378.50834
282.3,378.31332
282.2,382.2935
282.1,370.58292
282.0,373.20949
281.9,380.91631
281.8,387.31154
281.7,376.19669
281.6,394.87615
281.5,397.83424
281.4,376.11275
281.3,401.86855
281.2,387.18185
281.1,380.76602
281.0,366.18668
280.9,388.29846
280.8,375.29368
280.7,436.59434
280.6,399.48234
280.5,390.77717
280.4,367.57757
280.3,377.43716
280.2,377.42491
280.1,360.86695
280.0,383.74018
