BE,counts/s
295.0,398.49947
294.9,412.06862
294.8,416.41435
294.7,392.94849
294.6,397.92577
294.5,406.41402
294.4,394.23269
294.3,398.04702
294.2,418.06562
294.1,415.84905
294.0,390.53137
293.9,412.95657
293.8,456.54544
293.7,419.30793
293.6,412.46575
293.5,404.58142
293.4,415.5987
293.3,418.78564
293.2,412.46682
293.1,398.66655
293.0,409.85938
292.9,403.03572
292.8,446.06273
292.7,443.45293
292.6,427.31406
292.5,398.58516
292.4,415.11207
292.3,385.95082
292.2,381.36774
292.1,399.74603
292.0,426.93484
291.9,413.00732
291.8,439.89872
291.7,411.30649
291.6,398.35151
291.5,385.68437
291.4,409.32735
291.3,409.79328
291.2,395.15648
291.1,368.44745
291.0,404.36924
290.9,412.78718
290.8,399.15269
290.7,395.46699
290.6,389.94048
290.5,402.1306
290.4,408.07075
290.3,386.35049
290.2,427.81972
290.1,396.94415
290.0,404.10909
289.9,408.86736
289.8,409.58615
289.7,421.24603
289.6,423.94846
289.5,426.14366
289.4,395.64047
289.3,405.27206
289.2,385.09827
289.1,375.92784
289.0,371.44438
288.9,397.78415
288.8,380.98166
288.7,406.89046
288.6,402.45807
288.5,408.81369
288.4,377.41191
288.3,377.53045
288.2,410.47172
288.1,398.82552
288.0,389.4631
287.9,392.04766
287.8,389.84719
287.7,354.63856
287.6,372.02712
287.5,411.91875
287.4,376.14409
287.3,367.25928
287.2,408.47527
287.1,382.51934
287.0,423.00268
286.9,415.18545
286.8,386.32715
286.7,397.16306
286.6,411.10217
286.5,440.60152
286.4,441.48231
286.3,453.47946
286.2,431.71256
286.1,436.00109
286.0,425.14136
285.9,413.3846
285.8,401.18542
285.7,387.77989
285.6,420.0828
285.5,414.00048
285.4,399.2439
285.3,398.47894
285.2,433.63527
285.1,394.72941
285.0,412.70997
284.9,410.03401
284.8,432.61515
284.7,403.16453
284.6,364.17728
284.5,395.10363
284.4,410.70295
284.3,395.86237
284.2,430.2891
284.1,399.69329
284.0,429.74275
283.9,393.25406
283.8,371.20635
283.7,391.74213
283.6,403.901
283.5,405.0564
283.4,385.41335
283.3,401.81271
283.2,406.61186
283.1,405.29309
283.0,377.28878
282.9,402.29089
282.8,393.03897
282.7,409.83054
282.6,413.3535
282.5,396.47421
282.4,382.78846
282.3,391.36684
282.2,414.30416
282.1,402.44067
282.0,387.71303
281.9,367.8105
281.8,381.43551
281.7,395.45121
281.6,415.06997
281.5,382.00898
281.4,413.1312
281.3,395.42728
281.2,398.95413
281.1,425.06486
281.0,386.79307
280.9,381.67178
280.8,375.57453
280.7,406.34426
280.6,389.81524
280.5,412.78009
280.4,437.31734
280.3,412.95566
280.2,413.01429
280.1,385.17064
280.0,381.38054
