BE,counts/s
295.0,398.05931
294.9,404.57102
294.8,417.24424
294.7,434.16037
294.6,449.50593
294.5,434.99445
294.4,421.99498
294.3,394.54034
294.2,425.02708
294.1,446.03576
294.0,418.57415
293.9,430.74674
293.8,413.49024
293.7,399.06173
293.6,414.84261
293.5,437.96951
293.4,447.98484
293.3,435.69249
293.2,425.93911
293.1,437.89477
293.0,364.18224
292.9,384.59745
292.8,392.37679
292.7,411.96877
292.6,440.559
292.5,438.55316
292.4,421.75605
292.3,434.44922
292.2,412.69651
292.1,424.61914
292.0,423.34343
291.9,415.4234
291.8,382.62009
291.7,421.21837
291.6,399.03082
291.5,402.83838
291.4,403.16348
291.3,419.26334
291.2,407.08521
291.1,403.92544
291.0,422.08453
290.9,406.69137
290.8,404.16279
290.7,423.34968
290.6,414.40852
290.5,394.15412
290.4,405.11502
290.3,396.28974
290.2,412.05763
290.1,411.4139
290.0,395.19262
289.9,397.14619
289.8,422.02486
289.7,433.41563
289.6,414.63064
289.5,405.12492
289.4,426.07888
289.3,409.08061
289.2,409.29731
289.1,419.23975
289.0,463.93137
288.9,397.29793
288.8,412.27822
288.7,406.81295
288.6,400.73489
288.5,425.76635
288.4,378.92215
288.3,421.47968
288.2,453.38032
288.1,422.40111
288.0,433.99401
287.9,416.82959
287.8,417.52638
287.7,432.44053
287.6,418.3461
287.5,399.83308
287.4,414.35324
287.3,408.48798
287.2,436.27188
287.1,426.62134
287.0,419.84236
286.9,408.43567
286.8,413.28067
286.7,416.13126
286.6,425.26163
286.5,414.52713
286.4,410.32056
286.3,402.90398
286.2,388.62929
286.1,439.48883
286.0,440.18425
285.9,419.61829
285.8,423.48467
285.7,446.05148
285.6,411.84999
285.5,427.79747
285.4,450.34309
285.3,432.36612
285.2,387.45609
285.1,400.0884
285.0,398.1142
284.9,410.56472
284.8,421.14727
284.7,429.32714
284.6,406.95284
284.5,415.35037
284.4,409.43509
284.3,406.64311
284.2,400.09349
284.1,434.21479
284.0,435.68242
283.9,395.61571
283.8,389.50438
283.7,391.13303
283.6,399.17908
283.5,398.12736
283.4,392.53372
283.3,418.41492
283.2,404.41257
283.1,427.00629
283.0,426.57472
282.9,416.32654
282.8,444.61289
282.7,397.47997
282.6,418.2698
282.5,440.08219
282.4,428.701
282.3,395.19021
282.2,417.15195
282.1,428.27832
282.0,422.00218
281.9,418.35217
281.8,414.27646
281.7,402.00366
281.6,425.60248
281.5,435.24963
281.4,410.80432
281.3,409.64059
281.2,429.79718
281.1,410.19462
281.0,441.13038
280.9,399.03771
280.8,410.15473
280.7,431.40609
280.6,444.26526
280.5,388.5901
280.4,414.04535
280.3,404.64329
280.2,398.36009
280.1,430.09996
280.0,445.73831
