BE,counts/s
114.0,86.994733
113.9,83.992802
113.8,81.491428
113.7,81.199916
113.6,85.862745
113.5,69.778464
113.4,74.298933
113.3,90.255215
113.2,95.822687
113.1,84.875338
113.0,93.173565
112.9,88.244289
112.8,74.482314
112.7,83.385696
112.6,75.90891
112.5,86.193527
112.4,84.110055
112.3,84.217043
112.2,79.570069
112.1,75.502026
112.0,89.830985
111.9,84.935639
111.8,67.140527
111.7,65.950836
111.6,76.205042
111.5,78.30519
111.4,70.727165
111.3,64.834763
111.2,68.710656
111.1,70.853189
111.0,79.532997
110.9,73.721709
110.8,73.473443
110.7,67.941888
110.6,67.463256
110.5,75.222409
110.4,65.735386
110.3,73.528471
110.2,70.817523
110.1,63.453462
110.0,69.725059
109.9,67.421749
109.8,72.678938
109.7,60.902264
109.6,68.127559
109.5,71.057062
109.4,63.701697
109.3,60.751581
109.2,64.137701
109.1,65.026194
109.0,71.882813
108.9,65.434379
108.8,61.970465
108.7,62.501468
108.6,64.448241
108.5,68.040512
108.4,68.055789
108.3,77.860873
108.2,73.970788
108.1,71.803198
108.0,63.698994
107.9,74.037908
107.8,65.955193
107.7,71.36251
107.6,78.322181
107.5,74.52432
107.4,77.486272
107.3,84.916972
107.2,111.57223
107.1,120.94157
107.0,128.64688
106.9,140.32329
106.8,179.11652
106.7,190.85444
106.6,237.57516
106.5,278.69257
106.4,322.99354
106.3,371.75681
106.2,460.93715
106.1,515.59369
106.0,616.44368
105.9,712.25577
105.8,864.82984
105.7,934.9316
105.6,1068.0977
105.5,1125.7319
105.4,1247.1335
105.3,1401.3891
105.2,1445.9248
105.1,1457.5232
105.0,1564.2794
104.9,1560.4476
104.8,1602.9213
104.7,1551.4507
104.6,1531.6421
104.5,1514.8265
104.4,1392.4811
104.3,1313.9533
104.2,1241.9249
104.1,1095.1868
104.0,1000.2502
103.9,887.99146
103.8,803.27432
103.7,677.36545
103.6,565.77323
103.5,508.23494
103.4,428.24074
103.3,367.86016
103.2,311.37386
103.1,263.02896
103.0,253.15628
102.9,205.08691
102.8,192.95365
102.7,169.42219
102.6,145.36976
102.5,122.86075
102.4,119.39104
102.3,116.35687
102.2,103.40313
102.1,93.936363
102.0,95.660042
101.9,77.826726
101.8,67.806613
101.7,83.353296
101.6,84.984612
101.5,67.289763
101.4,77.019044
101.3,66.49439
101.2,63.908368
101.1,69.602832
101.0,69.455462
100.9,61.966727
100.8,56.736116
100.7,63.953243
100.6,65.177391
100.5,60.829437
100.4,75.769964
100.3,91.599491
100.2,83.198593
100.1,101.81252
100.0,96.731522
99.9,89.09077
99.8,103.9454
99.7,112.32693
99.6,126.01547
99.5,126.59007
99.4,121.9834
99.3,102.83546
99.2,85.550877
99.1,64.679703
99.0,57.194301
98.9,50.444191
98.8,55.435167
98.7,67.496756
98.6,52.901091
98.5,46.373951
98.4,54.339719
98.3,49.813041
98.2,53.200465
98.1,56.711138
98.0,57.635839
97.9,45.705956
97.8,56.939161
97.7,52.672954
97.6,52.114106
97.5,46.161921
97.4,46.400322
97.3,42.760553
97.2,48.791277
97.1,49.176748
97.0,39.993726
