BE,counts/s
1300.0,15224.33
1299.0,15109.376
1298.0,15349.06
1297.0,15134.982
1296.0,14624.212
1295.0,14363.817
1294.0,14642.344
1293.0,14802.463
1292.0,14926.005
1291.0,14751.385
1290.0,14682.763
1289.0,14818.376
1288.0,14506.323
1287.0,14367.24
1286.0,14101.03
1285.0,14871.216
1284.0,14627.742
1283.0,15036.298
1282.0,14716.94
1281.0,14457.079
1280.0,15129.711
1279.0,15130.397
1278.0,15134.869
1277.0,14667.949
1276.0,14873.616
1275.0,14390.082
1274.0,14648.059
1273.0,14536.417
1272.0,14496.975
1271.0,14657.258
1270.0,14425.115
1269.0,14595.144
1268.0,14111.085
1267.0,14239.197
1266.0,14957.172
1265.0,14436.22
1264.0,14410.76
1263.0,14677.957
1262.0,14582.728
1261.0,14906.722
1260.0,14536.482
1259.0,14912.88
1258.0,14290.838
1257.0,14497.97
1256.0,14507.202
1255.0,15151.49
1254.0,15204.151
1253.0,14736.873
1252.0,14800.566
1251.0,14173.464
1250.0,14405.342
1249.0,14954.462
1248.0,14617.025
1247.0,14531.631
1246.0,14509.256
1245.0,14775.54
1244.0,14420.602
1243.0,14790.614
1242.0,14457.043
1241.0,14634.128
1240.0,14660.631
1239.0,14678.105
1238.0,14290.336
1237.0,14670.656
1236.0,14388.21
1235.0,14298.117
1234.0,15005.39
1233.0,14486.916
1232.0,14727.215
1231.0,14346.043
1230.0,14441.376
1229.0,14153.76
1228.0,14388.4
1227.0,14519.691
1226.0,14603.475
1225.0,14524.425
1224.0,14839.15
1223.0,15241.356
1222.0,14789.508
1221.0,15047.316
1220.0,15216.08
1219.0,14923.195
1218.0,14698.678
1217.0,14790.482
1216.0,14496.125
1215.0,14055.026
1214.0,14450.814
1213.0,14194.881
1212.0,14320.534
1211.0,14492.857
1210.0,14526.88
1209.0,14060.614
1208.0,14360.784
1207.0,14577.801
1206.0,14713.118
1205.0,14376.672
1204.0,14399.283
1203.0,14340.908
1202.0,14181.199
1201.0,14784.037
1200.0,14567.627
1199.0,14559.71
1198.0,14677.938
1197.0,14315.875
1196.0,14625.299
1195.0,14806.27
1194.0,14657.542
1193.0,14331.53
1192.0,14799.091
1191.0,14573.965
1190.0,14369.051
1189.0,14209.368
1188.0,14548.159
1187.0,14599.624
1186.0,14864.545
1185.0,14909.621
1184.0,14785.739
1183.0,14919.614
1182.0,14255.176
1181.0,14257.166
1180.0,14348.981
1179.0,14964.549
1178.0,14484.241
1177.0,14682.959
1176.0,14537.317
1175.0,14298.936
1174.0,14506.609
