BE,counts/s
114.0,103.81041
113.9,104.93829
113.8,90.76475
113.7,93.738425
113.6,99.109001
113.5,93.982281
113.4,88.218959
113.3,84.499347
113.2,87.728588
113.1,79.839187
113.0,94.788084
112.9,89.280811
112.8,96.167975
112.7,81.264075
112.6,89.304419
112.5,91.240682
112.4,90.240642
112.3,90.51286
112.2,97.308757
112.1,83.735051
112.0,84.067412
111.9,74.549405
111.8,98.346176
111.7,87.799633
111.6,90.307719
111.5,76.224875
111.4,94.323931
111.3,71.258156
111.2,78.024552
111.1,85.13697
111.0,78.107254
110.9,79.540561
110.8,82.220142
110.7,71.321761
110.6,67.404406
110.5,78.15059
110.4,77.630978
110.3,74.226698
110.2,67.448748
110.1,71.034867
110.0,72.881197
109.9,70.867041
109.8,73.14277
109.7,71.465395
109.6,69.029163
109.5,64.991103
109.4,67.294322
109.3,72.241163
109.2,66.189721
109.1,63.916863
109.0,62.658872
108.9,68.652246
108.8,66.678718
108.7,66.732946
108.6,74.249264
108.5,66.729943
108.4,55.457028
108.3,60.467268
108.2,64.959059
108.1,63.259202
108.0,65.339433
107.9,50.773304
107.8,56.360795
107.7,65.075885
107.6,77.763199
107.5,74.90825
107.4,86.307291
107.3,93.909039
107.2,105.89457
107.1,112.08117
107.0,125.28187
106.9,141.86201
106.8,171.28986
106.7,196.38082
106.6,234.74269
106.5,285.94343
106.4,346.84809
106.3,370.73199
106.2,447.83403
106.1,523.61793
106.0,611.45649
105.9,733.7277
105.8,833.32773
105.7,952.91894
105.6,1070.678
105.5,1213.3494
105.4,1357.8572
105.3,1427.7735
105.2,1511.1216
105.1,1563.5821
105.0,1642.3747
104.9,1688.8618
104.8,1682.5531
104.7,1675.2868
104.6,1673.4649
104.5,1596.693
104.4,1481.7475
104.3,1389.4441
104.2,1292.8866
104.1,1161.7042
104.0,1063.81
103.9,990.04032
103.8,869.61808
103.7,712.8533
103.6,625.64937
103.5,589.75326
103.4,486.69856
103.3,376.16792
103.2,340.4215
103.1,306.28563
103.0,283.41084
102.9,244.75814
102.8,208.60976
102.7,181.7814
102.6,151.76009
102.5,140.89361
102.4,135.90997
102.3,111.47685
102.2,103.18535
102.1,88.004221
102.0,89.490091
101.9,91.772353
101.8,74.923185
101.7,93.789557
101.6,84.689954
101.5,90.617056
101.4,80.396259
101.3,71.135694
101.2,66.953328
101.1,72.694339
101.0,70.917166
100.9,71.586004
100.8,74.819126
100.7,65.512643
100.6,70.484407
100.5,69.77986
100.4,79.110667
100.3,90.653553
100.2,88.681189
100.1,107.54735
100.0,124.68647
99.9,122.68027
99.8,122.03241
99.7,132.35401
99.6,143.31907
99.5,173.02637
99.4,158.93302
99.3,131.49401
99.2,86.359431
99.1,69.592306
99.0,73.078546
98.9,57.169362
98.8,55.802959
98.7,54.443688
98.6,48.179942
98.5,50.806663
98.4,64.562613
98.3,54.722425
98.2,42.272469
98.1,51.566025
98.0,54.360779
97.9,56.768256
97.8,50.20147
97.7,46.66271
97.6,46.340327
97.5,43.775117
97.4,50.168778
97.3,51.489245
97.2,53.060476
97.1,60.898707
97.0,45.839093
