BE,counts/s
1300.0,13898.35
1299.0,14179.973
1298.0,13809.774
1297.0,14001.103
1296.0,13901.142
1295.0,14001.158
1294.0,13792.237
1293.0,14013.938
1292.0,14093.309
1291.0,14046.765
1290.0,13653.499
1289.0,13882.213
1288.0,14083.612
1287.0,13931.742
1286.0,13177.006
1285.0,13692.538
1284.0,13807.76
1283.0,13124.429
1282.0,13946.051
1281.0,14117.931
1280.0,13367.03
1279.0,13490.979
1278.0,13861.126
1277.0,13808.532
1276.0,13957.692
1275.0,13389.453
1274.0,13713.83
1273.0,13928.185
1272.0,13756.928
1271.0,13750.344
1270.0,13301.528
1269.0,13524.264
1268.0,13552.894
1267.0,13855.275
1266.0,13810.568
1265.0,13410.384
1264.0,13586.479
1263.0,13594.702
1262.0,13653.005
1261.0,13489.002
1260.0,13542.768
1259.0,13655.162
1258.0,13531.712
1257.0,13430.317
1256.0,13137.43
1255.0,13142.152
1254.0,13372.145
1253.0,13176.332
1252.0,13303.758
1251.0,13471.965
1250.0,13225.011
1249.0,13515.017
1248.0,13650.196
1247.0,13552.419
1246.0,13811.043
1245.0,13367.913
1244.0,13639.172
1243.0,13297.123
1242.0,13239.208
1241.0,13438.035
1240.0,13610.083
1239.0,13081.557
1238.0,13713.472
1237.0,13107.039
1236.0,13268.837
1235.0,13051.098
1234.0,13673.509
1233.0,14067.043
1232.0,13307.802
1231.0,13285.44
1230.0,13599.313
1229.0,13060.24
1228.0,13364.471
1227.0,13428.015
1226.0,13793.793
1225.0,13940.781
1224.0,13492.449
1223.0,13761.904
1222.0,13792.357
1221.0,13609.988
1220.0,13639.48
1219.0,13734.357
1218.0,13751.682
1217.0,13358.759
1216.0,13442.259
1215.0,13414.136
1214.0,13687.89
1213.0,13796.72
1212.0,13448.246
1211.0,13899.117
1210.0,13901.163
1209.0,13926.757
1208.0,13688.87
1207.0,13376.416
1206.0,13673.753
1205.0,13635.084
1204.0,13410.349
1203.0,13700.78
1202.0,13480.363
1201.0,13627.227
1200.0,13328.529
1199.0,13653.167
1198.0,13828.052
1197.0,13589.791
1196.0,13528.779
1195.0,13512.335
1194.0,13618.729
1193.0,13884.624
1192.0,13852.676
1191.0,13567.826
1190.0,13788.067
1189.0,13826.77
1188.0,13466.082
1187.0,13463.396
1186.0,13967.582
1185.0,14053.185
1184.0,13489.685
1183.0,13644.214
1182.0,13406.571
1181.0,13384.132
1180.0,13727.215
1179.0,13674.605
1178.0,13601.634
1177.0,13462.48
1176.0,13703.27
1175.0,13639.336
1174.0,13507.476
1173.0,13504.247
1172.0,13269.169
1171.0,13695.815
1170.0,13911.353
1169.0,13863.476
1168.0,13921.199
1167.0,13979.863
1166.0,13964.923
1165.0,13957.002
1164.0,13962.911
1163.0,14016.048
1162.0,13766.16
1161.0,13728.978
1160.0,13669.871
1159.0,13142.696
1158.0,13478.782
1157.0,13904.72
1156.0,14236.08
1155.0,13776.0
1154.0,13764.958
1153.0,14217.409
1152.0,13752.408
1151.0,14000.623
1150.0,14076.458
1149.0,14049.907
1148.0,13809.734
1147.0,13947.211
1146.0,13807.229
1145.0,13734.571
1144.0,13965.608
1143.0,13987.255
1142.0,14229.389
1141.0,14037.283
1140.0,14164.199
1139.0,14375.229
1138.0,14397.759
1137.0,14331.632
1136.0,13734.229
1135.0,13863.937
1134.0,14402.908
1133.0,14022.97
1132.0,13919.262
1131.0,14275.001
1130.0,14108.003
1129.0,14266.737
1128.0,13883.148
1127.0,13803.777
1126.0,14217.693
1125.0,14129.196
1124.0,14011.236
1123.0,14257.66
1122.0,13974.501
1121.0,14286.875
1120.0,14408.114
1119.0,14514.963
1118.0,14309.328
1117.0,13969.578
1116.0,14091.764
1115.0,14116.479
1114.0,14163.208
1113.0,14611.846
1112.0,14617.666
1111.0,14135.124
1110.0,13973.799
1109.0,14061.414
1108.0,13642.046
1107.0,14070.043
1106.0,13907.574
1105.0,14113.962
1104.0,14197.29
1103.0,14387.428
1102.0,14301.275
1101.0,14102.323
1100.0,13998.737
1099.0,14516.305
1098.0,14828.2
1097.0,14807.451
1096.0,14467.157
1095.0,14350.097
1094.0,14483.396
1093.0,14406.286
1092.0,14454.52
1091.0,14224.548
1090.0,14507.496
1089.0,14393.344
1088.0,14625.482
1087.0,14519.722
1086.0,14528.539
