BE,counts/s
1300.0,13960.888
1299.0,14162.75
1298.0,13490.383
1297.0,13550.997
1296.0,13860.105
1295.0,13836.744
1294.0,13838.49
1293.0,13794.85
1292.0,13765.47
1291.0,13498.458
1290.0,13512.491
1289.0,13368.81
1288.0,13781.203
1287.0,13978.359
1286.0,13306.467
1285.0,13794.017
1284.0,13788.319
1283.0,13336.581
1282.0,13732.223
1281.0,13386.564
1280.0,13520.369
1279.0,13860.126
1278.0,13464.355
1277.0,13672.424
1276.0,13662.218
1275.0,13302.899
1274.0,13235.015
1273.0,13570.919
1272.0,13683.631
1271.0,13739.05
1270.0,13299.942
1269.0,13242.165
1268.0,13931.89
1267.0,13871.604
1266.0,12907.335
1265.0,13198.958
1264.0,13222.999
1263.0,13336.911
1262.0,13576.508
1261.0,14082.192
1260.0,13361.009
1259.0,13315.446
1258.0,13304.915
1257.0,13415.745
1256.0,13216.904
1255.0,13408.931
1254.0,13655.464
1253.0,13422.006
1252.0,13755.065
1251.0,13664.938
1250.0,13348.546
1249.0,13264.604
1248.0,13634.684
1247.0,13416.682
1246.0,13322.148
1245.0,13457.496
1244.0,13159.922
1243.0,12988.759
1242.0,13275.172
1241.0,13520.486
1240.0,13462.993
1239.0,13159.177
1238.0,13574.821
1237.0,13348.726
1236.0,13310.219
1235.0,13441.147
1234.0,13188.898
1233.0,13624.581
1232.0,13642.113
1231.0,13443.585
1230.0,13364.992
1229.0,13313.174
1228.0,13105.816
1227.0,13744.473
1226.0,13175.728
1225.0,13377.144
1224.0,13311.939
1223.0,13362.39
1222.0,13418.536
1221.0,13202.71
1220.0,13457.05
1219.0,13366.735
1218.0,13547.128
1217.0,13301.283
1216.0,13400.054
1215.0,13514.435
1214.0,13131.676
1213.0,12781.798
1212.0,13318.856
1211.0,13342.6
1210.0,13210.913
1209.0,13273.187
1208.0,13456.38
1207.0,13730.109
1206.0,13352.471
1205.0,13180.692
1204.0,13255.446
1203.0,13510.658
1202.0,13370.676
1201.0,13279.342
1200.0,13498.008
1199.0,13728.158
1198.0,13291.116
1197.0,13331.577
1196.0,13126.917
1195.0,12887.902
1194.0,12924.199
1193.0,13461.102
1192.0,13169.814
1191.0,13617.729
1190.0,13438.489
1189.0,13402.794
1188.0,13617.848
1187.0,13315.077
1186.0,13845.061
1185.0,13588.332
1184.0,13321.266
1183.0,13204.026
1182.0,13319.153
1181.0,13316.961
1180.0,13104.347
1179.0,13319.332
1178.0,13271.283
1177.0,13779.286
1176.0,13654.399
1175.0,13567.766
1174.0,13425.867
1173.0,13785.673
1172.0,13907.666
1171.0,13517.863
1170.0,13387.994
1169.0,13376.148
1168.0,13765.378
1167.0,13509.516
1166.0,13313.301
1165.0,13584.204
1164.0,13151.48
1163.0,14010.011
1162.0,13979.263
1161.0,14026.305
1160.0,14100.051
1159.0,13486.341
1158.0,13685.457
1157.0,14056.184
1156.0,13679.675
1155.0,13795.839
1154.0,13337.224
1153.0,13736.226
1152.0,13633.571
1151.0,13561.337
1150.0,13618.429
1149.0,13731.015
1148.0,13704.57
1147.0,13606.259
1146.0,13390.424
1145.0,13450.604
1144.0,13713.025
1143.0,14012.454
1142.0,13996.197
1141.0,13727.767
1140.0,13834.742
1139.0,13899.574
1138.0,14231.141
1137.0,13964.943
1136.0,13879.699
1135.0,13389.871
1134.0,14136.1
1133.0,14101.895
1132.0,13855.664
1131.0,13720.705
1130.0,13610.616
1129.0,14160.499
1128.0,13993.032
1127.0,13618.247
1126.0,13833.782
1125.0,13857.901
1124.0,13889.672
1123.0,14056.314
1122.0,13867.516
1121.0,14523.411
1120.0,14325.338
1119.0,13713.375
1118.0,13387.54
1117.0,14147.09
1116.0,13658.986
1115.0,13634.999
1114.0,14387.534
1113.0,14102.096
1112.0,14321.523
1111.0,14162.049
1110.0,14268.722
1109.0,14134.498
1108.0,14110.583
1107.0,14119.018
1106.0,13969.397
1105.0,14184.799
1104.0,14263.818
1103.0,13899.052
1102.0,13697.44
1101.0,13911.296
1100.0,13874.921
1099.0,14147.381
1098.0,14230.153
1097.0,14166.346
1096.0,14138.06
1095.0,14248.853
1094.0,14274.906
1093.0,14105.529
1092.0,14216.82
1091.0,14460.557
1090.0,14277.06
1089.0,14030.856
1088.0,14493.206
1087.0,14303.714
1086.0,14271.236
