BE,counts/s
114.0,62.890787
113.9,68.151822
113.8,55.690249
113.7,58.178359
113.6,53.416909
113.5,54.877042
113.4,50.025229
113.3,64.348016
113.2,54.4485
113.1,50.992707
113.0,47.399393
112.9,47.877153
112.8,56.708665
112.7,53.942657
112.6,52.866196
112.5,54.060024
112.4,45.909414
112.3,44.396663
112.2,51.523803
112.1,54.341209
112.0,48.518769
111.9,51.084681
111.8,51.435336
111.7,52.72313
111.6,55.430783
111.5,55.59874
111.4,57.004996
111.3,52.92503
111.2,62.446718
111.1,36.509953
111.0,40.515071
110.9,48.525291
110.8,47.170486
110.7,50.664068
110.6,42.278546
110.5,39.262741
110.4,46.195151
110.3,51.434476
110.2,44.206804
110.1,51.42582
110.0,50.071617
109.9,45.302496
109.8,47.081927
109.7,43.447589
109.6,39.562813
109.5,41.155984
109.4,41.525662
109.3,44.247985
109.2,43.670861
109.1,41.29444
109.0,47.74014
108.9,45.806349
108.8,40.160948
108.7,46.596832
108.6,35.016956
108.5,34.276962
108.4,38.60365
108.3,43.95414
108.2,46.045841
108.1,39.876395
108.0,41.521588
107.9,40.920498
107.8,51.16492
107.7,45.718034
107.6,40.043623
107.5,42.475472
107.4,49.386366
107.3,52.140915
107.2,62.037617
107.1,65.062568
107.0,70.009897
106.9,79.475983
106.8,91.805767
106.7,126.68862
106.6,128.84397
106.5,163.34183
106.4,198.81551
106.3,208.43955
106.2,258.05902
106.1,311.63373
106.0,351.58516
105.9,403.54294
105.8,451.47481
105.7,556.18157
105.6,611.36994
105.5,663.42805
105.4,757.36121
105.3,794.10579
105.2,845.87944
105.1,879.73564
105.0,861.95223
104.9,906.45913
104.8,948.38845
104.7,924.73819
104.6,881.8154
104.5,855.59472
104.4,830.74054
104.3,798.5518
104.2,748.82148
104.1,651.72093
104.0,610.01264
103.9,496.11744
103.8,463.56618
103.7,422.10729
103.6,381.75923
103.5,313.57862
103.4,295.36959
103.3,245.30287
103.2,197.12788
103.1,174.68421
103.0,167.16996
102.9,141.21829
102.8,112.34053
102.7,99.041516
102.6,93.603589
102.5,75.412351
102.4,79.535453
102.3,67.573089
102.2,63.644573
102.1,55.765388
102.0,64.687114
101.9,56.003056
101.8,43.635909
101.7,44.653058
101.6,52.841495
101.5,39.759352
101.4,46.563896
101.3,56.653646
101.2,47.480323
101.1,36.481492
101.0,39.260035
100.9,30.11895
100.8,36.080934
100.7,40.927589
100.6,41.648317
100.5,45.139255
100.4,44.041602
100.3,46.497662
100.2,49.74945
100.1,45.750905
100.0,54.199892
99.9,42.815772
99.8,52.405807
99.7,45.357095
99.6,54.145617
99.5,47.515854
99.4,52.015425
99.3,39.243299
99.2,31.493957
99.1,36.332739
99.0,39.003063
98.9,43.28772
98.8,34.593536
98.7,30.127599
98.6,34.873653
98.5,41.39936
98.4,33.598829
98.3,31.598451
98.2,28.956895
98.1,29.684541
98.0,32.028638
97.9,24.915449
97.8,30.921958
97.7,32.896322
97.6,30.989336
97.5,35.29888
97.4,31.434764
97.3,31.84543
97.2,37.5757
97.1,36.807943
97.0,33.979056
