BE,counts/s
114.0,135.24443
113.9,132.66417
113.8,126.54342
113.7,152.04478
113.6,128.83645
113.5,128.37079
113.4,120.05362
113.3,131.0643
113.2,125.36959
113.1,127.53703
113.0,130.79328
112.9,128.72642
112.8,117.96341
112.7,118.87896
112.6,114.67532
112.5,137.4232
112.4,122.0941
112.3,111.28604
112.2,113.70298
112.1,112.97292
112.0,113.69304
111.9,113.75596
111.8,119.63722
111.7,118.27277
111.6,107.82511
111.5,95.14303
111.4,97.425418
111.3,113.85433
111.2,129.21257
111.1,131.58326
111.0,103.76914
110.9,99.321403
110.8,92.484795
110.7,103.6949
110.6,104.2394
110.5,108.51375
110.4,104.46097
110.3,91.897113
110.2,107.67061
110.1,105.66009
110.0,96.517343
109.9,91.253262
109.8,88.026442
109.7,96.959591
109.6,90.408216
109.5,93.805944
109.4,91.96727
109.3,86.346739
109.2,79.330232
109.1,102.35617
109.0,95.615823
108.9,83.354261
108.8,94.611373
108.7,86.839335
108.6,75.238213
108.5,88.558867
108.4,83.155223
108.3,89.209023
108.2,86.110924
108.1,81.417924
108.0,83.134674
107.9,70.642683
107.8,74.070053
107.7,82.641928
107.6,85.561929
107.5,76.637417
107.4,72.811388
107.3,84.978071
107.2,83.350413
107.1,85.489276
107.0,97.16096
106.9,92.431887
106.8,88.972665
106.7,95.477044
106.6,99.964307
106.5,94.139727
106.4,121.28401
106.3,132.93913
106.2,150.06905
106.1,164.70068
106.0,179.93433
105.9,232.5543
105.8,269.3552
105.7,306.86322
105.6,391.04435
105.5,435.63858
105.4,496.51128
105.3,617.99561
105.2,704.35907
105.1,795.7869
105.0,927.22858
104.9,994.97653
104.8,1115.517
104.7,1203.0868
104.6,1327.5247
104.5,1425.3367
104.4,1475.0426
104.3,1508.1417
104.2,1544.2518
104.1,1503.5681
104.0,1479.1077
103.9,1463.3633
103.8,1373.244
103.7,1216.8329
103.6,1196.2296
103.5,1080.6634
103.4,957.26051
103.3,840.26795
103.2,760.95574
103.1,726.60476
103.0,660.99339
102.9,585.93894
102.8,526.90943
102.7,437.41564
102.6,397.95746
102.5,333.8863
102.4,291.85043
102.3,292.6911
102.2,254.76423
102.1,209.43951
102.0,214.19364
101.9,179.34168
101.8,167.04425
101.7,158.36327
101.6,166.73604
101.5,140.30042
101.4,135.14693
101.3,133.30027
101.2,122.49794
101.1,125.94568
101.0,116.72965
100.9,123.96637
100.8,119.92408
100.7,118.69621
100.6,131.38016
100.5,129.80096
100.4,156.37253
100.3,172.9064
100.2,206.9557
100.1,249.25264
100.0,276.01382
99.9,310.72591
99.8,301.01527
99.7,307.43562
99.6,369.79917
99.5,412.11634
99.4,437.60089
99.3,432.06697
99.2,369.80703
99.1,277.3469
99.0,218.46786
98.9,161.15575
98.8,123.6493
98.7,85.343237
98.6,76.921775
98.5,67.52711
98.4,61.685108
98.3,56.477181
98.2,53.6372
98.1,53.402602
98.0,47.382696
97.9,43.151901
97.8,45.701562
97.7,45.093587
97.6,48.800563
97.5,54.162165
97.4,48.16761
97.3,45.674069
97.2,55.158659
97.1,49.276567
97.0,46.242003
