BE,counts/s
114.0,138.72757
113.9,122.04852
113.8,124.10966
113.7,139.90763
113.6,122.86762
113.5,107.34015
113.4,101.48874
113.3,120.10322
113.2,115.47295
113.1,104.1235
113.0,112.67262
112.9,102.28954
112.8,103.96466
112.7,115.32494
112.6,108.89864
112.5,110.15458
112.4,98.075342
112.3,87.415908
112.2,92.651068
112.1,101.18674
112.0,104.93819
111.9,105.03732
111.8,98.639126
111.7,100.73038
111.6,106.9027
111.5,101.11161
111.4,101.29336
111.3,100.18615
111.2,102.3289
111.1,103.41213
111.0,101.32158
110.9,91.85875
110.8,96.14329
110.7,74.520552
110.6,86.171234
110.5,98.072005
110.4,100.72902
110.3,87.497835
110.2,86.420982
110.1,71.946898
110.0,81.854409
109.9,85.036755
109.8,83.516041
109.7,79.409948
109.6,73.047753
109.5,73.279129
109.4,78.752968
109.3,72.420717
109.2,77.528649
109.1,80.536072
109.0,78.227048
108.9,75.29727
108.8,87.172348
108.7,78.597876
108.6,75.827142
108.5,81.740824
108.4,67.400443
108.3,87.273086
108.2,77.983213
108.1,63.710587
108.0,73.176122
107.9,79.466052
107.8,68.480286
107.7,74.20626
107.6,78.663201
107.5,74.572166
107.4,72.946134
107.3,79.496001
107.2,69.628973
107.1,70.378347
107.0,92.461217
106.9,92.352895
106.8,87.414266
106.7,99.669516
106.6,104.53029
106.5,111.75263
106.4,123.21209
106.3,136.89403
106.2,161.6802
106.1,192.48719
106.0,229.75291
105.9,242.85814
105.8,298.51959
105.7,360.57379
105.6,412.68567
105.5,486.70028
105.4,553.51227
105.3,638.33769
105.2,744.37089
105.1,852.27898
105.0,978.51292
104.9,1058.4592
104.8,1118.1013
104.7,1233.579
104.6,1254.2477
104.5,1305.7287
104.4,1398.7383
104.3,1397.2252
104.2,1404.8133
104.1,1368.5032
104.0,1355.6259
103.9,1286.7109
103.8,1191.8393
103.7,1092.7021
103.6,981.92088
103.5,931.88323
103.4,834.42437
103.3,727.98913
103.2,660.08301
103.1,606.91458
103.0,548.30661
102.9,494.98218
102.8,428.00671
102.7,388.63958
102.6,328.51909
102.5,281.66458
102.4,232.6553
102.3,208.9312
102.2,215.26071
102.1,208.72166
102.0,176.45854
101.9,145.66443
101.8,153.88877
101.7,138.80334
101.6,127.1156
101.5,124.44939
101.4,121.51154
101.3,114.5756
101.2,114.04664
101.1,107.75961
101.0,113.82228
100.9,114.59383
100.8,107.01601
100.7,104.97313
100.6,115.63053
100.5,118.1952
100.4,130.99305
100.3,151.50373
100.2,178.78535
100.1,199.01053
100.0,248.80684
99.9,273.86489
99.8,269.00034
99.7,261.73892
99.6,282.99141
99.5,314.56646
99.4,327.18202
99.3,316.5465
99.2,273.55706
99.1,231.25666
99.0,179.50994
98.9,128.05515
98.8,84.479592
98.7,70.58414
98.6,65.931765
98.5,62.41777
98.4,53.291017
98.3,45.440334
98.2,40.39737
98.1,45.261895
98.0,48.073877
97.9,48.083216
97.8,50.018288
97.7,42.586557
97.6,42.486931
97.5,50.066131
97.4,44.816753
97.3,48.222824
97.2,42.865807
97.1,41.002688
97.0,37.653184
