BE,counts/s
541.0,729.34495
540.9,703.36627
540.8,697.919
540.7,717.1238
540.6,721.04783
540.5,746.75024
540.4,724.74898
540.3,740.01727
540.2,764.7915
540.1,656.76142
540.0,698.24419
539.9,686.10313
539.8,705.35478
539.7,654.7645
539.6,682.57813
539.5,695.8688
539.4,660.4038
539.3,647.34406
539.2,685.12665
539.1,662.85681
539.0,685.58788
538.9,658.1398
538.8,720.57894
538.7,676.14183
538.6,636.38507
538.5,630.35683
538.4,684.08415
538.3,663.01223
538.2,639.14543
538.1,609.38487
538.0,674.85111
537.9,695.6349
537.8,688.54943
537.7,676.49717
537.6,683.6952
537.5,604.2357
537.4,637.61254
537.3,601.04483
537.2,614.31528
537.1,675.09924
537.0,640.89166
536.9,628.67862
536.8,647.99249
536.7,660.88416
536.6,636.86871
536.5,639.96336
536.4,586.46101
536.3,597.69057
536.2,629.26826
536.1,625.98743
536.0,645.64588
535.9,664.02944
535.8,641.3928
535.7,652.411
535.6,690.97655
535.5,686.25655
535.4,700.83751
535.3,755.82865
535.2,732.20539
535.1,737.51928
535.0,793.38433
534.9,825.70124
534.8,970.57216
534.7,1005.861
534.6,1150.7359
534.5,1338.7904
534.4,1569.8795
534.3,1808.6663
534.2,2078.7646
534.1,2521.7209
534.0,2978.268
533.9,3389.6238
533.8,3976.0698
533.7,4652.1302
533.6,5387.765
533.5,6027.0453
533.4,6503.7219
533.3,7032.5435
533.2,7595.0478
533.1,7859.6168
533.0,8205.2377
532.9,8019.104
532.8,7762.9976
532.7,7648.7849
532.6,7102.7345
532.5,6694.7656
532.4,5979.1536
532.3,5253.8805
532.2,4559.9521
532.1,4021.275
532.0,3541.5177
531.9,3134.6681
531.8,2702.2338
531.7,2392.5405
531.6,2047.3195
531.5,1756.0838
531.4,1518.7176
531.3,1272.8747
531.2,1128.0501
531.1,1046.4092
531.0,880.60021
530.9,825.97998
530.8,783.29719
530.7,732.68741
530.6,699.98863
530.5,621.83136
530.4,605.08541
530.3,602.90094
530.2,562.76791
530.1,577.87889
530.0,590.62364
529.9,550.11958
529.8,535.95676
529.7,572.01566
529.6,538.61286
529.5,525.2789
529.4,527.15949
529.3,569.05387
529.2,528.72853
529.1,502.13436
529.0,499.59683
528.9,523.36875
528.8,516.37405
528.7,494.70641
528.6,510.99529
528.5,518.74913
528.4,526.49429
528.3,537.96468
528.2,527.3397
528.1,497.26556
528.0,487.34264
527.9,508.73507
527.8,511.4146
527.7,487.10015
527.6,514.91798
527.5,516.9039
527.4,491.98525
527.3,479.13193
527.2,493.37837
527.1,481.54983
527.0,483.40301
526.9,480.713
526.8,448.90803
526.7,502.02326
526.6,504.30597
526.5,519.6036
526.4,474.64219
526.3,474.97178
526.2,514.14054
526.1,483.42265
526.0,497.76629
525.9,504.26593
525.8,463.72947
525.7,505.03129
525.6,478.52119
525.5,498.70804
525.4,477.18293
525.3,477.49624
525.2,479.55087
525.1,496.40987
525.0,459.59369
524.9,476.51772
524.8,484.11002
524.7,493.3366
524.6,485.64046
524.5,517.36932
524.4,536.0542
524.3,482.67675
524.2,512.45176
524.1,506.22054
524.0,519.76335
523.9,522.8418
523.8,499.60311
523.7,486.66154
523.6,469.53424
523.5,474.39279
523.4,442.59626
523.3,477.05898
523.2,466.04749
523.1,488.7694
523.0,526.10286
522.9,445.15118
522.8,475.06656
522.7,449.96727
522.6,463.57954
522.5,500.06676
522.4,499.50675
522.3,515.62063
522.2,494.58149
522.1,521.38716
522.0,509.67034
521.9,478.55415
521.8,483.45764
521.7,519.44134
521.6,512.54222
521.5,485.05749
521.4,517.9199
521.3,500.53723
521.2,463.67213
521.1,510.353
521.0,500.09555
520.9,461.02714
520.8,483.6384
520.7,488.89288
520.6,465.49284
520.5,504.87611
520.4,491.62285
520.3,468.5759
520.2,472.46715
520.1,491.8343
520.0,485.65311
