BE,counts/s
541.0,555.99407
540.9,556.82854
540.8,524.85129
540.7,534.02512
540.6,567.57801
540.5,562.25991
540.4,563.18438
540.3,553.00208
540.2,533.6671
540.1,522.02323
540.0,539.91279
539.9,588.2093
539.8,575.03951
539.7,559.59937
539.6,545.38168
539.5,513.8998
539.4,523.68017
539.3,520.11566
539.2,562.00306
539.1,578.38026
539.0,540.05833
538.9,540.97242
538.8,538.38667
538.7,537.0174
538.6,522.79213
538.5,503.52677
538.4,546.82497
538.3,576.05681
538.2,526.9186
538.1,540.87431
538.0,541.29868
537.9,552.88672
537.8,545.30497
537.7,531.85393
537.6,518.46802
537.5,525.63769
537.4,532.47116
537.3,551.11285
537.2,538.52351
537.1,507.70086
537.0,562.76853
536.9,540.96633
536.8,507.3556
536.7,522.17429
536.6,517.72221
536.5,515.12322
536.4,505.59315
536.3,500.29886
536.2,510.28054
536.1,488.54914
536.0,500.47744
535.9,515.86343
535.8,498.45087
535.7,546.54913
535.6,541.01072
535.5,535.07625
535.4,504.80583
535.3,539.92605
535.2,582.04677
535.1,585.267
535.0,621.50663
534.9,608.52994
534.8,605.71679
534.7,654.19663
534.6,754.02002
534.5,796.83767
534.4,884.61137
534.3,978.77705
534.2,1108.6254
534.1,1230.1206
534.0,1402.3898
533.9,1629.4866
533.8,1920.5176
533.7,2254.2751
533.6,2454.1675
533.5,2758.1611
533.4,2965.4801
533.3,3421.4183
533.2,3705.36
533.1,3874.1527
533.0,4246.1877
532.9,4386.1758
532.8,4398.0029
532.7,4541.7227
532.6,4572.4417
532.5,4449.9791
532.4,4225.9611
532.3,4113.9185
532.2,3810.8135
532.1,3528.7049
532.0,3276.479
531.9,3046.3926
531.8,2712.8926
531.7,2451.1606
531.6,2120.8141
531.5,1835.5427
531.4,1567.926
531.3,1456.8698
531.2,1203.5018
531.1,1007.008
531.0,886.15259
530.9,756.09003
530.8,659.51713
530.7,617.44375
530.6,558.88948
530.5,505.65719
530.4,461.10112
530.3,472.40664
530.2,461.66818
530.1,465.46882
530.0,469.13796
529.9,451.05147
529.8,415.00989
529.7,462.60337
529.6,443.7757
529.5,376.68577
529.4,428.68395
529.3,411.5844
529.2,412.67789
529.1,426.16524
529.0,433.75269
528.9,431.49468
528.8,421.63166
528.7,410.83314
528.6,431.21406
528.5,418.28998
528.4,417.87055
528.3,434.90093
528.2,423.47836
528.1,392.75271
528.0,372.30368
527.9,387.9366
527.8,397.85647
527.7,437.3477
527.6,436.47098
527.5,386.40218
527.4,402.84178
527.3,397.56371
527.2,413.61842
527.1,379.58223
527.0,426.2468
526.9,385.6562
526.8,427.74383
526.7,406.40138
526.6,412.09035
526.5,419.4179
526.4,405.20416
526.3,409.41414
526.2,405.57833
526.1,409.34945
526.0,388.68831
525.9,397.27278
525.8,405.56798
525.7,388.44825
525.6,398.3148
525.5,385.72813
525.4,383.86153
525.3,389.75531
525.2,380.39891
525.1,379.8837
525.0,359.77624
524.9,413.18766
524.8,389.81581
524.7,340.9341
524.6,396.68893
524.5,408.53354
524.4,395.9443
524.3,426.89767
524.2,392.54839
524.1,392.17909
524.0,400.0088
523.9,408.25664
523.8,388.72951
523.7,364.44654
523.6,374.73083
523.5,348.3992
523.4,350.10107
523.3,372.02217
523.2,405.22659
523.1,388.34739
523.0,374.55205
522.9,425.70902
522.8,428.15304
522.7,373.01155
522.6,382.62246
522.5,416.23787
522.4,429.41206
522.3,390.65741
522.2,378.08719
522.1,382.54793
522.0,391.35732
521.9,414.095
521.8,418.13079
521.7,413.75653
521.6,389.55436
521.5,380.15889
521.4,374.56671
521.3,391.82225
521.2,387.42817
521.1,395.54147
521.0,380.51817
520.9,380.89246
520.8,403.41513
520.7,380.68009
520.6,389.08882
520.5,392.27828
520.4,376.0094
520.3,359.4184
520.2,402.36803
520.1,365.87109
520.0,358.74878
