BE,counts/s
541.0,630.28892
540.9,600.74775
540.8,665.37321
540.7,609.4239
540.6,598.87787
540.5,625.87244
540.4,642.2293
540.3,620.57662
540.2,630.16688
540.1,633.19476
540.0,664.11914
539.9,660.68513
539.8,643.90077
539.7,655.23309
539.6,656.17119
539.5,631.83373
539.4,594.1194
539.3,604.59347
539.2,641.73963
539.1,641.48021
539.0,623.24549
538.9,613.29388
538.8,637.2247
538.7,597.39287
538.6,644.4663
538.5,639.66837
538.4,629.92437
538.3,642.01364
538.2,669.02257
538.1,650.04486
538.0,558.39205
537.9,621.63452
537.8,653.66093
537.7,657.12541
537.6,631.46585
537.5,602.50684
537.4,600.14332
537.3,585.93881
537.2,606.3891
537.1,614.94559
537.0,602.16703
536.9,600.11065
536.8,573.78896
536.7,616.25074
536.6,620.24392
536.5,604.77577
536.4,608.97456
536.3,619.29483
536.2,588.70905
536.1,639.96043
536.0,602.80024
535.9,584.28759
535.8,596.65744
535.7,648.15096
535.6,599.09626
535.5,595.2945
535.4,619.62128
535.3,650.63329
535.2,636.44581
535.1,604.80788
535.0,597.32789
534.9,588.48915
534.8,603.93873
534.7,684.63955
534.6,716.41863
534.5,683.60547
534.4,739.97703
534.3,708.74902
534.2,744.35932
534.1,777.81917
534.0,841.21555
533.9,846.06705
533.8,921.62159
533.7,974.63172
533.6,1103.7809
533.5,1203.7048
533.4,1279.5006
533.3,1347.8204
533.2,1527.798
533.1,1625.4908
533.0,1682.7372
532.9,1989.4495
532.8,2198.2997
532.7,2297.2859
532.6,2410.7834
532.5,2575.6564
532.4,2766.7364
532.3,2994.1603
532.2,3085.5088
532.1,3125.7592
532.0,3128.7357
531.9,3208.1465
531.8,3174.4677
531.7,3040.8946
531.6,2989.7287
531.5,2779.6431
531.4,2473.3916
531.3,2268.7
531.2,1951.3714
531.1,1743.1989
531.0,1481.5123
530.9,1244.3947
530.8,998.92198
530.7,848.16806
530.6,775.64011
530.5,678.34503
530.4,668.26379
530.3,653.82365
530.2,670.03787
530.1,618.9801
530.0,582.94898
529.9,563.39438
529.8,543.18597
529.7,555.73409
529.6,540.58296
529.5,532.82163
529.4,541.69356
529.3,522.55409
529.2,546.65459
529.1,543.75265
529.0,550.21267
528.9,560.36362
528.8,500.81144
528.7,512.99521
528.6,520.9498
528.5,455.85156
528.4,492.93587
528.3,538.33425
528.2,537.42345
528.1,524.67343
528.0,525.88094
527.9,511.38063
527.8,543.28114
527.7,551.75127
527.6,479.22292
527.5,523.27594
527.4,528.28302
527.3,576.66155
527.2,545.24622
527.1,520.74561
527.0,523.10241
526.9,483.77845
526.8,465.65673
526.7,484.5867
526.6,549.48068
526.5,523.38703
526.4,508.98239
526.3,505.54111
526.2,528.91119
526.1,557.67442
526.0,520.44248
525.9,553.28858
525.8,547.80238
525.7,536.57837
525.6,500.68373
525.5,498.93036
525.4,517.35392
525.3,493.29743
525.2,528.68383
525.1,497.28138
525.0,513.3376
524.9,531.5121
524.8,503.13457
524.7,506.31457
524.6,494.7429
524.5,491.9352
524.4,493.99217
524.3,483.55963
524.2,509.64308
524.1,510.33126
524.0,491.05439
523.9,546.29438
523.8,541.89121
523.7,489.11963
523.6,534.56259
523.5,537.40032
523.4,511.80761
523.3,515.93352
523.2,478.26166
523.1,504.44505
523.0,488.5127
522.9,486.14574
522.8,506.32798
522.7,507.82028
522.6,513.12723
522.5,505.8669
522.4,510.86799
522.3,513.65104
522.2,539.82305
522.1,540.26731
522.0,531.15815
521.9,553.96427
521.8,495.93609
521.7,520.52684
521.6,544.44763
521.5,502.42835
521.4,507.44666
521.3,555.84008
521.2,564.66042
521.1,471.03003
521.0,513.93549
520.9,512.71455
520.8,520.44571
520.7,522.91052
520.6,470.57926
520.5,498.42648
520.4,477.54503
520.3,528.44204
520.2,569.93981
520.1,474.7619
520.0,507.36726
