BE,counts/s
114.0,230.03587
113.9,250.36561
113.8,245.95684
113.7,222.10692
113.6,228.5547
113.5,247.63859
113.4,225.56141
113.3,223.49988
113.2,236.18748
113.1,226.78358
113.0,197.74083
112.9,198.97597
112.8,205.76867
112.7,193.75213
112.6,203.02084
112.5,206.11751
112.4,202.4376
112.3,200.93872
112.2,197.03949
112.1,182.6721
112.0,190.2966
111.9,177.07224
111.8,181.16645
111.7,185.26056
111.6,191.05464
111.5,183.42572
111.4,177.71655
111.3,181.93831
111.2,183.20684
111.1,181.58146
111.0,172.03152
110.9,177.4195
110.8,171.11814
110.7,164.68467
110.6,162.76712
110.5,181.50072
110.4,174.91038
110.3,165.53961
110.2,164.67635
110.1,165.85076
110.0,172.23731
109.9,160.56696
109.8,155.07476
109.7,165.43811
109.6,174.25611
109.5,156.69203
109.4,157.8249
109.3,149.38841
109.2,142.71792
109.1,159.5319
109.0,148.71237
108.9,147.50171
108.8,146.59167
108.7,151.17093
108.6,148.14494
108.5,127.28805
108.4,144.42713
108.3,137.34717
108.2,131.35724
108.1,145.68412
108.0,149.20703
107.9,142.27176
107.8,152.23287
107.7,152.56078
107.6,157.89961
107.5,142.40309
107.4,138.7774
107.3,133.83064
107.2,153.30638
107.1,150.49257
107.0,138.02733
106.9,124.87234
106.8,146.77093
106.7,154.25875
106.6,136.25649
106.5,146.52702
106.4,136.19659
106.3,150.33148
106.2,135.38549
106.1,136.0502
106.0,143.73549
105.9,130.39345
105.8,128.67245
105.7,133.09593
105.6,136.46338
105.5,144.63875
105.4,143.56518
105.3,143.83235
105.2,145.09591
105.1,147.59188
105.0,148.78671
104.9,155.50373
104.8,172.71702
104.7,165.43617
104.6,166.52319
104.5,177.82386
104.4,194.47938
104.3,198.45972
104.2,209.28502
104.1,209.15642
104.0,228.25943
103.9,249.71426
103.8,252.72969
103.7,259.60095
103.6,256.61156
103.5,278.51975
103.4,285.01547
103.3,279.93468
103.2,295.1137
103.1,324.03356
103.0,320.56379
102.9,308.88967
102.8,334.71999
102.7,379.40739
102.6,345.46462
102.5,347.56359
102.4,370.51894
102.3,353.11013
102.2,366.00089
102.1,380.16211
102.0,377.079
101.9,411.67855
101.8,402.44556
101.7,420.67003
101.6,398.24488
101.5,431.45822
101.4,419.14304
101.3,425.56872
101.2,457.66151
101.1,468.88394
101.0,491.00387
100.9,506.20855
100.8,541.46154
100.7,523.67231
100.6,590.12584
100.5,639.7175
100.4,721.63164
100.3,832.45764
100.2,930.37832
100.1,1069.6016
100.0,1191.8783
99.9,1295.2717
99.8,1350.4356
99.7,1385.638
99.6,1475.012
99.5,1536.0309
99.4,1581.7716
99.3,1589.7795
99.2,1499.0499
99.1,1334.3847
99.0,1074.2033
98.9,785.24174
98.8,519.03633
98.7,330.80297
98.6,201.37382
98.5,135.01031
98.4,90.494724
98.3,76.966903
98.2,57.310536
98.1,42.622825
98.0,43.414835
97.9,46.778963
97.8,46.164496
97.7,50.674452
97.6,50.498334
97.5,49.085914
97.4,49.055472
97.3,43.274335
97.2,40.706627
97.1,36.33483
97.0,28.329917
