BE,counts/s
541.0,484.24342
540.9,530.66567
540.8,526.13429
540.7,504.81473
540.6,495.78668
540.5,522.08504
540.4,489.3025
540.3,497.47582
540.2,530.14075
540.1,511.9996
540.0,487.37848
539.9,481.17041
539.8,511.54289
539.7,507.49241
539.6,490.0966
539.5,485.57189
539.4,503.06104
539.3,531.35095
539.2,498.90241
539.1,489.73703
539.0,480.25531
538.9,477.51528
538.8,492.95001
538.7,484.17287
538.6,479.94825
538.5,462.04176
538.4,492.25647
538.3,494.94646
538.2,506.50515
538.1,479.79724
538.0,501.60344
537.9,479.57179
537.8,493.71589
537.7,479.47508
537.6,494.74927
537.5,525.04371
537.4,492.7355
537.3,520.57663
537.2,508.28152
537.1,448.21106
537.0,462.1368
536.9,488.21269
536.8,486.39681
536.7,498.0718
536.6,477.36099
536.5,490.47809
536.4,514.61665
536.3,517.81384
536.2,496.84144
536.1,486.20246
536.0,466.15907
535.9,480.19539
535.8,486.7278
535.7,486.54045
535.6,464.71151
535.5,485.96472
535.4,456.67167
535.3,427.72616
535.2,450.19164
535.1,492.03896
535.0,485.28745
534.9,518.1319
534.8,507.294
534.7,553.18761
534.6,524.38765
534.5,588.26533
534.4,629.12118
534.3,653.93354
534.2,717.05119
534.1,790.45649
534.0,787.08952
533.9,829.75904
533.8,976.90138
533.7,1052.6599
533.6,1118.1072
533.5,1250.4518
533.4,1424.4296
533.3,1544.6039
533.2,1635.5813
533.1,1717.6037
533.0,1855.5799
532.9,1993.6341
532.8,2193.7473
532.7,2244.881
532.6,2261.0608
532.5,2467.1253
532.4,2531.6738
532.3,2545.549
532.2,2652.3683
532.1,2630.513
532.0,2693.4847
531.9,2636.9167
531.8,2554.8549
531.7,2463.6872
531.6,2369.5958
531.5,2145.7553
531.4,1900.0361
531.3,1718.7341
531.2,1425.1754
531.1,1295.0296
531.0,1107.2419
530.9,899.56029
530.8,786.51468
530.7,693.88731
530.6,627.62638
530.5,561.90014
530.4,503.71011
530.3,467.64916
530.2,467.95876
530.1,454.97128
530.0,462.79428
529.9,386.558
529.8,431.14692
529.7,434.85216
529.6,453.97562
529.5,426.46741
529.4,403.17008
529.3,467.1523
529.2,410.29984
529.1,399.7078
529.0,375.33366
528.9,384.59908
528.8,419.62215
528.7,355.64345
528.6,357.52399
528.5,406.91506
528.4,421.28648
528.3,396.58263
528.2,437.55689
528.1,426.56687
528.0,428.88599
527.9,423.99452
527.8,396.72129
527.7,377.67471
527.6,415.38599
527.5,440.33051
527.4,430.14264
527.3,388.20973
527.2,412.06854
527.1,425.57741
527.0,384.66557
526.9,390.22967
526.8,430.28646
526.7,409.52922
526.6,409.10514
526.5,401.50485
526.4,427.28665
526.3,391.5957
526.2,386.80285
526.1,398.9203
526.0,417.3351
525.9,397.00844
525.8,372.51057
525.7,423.12188
525.6,412.42515
525.5,430.5149
525.4,438.84471
525.3,432.02107
525.2,398.96098
525.1,398.04435
525.0,409.85724
524.9,420.27369
524.8,356.47624
524.7,384.56273
524.6,377.66522
524.5,406.62641
524.4,382.25384
524.3,406.24258
524.2,405.65358
524.1,395.83727
524.0,385.82797
523.9,440.92622
523.8,419.79819
523.7,431.75046
523.6,412.9977
523.5,430.767
523.4,372.32179
523.3,389.04918
523.2,398.65623
523.1,386.41614
523.0,378.43036
522.9,392.53575
522.8,377.75881
522.7,375.41786
522.6,398.73835
522.5,416.17868
522.4,410.84155
522.3,416.89154
522.2,401.69461
522.1,382.46055
522.0,357.9783
521.9,386.4309
521.8,412.74545
521.7,437.84617
521.6,404.69189
521.5,387.12078
521.4,421.50643
521.3,401.3641
521.2,415.62111
521.1,410.20267
521.0,388.5992
520.9,391.14299
520.8,390.41037
520.7,407.23778
520.6,424.43283
520.5,385.53251
520.4,369.40264
520.3,416.67312
520.2,395.85772
520.1,363.03146
520.0,390.10968
