BE,counts/s
1300.0,6609.471
1299.0,6524.4082
1298.0,6360.8001
1297.0,6318.4962
1296.0,6515.6409
1295.0,6493.9833
1294.0,6598.2116
1293.0,6453.2133
1292.0,6220.6823
1291.0,6226.5631
1290.0,6088.3378
1289.0,6089.8589
1288.0,6048.622
1287.0,6335.1833
1286.0,6184.299
1285.0,6310.4626
1284.0,6018.0338
1283.0,6043.2339
1282.0,5999.5229
1281.0,5744.7624
1280.0,6083.2962
1279.0,5763.7653
1278.0,5762.464
1277.0,5873.4529
1276.0,5714.7062
1275.0,6060.2311
1274.0,6210.0003
1273.0,6052.5438
1272.0,6370.9854
1271.0,6189.0465
1270.0,6261.5858
1269.0,6063.123
1268.0,5537.8796
1267.0,5397.0444
1266.0,5269.835
1265.0,5554.4728
1264.0,5688.8426
1263.0,5575.2638
1262.0,5344.0697
1261.0,5575.9566
1260.0,5613.6792
1259.0,5479.2557
1258.0,5520.2325
1257.0,5364.9112
1256.0,5252.2644
1255.0,5420.0831
1254.0,5315.7242
1253.0,5155.3137
1252.0,5505.9783
1251.0,5347.2445
1250.0,5170.3707
1249.0,5456.6806
1248.0,5208.2398
1247.0,5591.111
1246.0,5597.1327
1245.0,5489.7916
1244.0,5415.9522
1243.0,5400.5451
1242.0,5553.1598
1241.0,5354.7789
1240.0,5565.348
1239.0,5325.8198
1238.0,5502.4374
1237.0,5453.1457
1236.0,5634.1597
1235.0,5216.4232
1234.0,5126.0713
1233.0,5278.707
1232.0,5454.7646
1231.0,5348.9621
1230.0,5338.3209
1229.0,5201.658
1228.0,5385.6219
1227.0,5489.8758
1226.0,5276.4515
1225.0,5315.9589
1224.0,5363.126
1223.0,5149.8987
1222.0,5164.2022
1221.0,5444.2155
1220.0,5509.3854
1219.0,5491.4094
1218.0,5236.7121
1217.0,5257.5409
1216.0,5259.6059
1215.0,5321.4544
1214.0,5067.0847
1213.0,5403.6461
1212.0,5403.8012
1211.0,5274.4132
1210.0,4974.5162
1209.0,5122.5982
1208.0,5145.3861
1207.0,5065.6096
1206.0,5158.077
1205.0,5204.1062
1204.0,5337.515
1203.0,5091.869
1202.0,4971.658
1201.0,5064.4431
1200.0,5153.6706
1199.0,5248.1361
1198.0,5022.4181
1197.0,4825.3823
1196.0,4986.9451
1195.0,5266.33
1194.0,5101.226
1193.0,5095.7109
1192.0,5060.2137
1191.0,5309.9312
1190.0,4968.7384
1189.0,4994.4503
1188.0,5164.6333
1187.0,4947.2876
1186.0,5239.3621
1185.0,5217.0596
1184.0,5077.7649
1183.0,5078.2838
1182.0,4949.411
1181.0,4938.2888
1180.0,5045.7039
1179.0,5063.3479
1178.0,5044.3825
1177.0,5235.5523
1176.0,5084.0885
1175.0,5189.2519
1174.0,5126.8553
1173.0,5070.6193
1172.0,4845.9831
1171.0,4911.3005
1170.0,5136.3509
1169.0,5023.3208
1168.0,4906.7561
1167.0,5187.0104
1166.0,4906.6322
1165.0,4820.6459
1164.0,5075.6898
1163.0,4988.9858
1162.0,4836.9542
1161.0,4918.4602
1160.0,5101.6506
1159.0,4898.8979
1158.0,4975.0849
1157.0,4891.2238
1156.0,5187.123
1155.0,5188.0383
1154.0,5139.7651
1153.0,5015.8302
1152.0,5080.5159
1151.0,5166.6321
1150.0,5241.3192
1149.0,5052.099
1148.0,4980.555
1147.0,5116.9964
1146.0,4916.9683
1145.0,4922.2712
1144.0,4804.8375
1143.0,5093.6174
1142.0,5036.7313
1141.0,5289.8801
1140.0,4793.3885
1139.0,5065.1168
1138.0,4931.6689
1137.0,5056.813
1136.0,5054.8291
1135.0,4981.7123
1134.0,5126.2248
1133.0,5143.2018
1132.0,5153.1687
1131.0,5012.3648
1130.0,4979.0595
1129.0,4802.9859
1128.0,5222.2053
1127.0,5360.036
1126.0,5070.7568
1125.0,5340.1967
1124.0,5205.2748
1123.0,5148.5855
1122.0,5285.2081
1121.0,5099.1062
1120.0,5385.4218
1119.0,5265.1558
1118.0,5057.6424
1117.0,5317.4081
1116.0,5262.1382
1115.0,5180.7367
1114.0,5089.1882
1113.0,4877.9404
1112.0,5002.0114
1111.0,5342.2681
1110.0,5434.981
1109.0,5463.2341
1108.0,5066.1196
1107.0,5083.2388
1106.0,5299.7736
1105.0,5303.9672
1104.0,5209.4528
1103.0,5165.3192
1102.0,5181.4959
1101.0,4981.4496
1100.0,5166.2553
1099.0,5198.6426
1098.0,5082.0693
1097.0,5205.3143
1096.0,5033.5798
1095.0,5062.4499
1094.0,4929.0262
1093.0,5203.2631
1092.0,5197.5788
1091.0,5217.2077
1090.0,5145.8702
1089.0,5053.1523
1088.0,4923.1054
1087.0,4981.2104
1086.0,4916.3363
1085.0,5344.6213
1084.0,5008.6581
1083.0,4814.5599
1082.0,5290.0687
1081.0,5250.3418
1080.0,5161.0462
1079.0,5169.897
1078.0,5182.6467
1077.0,4998.0864
1076.0,5091.7409
1075.0,5276.0335
1074.0,5139.0498
1073.0,5407.3387
1072.0,5277.422
1071.0,5217.8775
1070.0,5017.5142
1069.0,5147.7209
1068.0,5077.9421
1067.0,5593.5205
1066.0,5379.543
1065.0,5398.9939
1064.0,5244.249
1063.0,5074.8696
1062.0,5283.267
1061.0,5385.8225
1060.0,5288.6994
1059.0,5266.0093
1058.0,5337.6893
1057.0,5295.3421
1056.0,5331.5746
1055.0,5130.59
1054.0,5141.3007
1053.0,5351.1339
1052.0,5188.5152
1051.0,5230.4864
1050.0,5136.7466
1049.0,5428.8475
1048.0,5506.3448
1047.0,5376.821
1046.0,5366.9437
1045.0,5341.7219
1044.0,5626.9614
1043.0,5532.5984
1042.0,5615.8218
1041.0,5299.4679
1040.0,5427.951
1039.0,5740.3717
1038.0,5790.2751
1037.0,5324.6989
1036.0,5543.6481
1035.0,5590.7629
