BE,counts/s
114.0,226.95697
113.9,222.56983
113.8,217.37417
113.7,215.80647
113.6,227.50108
113.5,215.02181
113.4,212.53154
113.3,220.69273
113.2,214.7263
113.1,210.33696
113.0,208.9669
112.9,196.54947
112.8,197.95151
112.7,208.03194
112.6,201.60707
112.5,196.53892
112.4,205.28875
112.3,186.42495
112.2,191.60881
112.1,192.82996
112.0,188.09695
111.9,183.79529
111.8,186.8109
111.7,179.04675
111.6,183.09504
111.5,165.95164
111.4,168.39503
111.3,172.65871
111.2,174.57858
111.1,163.57649
111.0,157.50828
110.9,172.43366
110.8,163.17191
110.7,152.19334
110.6,161.0282
110.5,175.23975
110.4,158.67824
110.3,157.69587
110.2,140.36919
110.1,145.96696
110.0,144.47786
109.9,156.38015
109.8,155.50432
109.7,139.80907
109.6,147.99706
109.5,162.68077
109.4,143.19206
109.3,137.58188
109.2,138.05773
109.1,149.68008
109.0,146.89764
108.9,157.69497
108.8,141.36338
108.7,139.79299
108.6,137.4882
108.5,138.82665
108.4,134.50613
108.3,131.82321
108.2,132.06381
108.1,144.52451
108.0,128.57506
107.9,131.17732
107.8,126.41922
107.7,133.91202
107.6,129.66971
107.5,147.98802
107.4,133.12879
107.3,128.41001
107.2,130.23475
107.1,142.34501
107.0,132.89875
106.9,138.08261
106.8,146.66818
106.7,120.32979
106.6,127.57052
106.5,118.93075
106.4,116.64184
106.3,121.32519
106.2,118.36781
106.1,119.54115
106.0,126.45646
105.9,124.66601
105.8,129.44157
105.7,125.10813
105.6,127.39176
105.5,122.43984
105.4,135.88356
105.3,123.49834
105.2,120.44164
105.1,120.73559
105.0,124.64648
104.9,117.20595
104.8,119.01047
104.7,114.58812
104.6,117.92406
104.5,121.91332
104.4,117.4318
104.3,118.6557
104.2,118.23456
104.1,121.26098
104.0,128.37752
103.9,126.63512
103.8,125.7732
103.7,112.12496
103.6,133.32386
103.5,126.31023
103.4,123.73868
103.3,109.38452
103.2,118.9104
103.1,119.49709
103.0,138.40744
102.9,158.33627
102.8,149.73957
102.7,135.43989
102.6,134.77033
102.5,130.4029
102.4,148.10961
102.3,139.7872
102.2,147.58463
102.1,152.75891
102.0,148.01288
101.9,159.40192
101.8,173.5838
101.7,198.08805
101.6,192.26784
101.5,203.43726
101.4,217.97459
101.3,228.48217
101.2,245.29712
101.1,265.93309
101.0,325.12458
100.9,329.11273
100.8,330.00068
100.7,384.88687
100.6,440.4323
100.5,539.01419
100.4,603.0728
100.3,744.7589
100.2,900.52185
100.1,1052.5543
100.0,1240.1343
99.9,1404.2922
99.8,1480.4378
99.7,1562.6013
99.6,1724.854
99.5,1817.4282
99.4,1820.0314
99.3,1889.8199
99.2,1823.3536
99.1,1606.9515
99.0,1249.6809
98.9,859.93339
98.8,578.81789
98.7,391.23482
98.6,233.75694
98.5,112.2642
98.4,87.198139
98.3,72.26578
98.2,53.006239
98.1,45.868778
98.0,48.403815
97.9,35.742634
97.8,34.068068
97.7,42.49609
97.6,35.054363
97.5,42.595488
97.4,41.129971
97.3,35.194226
97.2,33.508543
97.1,31.236888
97.0,29.566154
