BE,counts/s
541.0,567.94421
540.9,531.05567
540.8,526.59347
540.7,510.69754
540.6,536.16027
540.5,509.25499
540.4,598.63184
540.3,528.31037
540.2,502.43883
540.1,551.90487
540.0,547.41934
539.9,567.48216
539.8,522.15984
539.7,550.60434
539.6,512.93822
539.5,514.02894
539.4,528.00097
539.3,537.63536
539.2,514.60757
539.1,558.10689
539.0,522.86518
538.9,545.14454
538.8,557.55539
538.7,502.71024
538.6,518.5296
538.5,553.3407
538.4,555.25504
538.3,533.9856
538.2,518.43069
538.1,530.30906
538.0,507.65861
537.9,531.3036
537.8,493.29755
537.7,507.10382
537.6,545.01986
537.5,523.22686
537.4,559.01462
537.3,581.49793
537.2,544.75415
537.1,503.93313
537.0,511.21246
536.9,524.84709
536.8,544.98347
536.7,533.85237
536.6,547.08337
536.5,536.38046
536.4,539.12684
536.3,550.39721
536.2,518.99885
536.1,529.20357
536.0,479.57555
535.9,547.67094
535.8,540.20359
535.7,498.45383
535.6,533.90565
535.5,548.67035
535.4,545.84856
535.3,528.61498
535.2,590.2414
535.1,573.95509
535.0,560.88884
534.9,530.13691
534.8,531.84936
534.7,585.13806
534.6,540.33033
534.5,510.41191
534.4,516.01143
534.3,517.08705
534.2,565.91872
534.1,574.78822
534.0,578.00229
533.9,586.28061
533.8,568.64452
533.7,573.40205
533.6,586.93683
533.5,632.11989
533.4,540.94667
533.3,556.76683
533.2,597.69935
533.1,579.32408
533.0,630.90982
532.9,637.29837
532.8,628.54176
532.7,684.37895
532.6,682.04275
532.5,701.67842
532.4,752.8188
532.3,750.87207
532.2,775.50398
532.1,789.9028
532.0,982.91418
531.9,946.97538
531.8,1009.2491
531.7,1121.2149
531.6,1119.9104
531.5,1291.6088
531.4,1323.031
531.3,1232.6432
531.2,1265.3751
531.1,1239.6105
531.0,1100.88
530.9,977.61113
530.8,854.88279
530.7,752.7621
530.6,689.54851
530.5,621.87343
530.4,611.11265
530.3,570.98952
530.2,558.54715
530.1,496.63689
530.0,539.90454
529.9,536.43753
529.8,547.47094
529.7,508.3317
529.6,517.99965
529.5,523.87913
529.4,500.49114
529.3,472.78914
529.2,533.78604
529.1,545.2304
529.0,522.2469
528.9,525.06812
528.8,510.71031
528.7,507.72521
528.6,528.13338
528.5,514.59481
528.4,521.95422
528.3,537.89209
528.2,536.16394
528.1,508.50883
528.0,473.19841
527.9,519.67835
527.8,495.59264
527.7,492.46207
527.6,498.94757
527.5,462.874
527.4,471.17994
527.3,529.75738
527.2,537.62558
527.1,516.94683
527.0,525.46942
526.9,537.10527
526.8,479.55961
526.7,480.7453
526.6,524.68802
526.5,507.12236
526.4,508.16218
526.3,535.46904
526.2,461.84838
526.1,466.55568
526.0,493.1686
525.9,531.70345
525.8,524.3261
525.7,522.93337
525.6,526.57575
525.5,526.32274
525.4,520.12253
525.3,533.03019
525.2,517.63692
525.1,505.12454
525.0,525.03395
524.9,479.18066
524.8,477.61416
524.7,499.32556
524.6,506.07446
524.5,517.82503
524.4,508.5999
524.3,528.79155
524.2,531.2046
524.1,532.22222
524.0,470.08519
523.9,498.01344
523.8,520.06818
523.7,505.46644
523.6,482.72057
523.5,493.56806
523.4,511.63236
523.3,501.48258
523.2,445.32888
523.1,502.61725
523.0,495.41172
522.9,475.94506
522.8,486.02851
522.7,487.83
522.6,546.50736
522.5,522.77997
522.4,473.53086
522.3,525.12492
522.2,506.68348
522.1,518.18714
522.0,523.76511
521.9,552.17649
521.8,508.26367
521.7,520.0469
521.6,501.90366
521.5,489.39679
521.4,527.7088
521.3,482.38676
521.2,497.92409
521.1,500.03434
521.0,506.3652
520.9,512.9207
520.8,523.11174
520.7,489.74286
520.6,495.44517
520.5,477.49202
520.4,494.85606
520.3,523.2193
520.2,513.50069
520.1,513.73347
520.0,492.06567
