BE,counts/s
114.0,383.30757
113.9,357.39309
113.8,362.52469
113.7,321.29639
113.6,338.31458
113.5,322.34567
113.4,328.96205
113.3,316.31267
113.2,307.01748
113.1,336.22746
113.0,330.35023
112.9,315.34556
112.8,328.73386
112.7,323.00704
112.6,313.35835
112.5,289.27106
112.4,287.80777
112.3,284.60512
112.2,281.16892
112.1,266.30365
112.0,270.49737
111.9,278.70642
111.8,299.21729
111.7,275.41278
111.6,267.36705
111.5,243.76012
111.4,241.38698
111.3,255.76495
111.2,262.90802
111.1,249.13952
111.0,248.6057
110.9,243.87008
110.8,257.48016
110.7,235.35717
110.6,241.78438
110.5,235.6186
110.4,243.84618
110.3,244.25297
110.2,243.83133
110.1,248.51299
110.0,232.57121
109.9,227.56681
109.8,236.42663
109.7,204.45069
109.6,209.14187
109.5,213.91227
109.4,181.02207
109.3,183.28169
109.2,205.9498
109.1,207.0752
109.0,192.75184
108.9,200.98911
108.8,190.21658
108.7,194.5168
108.6,198.48875
108.5,189.06543
108.4,184.98994
108.3,176.60181
108.2,201.31179
108.1,200.81026
108.0,176.00308
107.9,192.53352
107.8,190.35532
107.7,188.84051
107.6,192.02187
107.5,178.89299
107.4,173.85119
107.3,193.39155
107.2,182.58984
107.1,169.10789
107.0,177.98287
106.9,181.35291
106.8,170.04652
106.7,165.51064
106.6,187.60079
106.5,167.82954
106.4,159.78423
106.3,174.88568
106.2,181.19335
106.1,177.16324
106.0,179.77956
105.9,174.98265
105.8,171.29989
105.7,170.47028
105.6,164.52548
105.5,165.95042
105.4,172.2633
105.3,156.04036
105.2,182.17733
105.1,176.09361
105.0,163.0469
104.9,168.27922
104.8,148.16737
104.7,170.36029
104.6,159.44223
104.5,153.67629
104.4,172.05325
104.3,153.56558
104.2,166.38121
104.1,163.39668
104.0,148.67528
103.9,158.90138
103.8,158.81717
103.7,160.00321
103.6,147.86117
103.5,156.87038
103.4,164.14402
103.3,154.72686
103.2,153.94019
103.1,155.50272
103.0,163.97951
102.9,156.8033
102.8,149.37232
102.7,155.44427
102.6,157.36855
102.5,154.40316
102.4,148.58246
102.3,157.66183
102.2,165.93725
102.1,141.67655
102.0,148.87117
101.9,165.256
101.8,162.65563
101.7,176.27347
101.6,162.30521
101.5,175.95688
101.4,185.60787
101.3,218.63769
101.2,238.17903
101.1,249.99525
101.0,260.55953
100.9,257.36837
100.8,302.52662
100.7,368.30248
100.6,412.33155
100.5,496.34548
100.4,598.32005
100.3,770.30364
100.2,971.4196
100.1,1296.9001
100.0,1654.4174
99.9,2017.9883
99.8,2214.8728
99.7,2388.9304
99.6,2616.301
99.5,2786.8317
99.4,3029.3608
99.3,3211.7752
99.2,3338.8145
99.1,3194.6146
99.0,2639.8351
98.9,2119.4273
98.8,1496.9444
98.7,956.12785
98.6,531.05307
98.5,304.13903
98.4,188.96855
98.3,146.35871
98.2,108.8039
98.1,69.188902
98.0,78.287547
97.9,71.950234
97.8,55.774474
97.7,56.020487
97.6,48.183362
97.5,50.512231
97.4,44.228538
97.3,55.334675
97.2,53.408819
97.1,46.599459
97.0,52.332493
