BE,counts/s
541.0,614.62821
540.9,615.64191
540.8,617.14206
540.7,640.00416
540.6,585.45907
540.5,583.99586
540.4,589.60883
540.3,592.95502
540.2,607.22759
540.1,594.43032
540.0,596.2039
539.9,559.4531
539.8,551.36263
539.7,553.42622
539.6,540.40781
539.5,568.45543
539.4,531.13276
539.3,545.45902
539.2,538.58268
539.1,586.6017
539.0,551.17737
538.9,533.09199
538.8,500.64683
538.7,571.13315
538.6,565.05894
538.5,565.15943
538.4,549.98563
538.3,517.40475
538.2,543.74615
538.1,552.15953
538.0,509.46142
537.9,543.08756
537.8,523.43911
537.7,549.06023
537.6,555.15402
537.5,558.71568
537.4,542.6339
537.3,554.09056
537.2,553.43412
537.1,545.96244
537.0,573.91786
536.9,594.28977
536.8,652.03815
536.7,634.94055
536.6,677.72214
536.5,716.60363
536.4,794.09343
536.3,754.36618
536.2,838.63051
536.1,1012.2804
536.0,1137.381
535.9,1264.9667
535.8,1423.9497
535.7,1685.6531
535.6,1982.7535
535.5,2326.7944
535.4,2744.1986
535.3,3291.9774
535.2,3894.4413
535.1,4629.2405
535.0,5391.3461
534.9,6147.928
534.8,7098.3553
534.7,7835.4898
534.6,8673.6109
534.5,9552.4037
534.4,10061.984
534.3,10880.456
534.2,10910.502
534.1,11084.522
534.0,10851.771
533.9,10735.904
533.8,10249.307
533.7,9514.6766
533.6,8611.4413
533.5,7816.0394
533.4,6913.1554
533.3,5933.242
533.2,5095.9254
533.1,4347.2819
533.0,3586.6311
532.9,2951.4098
532.8,2441.904
532.7,2129.5387
532.6,1710.3976
532.5,1444.8972
532.4,1247.6966
532.3,1111.4136
532.2,1007.6936
532.1,896.03609
532.0,861.52225
531.9,784.10471
531.8,689.12185
531.7,737.16569
531.6,684.0339
531.5,679.02077
531.4,612.40511
531.3,583.37525
531.2,588.67943
531.1,584.05454
531.0,546.50528
530.9,485.38036
530.8,551.16216
530.7,518.95843
530.6,516.13724
530.5,513.74013
530.4,509.06079
530.3,483.49845
530.2,497.11635
530.1,441.20105
530.0,493.05219
529.9,496.99086
529.8,497.85471
529.7,488.79145
529.6,485.43889
529.5,472.89072
529.4,464.18878
529.3,476.03136
529.2,466.34856
529.1,445.86003
529.0,497.33016
528.9,450.25711
528.8,454.23826
528.7,464.0969
528.6,498.97705
528.5,481.94503
528.4,454.76869
528.3,422.21117
528.2,431.56059
528.1,458.47745
528.0,456.43247
527.9,447.15462
527.8,442.84892
527.7,439.4826
527.6,431.44435
527.5,471.00433
527.4,458.32241
527.3,420.85468
527.2,497.22838
527.1,470.3508
527.0,484.01486
526.9,442.93815
526.8,452.39713
526.7,439.53076
526.6,468.19246
526.5,469.59027
526.4,449.00829
526.3,447.72619
526.2,441.08175
526.1,436.38266
526.0,463.13813
525.9,467.4136
525.8,434.0381
525.7,482.5334
525.6,450.24489
525.5,410.33862
525.4,414.0772
525.3,441.89662
525.2,433.95379
525.1,434.27721
525.0,427.17734
524.9,406.17561
524.8,401.9478
524.7,455.95417
524.6,424.20064
524.5,444.76554
524.4,436.49242
524.3,429.29815
524.2,454.55527
524.1,409.44883
524.0,436.85974
523.9,419.96037
523.8,447.95285
523.7,440.25896
523.6,445.35792
523.5,444.83734
523.4,446.68238
523.3,422.23219
523.2,469.18746
523.1,450.26105
523.0,434.63953
522.9,473.01742
522.8,423.40077
522.7,454.03681
522.6,442.36032
522.5,427.68059
522.4,457.0178
522.3,438.94048
522.2,447.96713
522.1,428.98752
522.0,432.45856
521.9,414.49515
521.8,426.64867
521.7,442.98413
521.6,419.26143
521.5,438.48002
521.4,423.68003
521.3,439.62403
521.2,411.69411
521.1,428.54399
521.0,406.19165
520.9,469.18072
520.8,464.87775
520.7,432.91476
520.6,376.34566
520.5,424.43854
520.4,419.461
520.3,412.30023
520.2,445.06671
520.1,440.56463
520.0,419.271
