BE,counts/s
541.0,570.42307
540.9,561.66614
540.8,535.66191
540.7,525.66964
540.6,578.22401
540.5,575.86149
540.4,495.10828
540.3,495.13762
540.2,527.54988
540.1,546.77443
540.0,480.74349
539.9,534.28605
539.8,568.1068
539.7,503.65267
539.6,509.56469
539.5,482.9632
539.4,493.35241
539.3,510.26171
539.2,534.16
539.1,541.04126
539.0,533.49023
538.9,523.48595
538.8,529.70046
538.7,530.46345
538.6,474.82686
538.5,503.116
538.4,524.27297
538.3,500.3284
538.2,480.3241
538.1,482.93042
538.0,515.90946
537.9,539.29213
537.8,480.61955
537.7,505.43779
537.6,478.44884
537.5,456.65972
537.4,502.47953
537.3,482.54057
537.2,473.46321
537.1,488.31921
537.0,462.26085
536.9,475.61001
536.8,496.00742
536.7,474.25957
536.6,519.94728
536.5,484.74111
536.4,443.87991
536.3,493.03831
536.2,487.62487
536.1,476.13134
536.0,460.84295
535.9,489.26458
535.8,510.79859
535.7,511.9942
535.6,538.61161
535.5,491.16332
535.4,529.56848
535.3,567.05782
535.2,588.06427
535.1,664.41752
535.0,704.71745
534.9,717.95098
534.8,810.0617
534.7,941.32192
534.6,1076.1978
534.5,1155.1762
534.4,1429.3191
534.3,1686.3582
534.2,1995.3224
534.1,2225.4166
534.0,2650.8774
533.9,3220.2616
533.8,3576.4943
533.7,4056.951
533.6,4568.9223
533.5,5107.6876
533.4,5544.9039
533.3,5678.2697
533.2,5996.8764
533.1,6255.5244
533.0,6241.972
532.9,6051.8885
532.8,5971.7255
532.7,5508.294
532.6,5155.6001
532.5,4789.8733
532.4,4156.5457
532.3,3715.7299
532.2,3307.2354
532.1,2840.569
532.0,2369.2299
531.9,2045.9597
531.8,1851.6101
531.7,1565.5063
531.6,1386.3159
531.5,1144.0038
531.4,982.70767
531.3,918.87001
531.2,763.04963
531.1,707.63193
531.0,645.80281
530.9,605.70059
530.8,540.3163
530.7,476.61394
530.6,461.3992
530.5,459.40864
530.4,433.98854
530.3,442.82914
530.2,425.14001
530.1,474.26416
530.0,414.01966
529.9,416.83497
529.8,433.09216
529.7,413.51232
529.6,399.85005
529.5,443.09807
529.4,411.12291
529.3,386.35934
529.2,428.06992
529.1,369.22686
529.0,367.25191
528.9,389.34819
528.8,398.24304
528.7,385.44921
528.6,367.02651
528.5,386.9011
528.4,394.39813
528.3,379.37859
528.2,377.96311
528.1,364.9986
528.0,390.23181
527.9,398.68536
527.8,380.17126
527.7,365.15015
527.6,359.79193
527.5,366.81616
527.4,418.36935
527.3,367.29564
527.2,380.07343
527.1,365.04274
527.0,338.3466
526.9,366.48906
526.8,368.03879
526.7,370.00022
526.6,384.4836
526.5,382.54361
526.4,381.62017
526.3,342.71252
526.2,348.85698
526.1,348.91559
526.0,362.72615
525.9,367.0835
525.8,394.53748
525.7,353.56266
525.6,373.66827
525.5,381.62813
525.4,353.00177
525.3,391.33262
525.2,375.0302
525.1,338.30476
525.0,350.36368
524.9,399.79688
524.8,415.79503
524.7,409.47958
524.6,377.27625
524.5,382.6277
524.4,376.94619
524.3,362.73651
524.2,386.89742
524.1,357.88742
524.0,373.50543
523.9,358.11262
523.8,350.3086
523.7,379.91222
523.6,384.67199
523.5,292.25947
523.4,351.19705
523.3,351.11513
523.2,356.79432
523.1,366.34443
523.0,387.58982
522.9,385.58125
522.8,364.06245
522.7,383.53583
522.6,409.9473
522.5,431.78488
522.4,388.17682
522.3,388.80055
522.2,401.58701
522.1,363.46341
522.0,370.14076
521.9,358.20714
521.8,358.19448
521.7,394.27561
521.6,370.82912
521.5,400.42528
521.4,338.40953
521.3,359.79718
521.2,382.68381
521.1,368.93179
521.0,338.86799
520.9,387.379
520.8,312.98179
520.7,340.13396
520.6,346.81961
520.5,347.45414
520.4,372.20311
520.3,340.52973
520.2,369.5818
520.1,371.9556
520.0,373.56741
