BE,counts/s
541.0,599.21662
540.9,562.8871
540.8,587.5112
540.7,544.63792
540.6,584.50755
540.5,565.84784
540.4,564.36233
540.3,513.92358
540.2,506.1739
540.1,540.07473
540.0,583.00722
539.9,559.91863
539.8,552.83666
539.7,523.85892
539.6,548.63064
539.5,528.96926
539.4,562.60241
539.3,532.20588
539.2,499.32256
539.1,515.50016
539.0,528.58634
538.9,492.41413
538.8,495.52734
538.7,530.71095
538.6,492.48808
538.5,522.82861
538.4,551.40288
538.3,524.95516
538.2,512.84612
538.1,506.85882
538.0,532.00349
537.9,494.68472
537.8,538.34816
537.7,542.09424
537.6,563.91513
537.5,504.5877
537.4,592.09889
537.3,547.53856
537.2,511.00066
537.1,547.29163
537.0,550.93761
536.9,617.43798
536.8,647.673
536.7,648.35375
536.6,667.68116
536.5,705.08195
536.4,761.01562
536.3,868.68013
536.2,920.59752
536.1,1081.5412
536.0,1189.2562
535.9,1409.0294
535.8,1603.5022
535.7,2003.8124
535.6,2351.1204
535.5,2741.9644
535.4,3206.2668
535.3,3745.3256
535.2,4386.3732
535.1,5088.5208
535.0,5853.9805
534.9,6532.6299
534.8,7352.4916
534.7,8440.993
534.6,9112.011
534.5,9663.6613
534.4,10183.009
534.3,10624.898
534.2,10929.911
534.1,10845.371
534.0,10661.136
533.9,10329.699
533.8,9736.5259
533.7,9040.3303
533.6,8203.9582
533.5,7378.0541
533.4,6441.6951
533.3,5638.7368
533.2,4845.6014
533.1,4117.4513
533.0,3437.8423
532.9,2892.0235
532.8,2477.587
532.7,1898.28
532.6,1695.7174
532.5,1393.3518
532.4,1155.033
532.3,1037.3532
532.2,981.29451
532.1,871.52311
532.0,793.02851
531.9,726.10908
531.8,658.96462
531.7,622.15316
531.6,677.72142
531.5,615.87532
531.4,612.36299
531.3,562.54152
531.2,565.70808
531.1,529.55901
531.0,535.62455
530.9,565.7635
530.8,523.14333
530.7,467.36238
530.6,451.69617
530.5,454.17042
530.4,459.48037
530.3,489.05853
530.2,465.73693
530.1,467.30924
530.0,482.39526
529.9,473.25981
529.8,509.68253
529.7,466.32252
529.6,470.0157
529.5,474.00509
529.4,429.52942
529.3,415.94175
529.2,421.64096
529.1,403.24811
529.0,420.18743
528.9,441.85913
528.8,452.03894
528.7,486.7161
528.6,485.68592
528.5,450.35199
528.4,442.53649
528.3,450.96918
528.2,429.58747
528.1,401.23503
528.0,433.93942
527.9,415.03557
527.8,434.27835
527.7,446.36962
527.6,471.33315
527.5,451.5853
527.4,441.51961
527.3,436.76326
527.2,470.86009
527.1,457.52479
527.0,421.73583
526.9,398.7102
526.8,421.08021
526.7,393.02394
526.6,421.63259
526.5,438.90455
526.4,449.6925
526.3,430.45178
526.2,470.89595
526.1,434.89611
526.0,448.33133
525.9,420.13212
525.8,392.5343
525.7,444.71516
525.6,419.97398
525.5,436.64118
525.4,429.19889
525.3,447.18247
525.2,407.88712
525.1,434.95493
525.0,431.67887
524.9,446.30092
524.8,455.29449
524.7,432.17942
524.6,423.75366
524.5,441.39537
524.4,403.69877
524.3,434.95734
524.2,421.65087
524.1,429.59178
524.0,370.23737
523.9,450.40599
523.8,440.27858
523.7,429.69585
523.6,366.14938
523.5,396.8501
523.4,380.43188
523.3,450.45756
523.2,397.42294
523.1,410.10616
523.0,410.24253
522.9,436.88142
522.8,417.22734
522.7,421.28189
522.6,433.58233
522.5,419.49338
522.4,455.85982
522.3,415.42239
522.2,402.39184
522.1,441.41332
522.0,448.48405
521.9,401.07332
521.8,412.43167
521.7,456.61189
521.6,442.63935
521.5,431.86735
521.4,430.20007
521.3,434.94063
521.2,417.88119
521.1,382.58352
521.0,420.20529
520.9,460.51138
520.8,446.44364
520.7,406.29219
520.6,438.6775
520.5,466.73546
520.4,417.98035
520.3,438.40824
520.2,466.37859
520.1,447.32407
520.0,473.13362
