BE,counts/s
541.0,489.69252
540.9,550.02594
540.8,553.90417
540.7,554.37553
540.6,565.09342
540.5,480.94996
540.4,541.29453
540.3,484.24071
540.2,483.67488
540.1,482.70156
540.0,500.00096
539.9,536.2557
539.8,539.408
539.7,535.23143
539.6,547.5148
539.5,489.59332
539.4,509.83826
539.3,556.13069
539.2,526.86859
539.1,506.10926
539.0,526.48931
538.9,521.47355
538.8,500.34351
538.7,508.2398
538.6,505.31181
538.5,525.04622
538.4,524.54636
538.3,535.70362
538.2,548.49898
538.1,550.92416
538.0,497.18993
537.9,510.9467
537.8,538.3023
537.7,532.79712
537.6,478.45133
537.5,516.49069
537.4,548.83895
537.3,502.92435
537.2,481.03049
537.1,525.94388
537.0,539.41276
536.9,525.81186
536.8,526.94011
536.7,497.80428
536.6,461.39473
536.5,494.75064
536.4,514.83155
536.3,498.74061
536.2,514.14908
536.1,503.06015
536.0,470.44731
535.9,498.37552
535.8,508.77936
535.7,527.25046
535.6,475.40315
535.5,535.32812
535.4,521.74908
535.3,522.69457
535.2,518.98515
535.1,531.55779
535.0,517.5161
534.9,529.03934
534.8,562.2404
534.7,517.7667
534.6,547.41713
534.5,547.1768
534.4,553.63877
534.3,560.25556
534.2,539.58728
534.1,526.19484
534.0,569.12467
533.9,542.11941
533.8,552.84686
533.7,548.13917
533.6,528.30505
533.5,530.97395
533.4,559.27681
533.3,606.19884
533.2,575.39823
533.1,615.73662
533.0,622.60805
532.9,648.83583
532.8,632.25127
532.7,681.86855
532.6,718.34736
532.5,729.17182
532.4,751.06163
532.3,757.50991
532.2,810.38836
532.1,877.49678
532.0,980.20334
531.9,1006.2147
531.8,1103.9097
531.7,1152.9043
531.6,1264.9345
531.5,1277.8824
531.4,1307.3363
531.3,1298.9066
531.2,1335.9252
531.1,1214.0687
531.0,1115.4007
530.9,1006.8133
530.8,889.53748
530.7,747.9111
530.6,664.18475
530.5,616.00923
530.4,615.05132
530.3,527.75578
530.2,518.31427
530.1,536.45315
530.0,546.12489
529.9,540.60775
529.8,523.39258
529.7,500.0666
529.6,512.2974
529.5,516.45377
529.4,501.52351
529.3,525.77798
529.2,489.57089
529.1,491.18728
529.0,521.18951
528.9,494.65825
528.8,471.72431
528.7,516.93901
528.6,484.02225
528.5,457.88124
528.4,503.43724
528.3,499.75414
528.2,495.89161
528.1,490.11728
528.0,502.48144
527.9,510.30212
527.8,507.42029
527.7,482.24854
527.6,529.82944
527.5,488.65113
527.4,488.4846
527.3,486.81017
527.2,453.70741
527.1,475.29885
527.0,483.62726
526.9,527.3694
526.8,491.92422
526.7,537.7337
526.6,494.46268
526.5,507.48955
526.4,480.37017
526.3,494.66616
526.2,479.50576
526.1,504.6643
526.0,489.39248
525.9,495.73824
525.8,540.48191
525.7,520.93739
525.6,472.06047
525.5,498.6547
525.4,488.35913
525.3,507.55817
525.2,501.31662
525.1,510.71815
525.0,507.77646
524.9,498.31502
524.8,495.26022
524.7,498.84127
524.6,541.41266
524.5,540.0696
524.4,482.91261
524.3,499.67853
524.2,510.7867
524.1,488.72834
524.0,461.75756
523.9,468.02767
523.8,485.90257
523.7,482.47696
523.6,465.89118
523.5,497.59268
523.4,465.70895
523.3,497.12696
523.2,536.80324
523.1,479.13162
523.0,503.811
522.9,526.10292
522.8,515.67198
522.7,515.58488
522.6,536.00482
522.5,542.17156
522.4,494.9299
522.3,496.5447
522.2,508.94661
522.1,505.41952
522.0,462.28048
521.9,438.60448
521.8,511.84971
521.7,512.90985
521.6,496.72288
521.5,461.61512
521.4,513.84382
521.3,519.78409
521.2,503.28656
521.1,511.1383
521.0,515.33844
520.9,476.12549
520.8,472.67103
520.7,478.41814
520.6,504.41768
520.5,511.89369
520.4,496.27526
520.3,498.61853
520.2,472.90931
520.1,493.02052
520.0,458.20687
