BE,counts/s
541.0,518.91632
540.9,552.50531
540.8,551.12756
540.7,524.01119
540.6,560.1104
540.5,532.5878
540.4,527.03656
540.3,528.75774
540.2,494.10542
540.1,516.81791
540.0,497.17446
539.9,523.86419
539.8,504.82077
539.7,480.20202
539.6,482.31557
539.5,513.62973
539.4,467.10917
539.3,507.1107
539.2,492.4296
539.1,520.75506
539.0,510.68971
538.9,509.68903
538.8,491.70111
538.7,504.17238
538.6,494.47588
538.5,483.43171
538.4,497.61011
538.3,539.2767
538.2,526.53333
538.1,484.44389
538.0,524.27697
537.9,500.50268
537.8,526.9583
537.7,517.33925
537.6,471.08223
537.5,558.29796
537.4,556.21936
537.3,560.62161
537.2,607.33556
537.1,629.0144
537.0,623.42948
536.9,682.61922
536.8,766.99835
536.7,858.40689
536.6,895.59563
536.5,988.80467
536.4,1188.5406
536.3,1309.7233
536.2,1546.7269
536.1,1895.9189
536.0,2076.414
535.9,2462.855
535.8,2831.3639
535.7,3324.5275
535.6,3839.4436
535.5,4603.1643
535.4,5230.9249
535.3,5939.0371
535.2,6644.7797
535.1,7447.8447
535.0,8111.0619
534.9,8799.7463
534.8,9435.7143
534.7,9842.665
534.6,10294.835
534.5,10514.73
534.4,10625.117
534.3,10397.168
534.2,10095.072
534.1,9385.0334
534.0,8967.5851
533.9,8200.7778
533.8,7381.0988
533.7,6626.1686
533.6,5752.237
533.5,5015.6596
533.4,4222.29
533.3,3541.5711
533.2,3055.3152
533.1,2570.2153
533.0,2091.3797
532.9,1844.3376
532.8,1554.0495
532.7,1304.8815
532.6,1140.6322
532.5,997.48639
532.4,901.65432
532.3,853.2717
532.2,800.47394
532.1,734.43542
532.0,708.87249
531.9,646.26967
531.8,613.37594
531.7,576.9667
531.6,589.86617
531.5,553.62104
531.4,512.37959
531.3,510.08266
531.2,506.84594
531.1,501.37441
531.0,451.18229
530.9,455.85577
530.8,438.2808
530.7,449.86249
530.6,445.37527
530.5,456.43826
530.4,427.39058
530.3,463.86477
530.2,433.59482
530.1,412.99714
530.0,438.57056
529.9,429.15331
529.8,416.50425
529.7,412.86165
529.6,423.76072
529.5,397.18979
529.4,387.904
529.3,429.58932
529.2,423.90017
529.1,406.92353
529.0,387.72028
528.9,424.98243
528.8,390.80418
528.7,382.96563
528.6,387.48605
528.5,420.96329
528.4,417.66138
528.3,385.62827
528.2,376.52227
528.1,402.37843
528.0,397.2279
527.9,376.08909
527.8,368.85543
527.7,352.40949
527.6,362.86801
527.5,370.41896
527.4,351.69717
527.3,390.64078
527.2,389.80158
527.1,372.79583
527.0,377.21024
526.9,390.91635
526.8,386.85246
526.7,399.71209
526.6,370.19263
526.5,361.81257
526.4,387.39424
526.3,378.2336
526.2,375.32931
526.1,409.87257
526.0,393.8588
525.9,385.00998
525.8,365.87906
525.7,373.31021
525.6,389.28793
525.5,369.61937
525.4,386.75987
525.3,387.18171
525.2,427.88634
525.1,393.24986
525.0,371.22413
524.9,395.66257
524.8,401.04964
524.7,401.3636
524.6,353.74352
524.5,384.02035
524.4,386.61926
524.3,406.56668
524.2,428.60449
524.1,376.35472
524.0,357.22289
523.9,342.62861
523.8,363.10967
523.7,354.69362
523.6,366.69745
523.5,386.916
523.4,357.89834
523.3,359.30835
523.2,396.2379
523.1,360.54379
523.0,367.46429
522.9,427.69301
522.8,407.71736
522.7,379.78009
522.6,415.72212
522.5,409.6366
522.4,400.54118
522.3,376.33273
522.2,365.90584
522.1,375.03664
522.0,397.84695
521.9,390.43871
521.8,360.95376
521.7,405.59214
521.6,399.14552
521.5,379.42987
521.4,378.57602
521.3,386.32641
521.2,416.6049
521.1,388.68115
521.0,371.45731
520.9,379.12993
520.8,365.42908
520.7,352.36659
520.6,392.54557
520.5,388.95263
520.4,348.56596
520.3,386.62465
520.2,338.29146
520.1,373.51735
520.0,381.22161
