BE,counts/s
541.0,448.69462
540.9,419.33868
540.8,428.8792
540.7,400.52393
540.6,410.24543
540.5,389.4844
540.4,366.95342
540.3,393.18083
540.2,372.71507
540.1,361.92212
540.0,412.1579
539.9,390.85119
539.8,421.09522
539.7,382.29115
539.6,324.98077
539.5,371.18729
539.4,393.57967
539.3,388.08866
539.2,376.99695
539.1,354.71816
539.0,375.57593
538.9,357.99081
538.8,342.34875
538.7,364.76193
538.6,368.90134
538.5,359.08434
538.4,389.53085
538.3,379.90838
538.2,366.77574
538.1,383.20877
538.0,357.04513
537.9,378.79864
537.8,367.91239
537.7,364.81148
537.6,361.17142
537.5,355.62405
537.4,386.04805
537.3,385.46866
537.2,372.43184
537.1,403.55405
537.0,430.58736
536.9,425.7501
536.8,443.32457
536.7,483.9179
536.6,492.68613
536.5,481.99498
536.4,542.7351
536.3,679.6308
536.2,743.75694
536.1,793.89661
536.0,931.47806
535.9,1100.2
535.8,1277.2736
535.7,1531.3706
535.6,1820.6644
535.5,2209.4239
535.4,2568.5977
535.3,3003.968
535.2,3460.7949
535.1,4051.8742
535.0,4747.0906
534.9,5243.1833
534.8,6050.2384
534.7,6660.2823
534.6,7159.4903
534.5,7422.2638
534.4,7766.2795
534.3,7989.3367
534.2,8245.2268
534.1,8126.4244
534.0,7851.0578
533.9,7550.1695
533.8,7103.775
533.7,6326.2189
533.6,5750.965
533.5,5308.8302
533.4,4608.5074
533.3,3864.6359
533.2,3270.6198
533.1,2721.27
533.0,2273.496
532.9,1873.872
532.8,1606.9912
532.7,1310.2841
532.6,1107.2017
532.5,1030.3271
532.4,802.05472
532.3,719.82602
532.2,641.14048
532.1,584.42046
532.0,513.72257
531.9,503.02423
531.8,495.24243
531.7,458.39135
531.6,422.77208
531.5,393.76722
531.4,411.45202
531.3,393.83248
531.2,382.52984
531.1,372.81085
531.0,363.21375
530.9,326.85585
530.8,343.88919
530.7,338.62005
530.6,328.33332
530.5,342.46729
530.4,335.09758
530.3,305.78448
530.2,339.10145
530.1,332.16361
530.0,352.60955
529.9,314.65441
529.8,295.51183
529.7,321.10646
529.6,337.15115
529.5,313.05193
529.4,310.7643
529.3,319.4728
529.2,354.68757
529.1,340.63505
529.0,302.04063
528.9,314.10186
528.8,332.49899
528.7,364.14307
528.6,309.70668
528.5,299.6759
528.4,307.73654
528.3,332.12653
528.2,288.03678
528.1,318.88459
528.0,298.93009
527.9,297.69107
527.8,304.51395
527.7,307.79084
527.6,275.91389
527.5,294.904
527.4,295.3513
527.3,296.19675
527.2,301.21408
527.1,304.16338
527.0,317.18503
526.9,311.794
526.8,311.90208
526.7,298.26686
526.6,307.56526
526.5,283.8004
526.4,290.27122
526.3,298.86324
526.2,277.77383
526.1,279.11008
526.0,264.35203
525.9,289.02411
525.8,296.56071
525.7,294.5303
525.6,274.91343
525.5,257.33736
525.4,308.9934
525.3,285.16489
525.2,283.97678
525.1,317.21173
525.0,302.32084
524.9,292.42687
524.8,292.28628
524.7,283.10291
524.6,305.47066
524.5,292.27537
524.4,302.8
524.3,327.51489
524.2,308.34692
524.1,301.0797
524.0,282.65903
523.9,301.4314
523.8,293.8877
523.7,297.7785
523.6,303.08293
523.5,313.55821
523.4,304.48752
523.3,295.33887
523.2,260.95071
523.1,287.17282
523.0,276.69227
522.9,279.77358
522.8,279.00106
522.7,284.05021
522.6,274.05387
522.5,304.20623
522.4,280.72654
522.3,260.05791
522.2,274.83365
522.1,272.62564
522.0,277.03396
521.9,294.17237
521.8,280.30198
521.7,314.69855
521.6,320.42664
521.5,303.93677
521.4,321.03298
521.3,295.71233
521.2,261.36304
521.1,279.7161
521.0,295.51744
520.9,302.34511
520.8,293.08883
520.7,260.1902
520.6,283.54706
520.5,267.24011
520.4,298.12721
520.3,319.71409
520.2,305.72294
520.1,287.93759
520.0,281.76312
