BE,counts/s
541.0,310.81759
540.9,357.12024
540.8,348.24591
540.7,366.91007
540.6,323.36202
540.5,331.87761
540.4,354.66083
540.3,355.39625
540.2,317.31373
540.1,309.76152
540.0,304.55705
539.9,326.12821
539.8,294.818
539.7,318.69837
539.6,303.58528
539.5,325.8903
539.4,337.39782
539.3,330.62968
539.2,360.96298
539.1,336.2369
539.0,329.87655
538.9,326.82794
538.8,347.70605
538.7,324.97176
538.6,316.30341
538.5,326.02381
538.4,317.6694
538.3,316.24188
538.2,318.20391
538.1,330.85881
538.0,354.86145
537.9,338.22164
537.8,341.38106
537.7,319.73999
537.6,344.9676
537.5,314.72563
537.4,301.2314
537.3,365.63917
537.2,317.82632
537.1,329.89379
537.0,321.84445
536.9,336.29577
536.8,337.23822
536.7,337.60071
536.6,334.22427
536.5,299.34406
536.4,329.53575
536.3,309.78808
536.2,296.15028
536.1,344.35751
536.0,326.51902
535.9,353.61421
535.8,305.10787
535.7,321.12414
535.6,314.75496
535.5,322.41245
535.4,312.33159
535.3,348.99414
535.2,312.6226
535.1,345.57767
535.0,294.38393
534.9,292.92031
534.8,336.92914
534.7,354.194
534.6,343.60818
534.5,334.54508
534.4,323.99574
534.3,332.65515
534.2,320.57235
534.1,337.32879
534.0,356.47837
533.9,341.54972
533.8,372.33033
533.7,353.74909
533.6,350.94493
533.5,353.75109
533.4,406.39246
533.3,374.40561
533.2,361.73619
533.1,359.89133
533.0,412.75334
532.9,396.10764
532.8,417.93602
532.7,421.5879
532.6,401.23743
532.5,449.17106
532.4,467.70214
532.3,475.7185
532.2,532.97285
532.1,524.23645
532.0,513.84611
531.9,586.75305
531.8,567.08662
531.7,601.63289
531.6,662.47206
531.5,709.67304
531.4,721.82821
531.3,732.7027
531.2,692.84256
531.1,644.36106
531.0,573.50305
530.9,537.73336
530.8,508.62549
530.7,440.25521
530.6,384.32896
530.5,357.57801
530.4,356.65502
530.3,326.00247
530.2,328.671
530.1,306.19326
530.0,329.57208
529.9,316.53318
529.8,341.26387
529.7,306.34428
529.6,280.78501
529.5,313.66951
529.4,314.31175
529.3,324.30453
529.2,290.04302
529.1,315.5752
529.0,296.7466
528.9,319.87119
528.8,310.72954
528.7,321.66953
528.6,321.12244
528.5,341.15536
528.4,321.29785
528.3,299.76872
528.2,326.87894
528.1,280.33911
528.0,297.56857
527.9,303.2168
527.8,305.23047
527.7,278.1847
527.6,336.91108
527.5,314.05841
527.4,297.30846
527.3,292.30314
527.2,316.29427
527.1,298.45079
527.0,310.69182
526.9,308.39598
526.8,312.43104
526.7,334.42725
526.6,344.12835
526.5,334.14822
526.4,321.22447
526.3,304.90153
526.2,328.68595
526.1,316.28585
526.0,341.05181
525.9,319.31122
525.8,355.15856
525.7,322.123
525.6,308.49246
525.5,305.21428
525.4,310.98164
525.3,291.05179
525.2,296.83964
525.1,306.5206
525.0,302.70255
524.9,288.7698
524.8,299.1106
524.7,303.27357
524.6,338.2484
524.5,300.10321
524.4,343.89317
524.3,297.40965
524.2,322.28492
524.1,294.22764
524.0,308.06066
523.9,325.16253
523.8,334.59116
523.7,284.03168
523.6,307.19522
523.5,304.7592
523.4,314.40565
523.3,302.79863
523.2,266.90585
523.1,323.8816
523.0,308.46856
522.9,277.43683
522.8,322.19804
522.7,289.1774
522.6,294.32427
522.5,311.49454
522.4,284.87805
522.3,320.29185
522.2,296.29142
522.1,313.77422
522.0,297.87907
521.9,321.02462
521.8,302.5243
521.7,282.13839
521.6,311.18228
521.5,325.03557
521.4,311.76474
521.3,311.93152
521.2,297.82907
521.1,304.58406
521.0,292.80583
520.9,321.07787
520.8,347.06662
520.7,327.84053
520.6,302.03598
520.5,314.84827
520.4,330.34212
520.3,293.92842
520.2,327.00387
520.1,355.52247
520.0,343.47596
