BE,counts/s
541.0,556.81964
540.9,518.64166
540.8,547.97662
540.7,532.51913
540.6,529.70159
540.5,530.7352
540.4,537.95941
540.3,527.99529
540.2,514.28054
540.1,547.22837
540.0,539.60084
539.9,515.3504
539.8,503.20489
539.7,515.40773
539.6,481.63713
539.5,526.46808
539.4,471.66455
539.3,520.94123
539.2,522.4809
539.1,538.3161
539.0,475.90194
538.9,487.95303
538.8,503.10657
538.7,527.33043
538.6,506.64209
538.5,490.09447
538.4,489.15515
538.3,504.48858
538.2,500.82527
538.1,503.26058
538.0,488.72553
537.9,490.76725
537.8,530.16875
537.7,504.46
537.6,524.88151
537.5,501.94912
537.4,531.28934
537.3,535.05454
537.2,550.22442
537.1,608.09705
537.0,607.80266
536.9,636.03151
536.8,688.5418
536.7,745.31696
536.6,870.9495
536.5,931.85557
536.4,1040.0629
536.3,1174.3713
536.2,1338.7088
536.1,1505.6545
536.0,1700.5838
535.9,2015.7732
535.8,2457.8803
535.7,2936.8688
535.6,3376.4415
535.5,3884.3079
535.4,4592.6991
535.3,5293.0846
535.2,6066.838
535.1,6768.407
535.0,7573.1045
534.9,8353.0363
534.8,8877.5579
534.7,9654.0337
534.6,9855.8167
534.5,10251.7
534.4,10610.193
534.3,10600.587
534.2,10446.826
534.1,10224.763
534.0,9547.576
533.9,8999.2066
533.8,8223.6026
533.7,7455.1091
533.6,6603.4457
533.5,5729.7776
533.4,4785.5875
533.3,4073.5334
533.2,3452.3333
533.1,2977.2269
533.0,2501.1029
532.9,2065.4075
532.8,1753.6152
532.7,1502.1847
532.6,1281.7147
532.5,1074.5477
532.4,997.55196
532.3,863.90883
532.2,746.047
532.1,737.68389
532.0,683.67005
531.9,644.41864
531.8,609.49917
531.7,599.29624
531.6,587.2383
531.5,547.69543
531.4,540.74249
531.3,500.9783
531.2,503.00754
531.1,523.37049
531.0,495.84748
530.9,477.15694
530.8,417.99766
530.7,447.98188
530.6,488.54032
530.5,449.53187
530.4,424.17706
530.3,401.00007
530.2,451.21066
530.1,464.87774
530.0,471.51378
529.9,429.22862
529.8,453.71988
529.7,419.99733
529.6,432.82928
529.5,424.97709
529.4,416.16336
529.3,420.15082
529.2,414.7771
529.1,407.45386
529.0,413.20637
528.9,439.0952
528.8,462.04557
528.7,437.94624
528.6,375.01097
528.5,419.06658
528.4,402.31411
528.3,387.21809
528.2,405.29261
528.1,412.57927
528.0,403.76423
527.9,409.7189
527.8,391.60539
527.7,422.75084
527.6,390.20938
527.5,403.77166
527.4,385.02842
527.3,392.55201
527.2,402.06375
527.1,398.15085
527.0,358.0736
526.9,370.11605
526.8,378.20305
526.7,411.1807
526.6,417.31356
526.5,407.41375
526.4,383.99526
526.3,383.24067
526.2,400.50119
526.1,402.72087
526.0,394.06684
525.9,364.31786
525.8,408.07528
525.7,384.14626
525.6,409.29536
525.5,379.66855
525.4,406.03595
525.3,383.60378
525.2,399.22659
525.1,417.00152
525.0,366.46204
524.9,372.69673
524.8,409.45269
524.7,394.0796
524.6,380.395
524.5,400.3382
524.4,354.77653
524.3,411.37495
524.2,396.79244
524.1,428.21684
524.0,373.048
523.9,388.83172
523.8,404.75006
523.7,395.73174
523.6,410.63837
523.5,412.56678
523.4,364.56632
523.3,388.61728
523.2,357.4657
523.1,377.32357
523.0,386.15996
522.9,409.85452
522.8,395.87758
522.7,372.90482
522.6,383.12912
522.5,415.87021
522.4,356.20916
522.3,361.26565
522.2,376.85647
522.1,365.45599
522.0,390.72761
521.9,406.13828
521.8,411.95637
521.7,403.11364
521.6,418.92032
521.5,386.87058
521.4,403.67286
521.3,405.64909
521.2,382.33827
521.1,393.97686
521.0,380.31844
520.9,388.87728
520.8,392.54541
520.7,374.14379
520.6,398.31765
520.5,412.98317
520.4,389.67703
520.3,367.82201
520.2,373.55981
520.1,400.01691
520.0,378.99999
