BE,counts/s
541.0,546.66947
540.9,709.24652
540.8,695.15261
540.7,582.75456
540.6,684.55184
540.5,602.281
540.4,634.96191
540.3,647.41785
540.2,583.78613
540.1,631.72499
540.0,523.59356
539.9,645.424
539.8,689.13789
539.7,484.12481
539.6,562.52736
539.5,763.28232
539.4,784.84478
539.3,702.7196
539.2,696.89017
539.1,705.66438
539.0,572.73195
538.9,585.25613
538.8,551.26636
538.7,600.36623
538.6,600.70568
538.5,738.06261
538.4,611.51334
538.3,628.71945
538.2,650.38271
538.1,675.99835
538.0,558.59282
537.9,516.68207
537.8,625.47159
537.7,604.98485
537.6,586.62038
537.5,574.20188
537.4,615.02068
537.3,517.40625
537.2,459.30642
537.1,434.4177
537.0,605.38246
536.9,640.11224
536.8,613.69019
536.7,655.00208
536.6,660.44419
536.5,629.43738
536.4,533.94176
536.3,558.7991
536.2,653.95424
536.1,565.03461
536.0,488.0018
535.9,749.89236
535.8,697.15202
535.7,663.79348
535.6,593.24649
535.5,576.53454
535.4,492.53329
535.3,541.85454
535.2,502.7872
535.1,548.10659
535.0,623.04542
534.9,667.56907
534.8,747.28968
534.7,597.08211
534.6,572.23577
534.5,781.70561
534.4,792.80879
534.3,732.7098
534.2,667.56023
534.1,696.9803
534.0,785.26888
533.9,954.40373
533.8,1133.766
533.7,1073.9059
533.6,1208.0898
533.5,1228.6731
533.4,1320.3383
533.3,1230.1274
533.2,1597.6801
533.1,1918.6299
533.0,1757.9189
532.9,1953.9568
532.8,2263.7093
532.7,2382.9828
532.6,2525.849
532.5,2558.0458
532.4,2848.2196
532.3,2992.86
532.2,3062.8052
532.1,3132.9842
532.0,3210.9474
531.9,3098.5227
531.8,2972.878
531.7,3189.4693
531.6,2752.9508
531.5,2658.2691
531.4,2403.365
531.3,2051.8089
531.2,1888.1242
531.1,1603.9844
531.0,1399.3709
530.9,1356.6953
530.8,953.39563
530.7,779.4589
530.6,637.96589
530.5,644.7672
530.4,613.00785
530.3,580.99589
530.2,534.92874
530.1,509.6957
530.0,575.49752
529.9,519.33703
529.8,569.12756
529.7,580.69508
529.6,655.90145
529.5,491.80171
529.4,411.53162
529.3,551.1535
529.2,573.18036
529.1,549.09693
529.0,555.75507
528.9,560.33817
528.8,566.96482
528.7,438.91016
528.6,528.19537
528.5,467.28374
528.4,598.33181
528.3,496.37407
528.2,509.6253
528.1,501.64416
528.0,525.21352
527.9,650.54528
527.8,608.93491
527.7,393.64147
527.6,393.9495
527.5,407.31395
527.4,505.38115
527.3,553.10286
527.2,415.89574
527.1,482.052
527.0,522.59109
526.9,438.52121
526.8,480.25264
526.7,516.88813
526.6,523.59803
526.5,444.37701
526.4,396.83873
526.3,516.68153
526.2,594.67963
526.1,490.56959
526.0,434.3739
525.9,542.36108
525.8,484.14919
525.7,542.72215
525.6,536.62039
525.5,611.1988
525.4,526.86363
525.3,517.75767
525.2,457.55392
525.1,514.34196
525.0,611.55224
524.9,538.5024
524.8,513.22021
524.7,674.1762
524.6,571.57292
524.5,455.93187
524.4,515.38772
524.3,434.51801
524.2,587.85324
524.1,462.85849
524.0,511.23578
523.9,567.06936
523.8,502.65798
523.7,494.35842
523.6,540.42069
523.5,565.8679
523.4,508.53513
523.3,466.29404
523.2,505.89592
523.1,490.60569
523.0,528.77669
522.9,502.66944
522.8,446.89656
522.7,489.68406
522.6,561.31074
522.5,542.67996
522.4,554.5413
522.3,593.22757
522.2,529.61188
522.1,480.50641
522.0,447.68263
521.9,612.29056
521.8,514.78561
521.7,475.699
521.6,498.35811
521.5,573.6359
521.4,460.24027
521.3,377.16214
521.2,484.03855
521.1,497.26148
521.0,559.81474
520.9,552.44316
520.8,506.80315
520.7,524.04823
520.6,611.94584
520.5,529.07711
520.4,554.22611
520.3,512.26008
520.2,485.02131
520.1,512.0634
520.0,478.00733
