BE,counts/s
1300.0,16365.652
1299.0,15984.837
1298.0,16104.288
1297.0,16196.552
1296.0,16492.943
1295.0,16067.132
1294.0,16052.464
1293.0,16518.63
1292.0,16165.591
1291.0,16484.536
1290.0,16723.758
1289.0,16045.924
1288.0,15936.62
1287.0,16551.886
1286.0,16065.879
1285.0,16785.665
1284.0,16449.348
1283.0,16437.991
1282.0,16491.276
1281.0,16374.678
1280.0,16162.299
1279.0,16356.406
1278.0,16751.697
1277.0,16642.815
1276.0,16220.112
1275.0,16837.957
1274.0,16390.158
1273.0,16666.017
1272.0,16623.775
1271.0,16624.157
1270.0,16484.053
1269.0,16767.872
1268.0,16652.109
1267.0,16688.811
1266.0,16675.318
1265.0,16924.438
1264.0,17049.219
1263.0,16632.871
1262.0,17194.319
1261.0,16701.779
1260.0,17154.16
1259.0,16315.133
1258.0,16452.465
1257.0,16836.921
1256.0,16799.401
1255.0,16897.228
1254.0,16783.119
1253.0,17115.1
1252.0,17171.811
1251.0,16707.109
1250.0,17148.763
1249.0,17310.727
1248.0,17312.73
1247.0,17359.156
1246.0,17183.813
1245.0,17173.849
1244.0,17255.657
1243.0,17625.257
1242.0,17316.562
1241.0,17336.583
1240.0,17057.595
1239.0,17656.803
1238.0,17835.762
1237.0,18001.164
1236.0,17978.354
1235.0,17583.367
1234.0,17408.699
1233.0,17759.717
1232.0,17494.58
1231.0,18222.128
1230.0,18291.172
1229.0,18879.685
1228.0,18402.945
1227.0,18637.665
1226.0,18620.389
1225.0,18399.971
1224.0,18360.139
1223.0,17882.771
1222.0,18194.592
1221.0,18127.361
1220.0,17489.809
1219.0,17056.367
1218.0,17326.387
1217.0,17328.735
1216.0,17083.501
1215.0,16132.494
1214.0,16299.361
1213.0,16103.871
1212.0,15833.25
1211.0,16047.621
1210.0,15926.527
1209.0,15486.714
1208.0,15668.265
1207.0,16346.825
1206.0,15955.81
1205.0,15758.208
1204.0,15447.267
1203.0,15741.166
1202.0,15732.684
1201.0,16067.225
1200.0,16239.029
1199.0,15905.309
1198.0,15908.201
1197.0,15779.519
1196.0,16675.514
1195.0,16106.374
1194.0,16162.321
1193.0,15628.175
1192.0,15356.055
1191.0,15694.04
1190.0,15566.812
1189.0,15419.281
1188.0,15603.421
1187.0,15622.825
1186.0,15905.914
1185.0,15309.694
1184.0,15535.781
1183.0,15944.387
1182.0,15546.593
1181.0,15354.086
1180.0,15629.46
1179.0,15610.882
1178.0,15931.283
1177.0,16143.311
1176.0,15735.839
1175.0,15653.831
1174.0,15562.041
1173.0,15476.075
1172.0,15985.008
1171.0,15527.278
1170.0,15881.338
1169.0,15961.237
1168.0,15816.923
1167.0,15514.68
1166.0,15917.991
1165.0,15692.581
1164.0,15924.316
1163.0,15967.865
1162.0,15921.668
1161.0,16136.525
1160.0,16518.049
1159.0,15867.579
1158.0,15828.832
1157.0,15899.857
1156.0,15753.431
1155.0,16191.502
1154.0,16102.492
1153.0,16405.638
1152.0,16292.513
1151.0,15618.928
1150.0,15598.541
1149.0,16049.578
1148.0,16107.551
1147.0,16404.423
1146.0,15781.338
1145.0,15870.121
1144.0,16126.5
1143.0,15707.315
1142.0,16165.32
1141.0,16238.341
1140.0,16371.577
1139.0,16008.524
1138.0,16301.844
1137.0,16115.627
1136.0,15977.252
1135.0,16198.511
1134.0,16033.023
1133.0,16012.978
1132.0,16373.678
1131.0,16217.978
1130.0,16164.176
1129.0,16548.216
1128.0,16292.656
1127.0,15920.716
1126.0,16241.335
1125.0,16055.789
1124.0,16259.682
1123.0,16214.195
1122.0,16101.929
1121.0,16322.952
1120.0,16220.667
1119.0,16126.337
1118.0,16146.852
1117.0,15688.684
1116.0,16098.941
1115.0,16453.096
1114.0,16146.053
1113.0,16344.889
1112.0,16350.139
1111.0,16370.369
1110.0,16728.492
1109.0,16009.389
1108.0,16279.187
1107.0,16410.99
1106.0,16166.36
1105.0,15971.115
1104.0,16320.666
1103.0,16254.328
1102.0,16596.24
1101.0,16399.669
1100.0,16140.416
1099.0,16297.644
1098.0,16168.411
1097.0,16521.489
1096.0,16853.433
1095.0,16805.212
1094.0,16999.794
1093.0,16717.884
1092.0,16598.135
1091.0,16406.763
1090.0,16444.261
1089.0,16534.277
1088.0,16630.008
1087.0,16946.938
1086.0,16355.153
1085.0,16738.689
