BE,counts/s
1300.0,14004.68
1299.0,13331.025
1298.0,13606.851
1297.0,13832.718
1296.0,13912.927
1295.0,13539.616
1294.0,13247.379
1293.0,13464.943
1292.0,13260.806
1291.0,13728.537
1290.0,13493.375
1289.0,13278.335
1288.0,13475.418
1287.0,13513.696
1286.0,13387.356
1285.0,13272.866
1284.0,12840.028
1283.0,13397.309
1282.0,13296.92
1281.0,13735.361
1280.0,13150.469
1279.0,13070.866
1278.0,13095.433
1277.0,13420.388
1276.0,13279.713
1275.0,13029.077
1274.0,13368.679
1273.0,13105.364
1272.0,13420.527
1271.0,13668.351
1270.0,13124.722
1269.0,13302.905
1268.0,13252.293
1267.0,12778.518
1266.0,12791.522
1265.0,13324.988
1264.0,13298.553
1263.0,13054.201
1262.0,12759.073
1261.0,13200.853
1260.0,12856.681
1259.0,13405.756
1258.0,13439.436
1257.0,13150.293
1256.0,13356.92
1255.0,12955.006
1254.0,13293.89
1253.0,13369.283
1252.0,13265.439
1251.0,13382.01
1250.0,13283.418
1249.0,12909.055
1248.0,12933.716
1247.0,13303.116
1246.0,12704.614
1245.0,12881.392
1244.0,12688.447
1243.0,12929.304
1242.0,12927.356
1241.0,12998.898
1240.0,12949.163
1239.0,12993.921
1238.0,12786.057
1237.0,12541.811
1236.0,13321.897
1235.0,12971.043
1234.0,13388.237
1233.0,13102.898
1232.0,12671.112
1231.0,13283.617
1230.0,14125.107
1229.0,13439.028
1228.0,13000.858
1227.0,12859.499
1226.0,12891.328
1225.0,13322.086
1224.0,13372.731
1223.0,12861.837
1222.0,13170.491
1221.0,13174.492
1220.0,13492.172
1219.0,13397.713
1218.0,13099.561
1217.0,13194.525
1216.0,13000.607
1215.0,13072.996
1214.0,13473.065
1213.0,13066.493
1212.0,13022.491
1211.0,13253.397
1210.0,12949.574
1209.0,12631.165
1208.0,12941.085
1207.0,13251.277
1206.0,12998.834
1205.0,13011.056
1204.0,13086.32
1203.0,13118.442
1202.0,13437.735
1201.0,13111.93
1200.0,13097.088
1199.0,13299.9
1198.0,13097.245
1197.0,12729.706
1196.0,12675.909
1195.0,13108.111
1194.0,13499.945
1193.0,13064.641
1192.0,12912.834
1191.0,12981.943
1190.0,13173.995
1189.0,12897.139
1188.0,12936.641
1187.0,13069.684
1186.0,13212.993
1185.0,13386.945
1184.0,12950.199
1183.0,12834.412
1182.0,12763.864
1181.0,13125.457
1180.0,13184.561
1179.0,13494.296
1178.0,13386.42
1177.0,13186.397
1176.0,13123.188
1175.0,13282.431
1174.0,13019.158
1173.0,13231.761
1172.0,12972.274
1171.0,13334.224
1170.0,13323.915
1169.0,12910.252
1168.0,13186.78
1167.0,13268.359
1166.0,13607.875
1165.0,13569.845
1164.0,12980.93
1163.0,13077.326
1162.0,12447.315
1161.0,12991.931
1160.0,13242.768
1159.0,13520.044
1158.0,13338.362
1157.0,13540.115
1156.0,13209.498
1155.0,12770.427
1154.0,13360.864
1153.0,13479.235
1152.0,13621.373
1151.0,13157.618
1150.0,13133.392
1149.0,13273.107
1148.0,13480.225
1147.0,13535.431
1146.0,13390.022
1145.0,13347.006
1144.0,13566.595
1143.0,13325.459
1142.0,13282.901
1141.0,13269.117
1140.0,13286.25
1139.0,13991.499
1138.0,13721.621
1137.0,13765.956
1136.0,13636.64
1135.0,13754.508
1134.0,13705.374
1133.0,13464.456
1132.0,13749.961
1131.0,13753.223
1130.0,13430.278
1129.0,13272.628
1128.0,13160.065
1127.0,13526.343
1126.0,13410.009
1125.0,13534.656
1124.0,13396.167
1123.0,13336.873
1122.0,13641.81
1121.0,13727.101
1120.0,13680.205
1119.0,13332.672
1118.0,13461.077
1117.0,13675.318
1116.0,13441.313
1115.0,13762.583
1114.0,13437.927
1113.0,13980.42
1112.0,13584.846
1111.0,13606.621
1110.0,13841.36
1109.0,14317.672
1108.0,13922.752
1107.0,13985.349
1106.0,13920.7
1105.0,14176.3
1104.0,13931.266
1103.0,13889.329
1102.0,14047.931
1101.0,13999.927
1100.0,13748.587
1099.0,13655.523
1098.0,13843.497
1097.0,13925.355
1096.0,14048.93
1095.0,14012.373
1094.0,13915.105
1093.0,14334.413
1092.0,14277.754
1091.0,13970.142
1090.0,14333.532
1089.0,14604.822
1088.0,14406.591
1087.0,13977.372
1086.0,13959.321
1085.0,13799.615
1084.0,13762.083
1083.0,13627.366
1082.0,14077.661
1081.0,14230.956
1080.0,14470.98
1079.0,14798.053
1078.0,14145.503
1077.0,13918.197
1076.0,14330.362
1075.0,14548.623
1074.0,14349.711
1073.0,14658.9
1072.0,14491.533
1071.0,14094.661
1070.0,14398.163
1069.0,14648.157
1068.0,14943.327
1067.0,14376.733
1066.0,14482.387
1065.0,14602.022
1064.0,14643.896
1063.0,14470.211
1062.0,14717.869
1061.0,14939.65
1060.0,14824.234
1059.0,14429.202
1058.0,14837.735
1057.0,15075.0
1056.0,15137.982
1055.0,14812.53
1054.0,15057.524
1053.0,14893.135
1052.0,15178.931
1051.0,15882.282
1050.0,15435.636
1049.0,15483.289
1048.0,15436.627
1047.0,15316.963
1046.0,15423.548
1045.0,15504.241
1044.0,15389.972
1043.0,15407.985
1042.0,15722.657
1041.0,15810.226
1040.0,15828.079
1039.0,15978.048
1038.0,15703.303
1037.0,15683.873
1036.0,15552.141
1035.0,15665.683
1034.0,15618.623
1033.0,15997.229
1032.0,16381.642
1031.0,16565.382
1030.0,16532.843
1029.0,16496.717
1028.0,16277.909
1027.0,16232.46
1026.0,16426.073
1025.0,16556.039
1024.0,16760.278
1023.0,16691.849
1022.0,17029.307
1021.0,17527.844
1020.0,17424.602
1019.0,17513.375
1018.0,18353.625
1017.0,17940.952
1016.0,17466.424
1015.0,16893.681
1014.0,16413.209
1013.0,16577.011
1012.0,16802.135
1011.0,16398.658
1010.0,16934.602
1009.0,17671.138
1008.0,18189.286
1007.0,18884.562
1006.0,19198.688
1005.0,19833.56
1004.0,20618.828
1003.0,20660.512
1002.0,21064.422
1001.0,20148.177
1000.0,19840.093
999.0,18429.38
998.0,17839.797
997.0,17426.537
996.0,17212.583
995.0,16300.432
994.0,15462.364
993.0,15464.849
992.0,15341.449
991.0,15459.33
990.0,16168.381
989.0,17016.702
988.0,16899.177
987.0,17187.443
986.0,19071.456
985.0,21746.189
984.0,22981.943
983.0,25147.358
982.0,27661.524
981.0,29455.156
980.0,27356.171
979.0,23613.402
978.0,20051.418
977.0,17706.221
976.0,16861.713
975.0,14723.315
974.0,13263.551
973.0,12132.097
972.0,11234.791
971.0,10096.18
970.0,9179.9496
969.0,8441.9846
968.0,7683.5809
967.0,7314.6821
966.0,7546.4009
965.0,7460.6126
964.0,7508.4676
963.0,7291.9068
962.0,7348.6676
961.0,7233.1288
960.0,7305.5706
959.0,7446.1784
958.0,7428.5987
957.0,7584.6903
956.0,7403.9235
955.0,7321.9872
954.0,6958.2111
953.0,6994.2354
952.0,7306.1408
951.0,7307.4915
950.0,7326.6101
949.0,7701.9129
948.0,7404.3417
947.0,7288.9586
946.0,7441.1557
945.0,7171.8786
944.0,7387.5762
943.0,7748.8848
942.0,7491.178
941.0,7394.0772
940.0,7394.9564
939.0,7335.9944
938.0,7342.2306
937.0,7386.8879
936.0,7290.202
935.0,7346.5209
934.0,7539.3933
933.0,7257.8199
932.0,7413.5618
931.0,7363.3112
930.0,7757.9954
929.0,7873.0672
928.0,7554.1892
927.0,7561.3132
926.0,7688.4505
925.0,7577.8002
924.0,7596.2427
923.0,7965.6018
922.0,8043.507
921.0,7745.5599
920.0,7777.6037
919.0,7983.8418
918.0,7728.9491
917.0,7664.2828
916.0,7782.756
915.0,7883.696
914.0,8081.4737
913.0,8041.7005
912.0,7826.1299
911.0,7540.7352
910.0,8018.2656
909.0,7625.0024
908.0,7951.4378
907.0,7949.82
906.0,8014.5026
905.0,7642.9563
904.0,8038.4996
903.0,7821.498
902.0,7888.4378
901.0,7870.6733
900.0,8131.549
899.0,8447.6082
898.0,8108.3549
897.0,8032.5894
896.0,8098.8011
895.0,8262.051
894.0,8260.5535
893.0,8361.1939
892.0,8092.7334
891.0,7999.2474
890.0,8068.6328
889.0,8112.1612
888.0,8191.8726
887.0,8305.7081
886.0,8444.2479
885.0,8095.9626
884.0,8103.1999
883.0,7956.7227
882.0,8204.0035
881.0,8360.0651
880.0,8136.1564
879.0,8481.3981
878.0,8859.4
877.0,8805.3953
876.0,8529.3298
875.0,8662.5326
874.0,8479.9833
873.0,8463.3925
872.0,8518.9935
871.0,8286.989
870.0,8631.3526
869.0,8602.8904
868.0,8611.91
867.0,8606.319
866.0,8737.2355
865.0,8782.2135
864.0,9005.4593
863.0,8745.4763
862.0,8690.3197
861.0,8729.848
860.0,8700.2972
859.0,8788.6768
858.0,8832.0564
857.0,8740.8167
856.0,8630.7761
855.0,8738.3489
854.0,8983.5534
853.0,9121.496
852.0,8902.6606
851.0,8809.0517
850.0,9042.7095
849.0,9075.1686
848.0,9044.8026
847.0,9170.8841
846.0,9285.3115
845.0,8983.5294
844.0,9143.9363
843.0,9105.79
842.0,9440.8386
841.0,8710.6778
840.0,8931.6282
839.0,9280.0763
838.0,9147.2888
837.0,9199.3145
836.0,9415.8095
835.0,9303.5633
