BE,counts/s
1300.0,6460.0998
1299.0,6507.2669
1298.0,6174.7269
1297.0,6345.5074
1296.0,6117.9348
1295.0,6252.93
1294.0,6002.9093
1293.0,6030.4137
1292.0,6194.245
1291.0,6017.564
1290.0,5508.6467
1289.0,5786.6055
1288.0,6255.0518
1287.0,6083.2648
1286.0,6136.8971
1285.0,5915.5591
1284.0,5597.0065
1283.0,5767.3796
1282.0,5524.2031
1281.0,5526.7383
1280.0,5769.2442
1279.0,5696.9834
1278.0,5655.3945
1277.0,5512.9715
1276.0,5470.0054
1275.0,5633.2222
1274.0,5918.6821
1273.0,6027.6967
1272.0,5986.1447
1271.0,5668.5726
1270.0,5654.1478
1269.0,5758.6991
1268.0,5593.612
1267.0,5716.9578
1266.0,5292.5416
1265.0,5207.7996
1264.0,5406.4212
1263.0,5287.5881
1262.0,5106.3784
1261.0,5041.729
1260.0,5016.813
1259.0,5069.3744
1258.0,5155.9951
1257.0,5252.9726
1256.0,5057.6928
1255.0,5032.4268
1254.0,4998.9845
1253.0,4774.3319
1252.0,4986.1493
1251.0,5145.0845
1250.0,4929.0598
1249.0,4998.4165
1248.0,4949.7528
1247.0,4670.9179
1246.0,4995.8528
1245.0,5160.1389
1244.0,5148.7678
1243.0,4883.4392
1242.0,4781.1059
1241.0,4962.1722
1240.0,4852.8945
1239.0,4781.6025
1238.0,5027.4765
1237.0,4882.7697
1236.0,5115.0637
1235.0,5034.5231
1234.0,5050.6092
1233.0,4880.4445
1232.0,4890.7859
1231.0,5026.9172
1230.0,5166.1807
1229.0,4989.2294
1228.0,5072.9803
1227.0,5003.7392
1226.0,4870.9358
1225.0,4917.8298
1224.0,5038.3026
1223.0,5025.9645
1222.0,5030.8769
1221.0,4878.0065
1220.0,4829.8785
1219.0,4759.3021
1218.0,4979.1386
1217.0,4992.8368
1216.0,4890.8912
1215.0,5054.2448
1214.0,4934.8587
1213.0,5069.011
1212.0,4914.3153
1211.0,4994.4823
1210.0,5085.5255
1209.0,4792.6641
1208.0,4922.7409
1207.0,4954.374
1206.0,4824.6028
1205.0,4861.2374
1204.0,4879.4289
1203.0,4677.2942
1202.0,4520.4849
1201.0,4598.4859
1200.0,4714.7522
1199.0,4818.9219
1198.0,4799.6602
1197.0,4641.8294
1196.0,4745.8668
1195.0,4531.0892
1194.0,5072.968
1193.0,4835.7435
1192.0,4841.952
1191.0,5093.5037
1190.0,4824.7392
1189.0,4663.0239
1188.0,4769.6954
1187.0,4765.9251
1186.0,4747.8816
1185.0,4802.4896
1184.0,4830.6361
1183.0,5019.1788
1182.0,4802.0177
1181.0,4632.1133
1180.0,4652.1041
1179.0,4677.0531
1178.0,4651.5645
1177.0,4944.6368
1176.0,4643.6868
1175.0,4804.3989
1174.0,4778.182
1173.0,4730.508
1172.0,4564.3617
1171.0,4750.5701
1170.0,4448.5077
1169.0,4791.3424
1168.0,4500.9086
1167.0,4676.9845
1166.0,4523.0305
1165.0,4533.7466
1164.0,4749.8032
1163.0,4828.9834
1162.0,4708.9022
1161.0,4724.2145
1160.0,4562.9467
1159.0,4398.1638
1158.0,4585.7224
1157.0,4517.4512
1156.0,4768.6821
1155.0,4602.7619
1154.0,4710.1765
1153.0,4887.3559
1152.0,4717.6499
1151.0,4569.0455
1150.0,4787.0888
1149.0,4699.3802
1148.0,4725.9018
1147.0,4885.77
1146.0,4683.489
1145.0,4650.633
1144.0,4651.5848
1143.0,4730.3783
1142.0,4789.9358
1141.0,4672.2341
1140.0,4552.5345
1139.0,4607.4049
1138.0,4546.6106
1137.0,4600.4282
1136.0,4601.3937
1135.0,4617.9937
1134.0,4766.7613
1133.0,4743.8025
1132.0,4725.6482
1131.0,4718.8361
1130.0,4773.4256
1129.0,4547.19
1128.0,4604.5323
1127.0,4562.858
1126.0,4638.9482
1125.0,4706.5571
1124.0,4830.141
1123.0,4672.5458
1122.0,4694.246
1121.0,4855.0579
1120.0,4654.892
1119.0,4780.8179
1118.0,4680.1364
1117.0,4824.8286
1116.0,4467.8748
1115.0,4627.0673
1114.0,4674.2317
1113.0,4495.4148
1112.0,4754.6262
1111.0,4770.9404
1110.0,4719.2995
1109.0,5104.8704
1108.0,4803.7889
1107.0,4780.6658
1106.0,5082.8983
1105.0,4909.2786
1104.0,4762.7842
1103.0,4699.8627
1102.0,4584.0163
1101.0,4540.4969
1100.0,4454.6057
1099.0,4873.8914
1098.0,4746.963
1097.0,4789.2558
1096.0,4849.1415
1095.0,4614.3989
1094.0,4669.1584
1093.0,4695.1876
1092.0,4632.8618
1091.0,4512.1119
1090.0,4652.1274
1089.0,4364.0858
1088.0,4696.8862
1087.0,4533.4898
1086.0,4655.663
1085.0,4595.0824
1084.0,4564.564
1083.0,4720.5943
1082.0,4633.4095
1081.0,4504.9503
1080.0,4598.8853
1079.0,4740.5973
1078.0,4764.753
1077.0,4612.3925
1076.0,4425.942
1075.0,4606.353
1074.0,4814.1523
1073.0,4940.9855
1072.0,4747.5199
1071.0,4642.9358
1070.0,4760.8911
1069.0,4702.8297
1068.0,4643.7199
1067.0,4761.6628
1066.0,4837.6481
1065.0,4715.3966
1064.0,4475.226
1063.0,4791.6648
1062.0,4836.3516
1061.0,4848.7917
1060.0,4805.9254
1059.0,4730.6186
1058.0,4613.2408
1057.0,4661.4927
1056.0,4749.7439
1055.0,4846.7894
1054.0,4918.8094
1053.0,4841.2972
1052.0,4816.3623
1051.0,4895.0538
1050.0,4772.3018
1049.0,4933.6452
1048.0,4883.9407
1047.0,4886.0798
1046.0,4948.8273
1045.0,4904.6192
1044.0,4991.5582
1043.0,5045.7116
1042.0,5013.3411
1041.0,4808.9743
1040.0,4962.1567
1039.0,4834.9865
1038.0,4991.8548
1037.0,4972.113
1036.0,4973.7441
1035.0,4825.6478
1034.0,4835.4218
1033.0,5014.9725
1032.0,5134.4908
1031.0,4769.6177
1030.0,5054.0352
1029.0,5089.1296
1028.0,4904.8685
1027.0,5033.3676
1026.0,5019.3869
1025.0,5200.0516
1024.0,5196.8498
1023.0,5112.196
1022.0,5076.256
1021.0,5252.8266
1020.0,5439.434
1019.0,5106.3052
1018.0,5083.947
1017.0,5355.2235
1016.0,5289.4276
1015.0,5565.8702
1014.0,5596.1742
1013.0,5560.7575
1012.0,5401.8233
1011.0,5024.8694
1010.0,5137.99
1009.0,5144.4971
1008.0,5169.1901
1007.0,5327.8982
1006.0,5374.8865
1005.0,5347.8094
1004.0,5237.3923
1003.0,5223.1545
1002.0,5363.3086
1001.0,5555.6852
1000.0,5849.2574
999.0,5639.7196
998.0,5742.3179
997.0,5954.7509
996.0,5706.8347
995.0,5626.4995
994.0,5532.3598
993.0,5874.6118
992.0,5818.1082
991.0,5518.7669
990.0,5637.4662
989.0,5222.8982
988.0,5125.3423
987.0,5245.0699
986.0,5379.5393
