BE,counts/s
1300.0,6023.2957
1299.0,5927.0361
1298.0,5931.4923
1297.0,5941.5002
1296.0,5909.5907
1295.0,5612.3083
1294.0,5857.1664
1293.0,6095.5758
1292.0,6078.7047
1291.0,5746.0887
1290.0,5831.9118
1289.0,5737.5514
1288.0,5853.8991
1287.0,5651.956
1286.0,5310.2511
1285.0,5678.1906
1284.0,5649.4463
1283.0,5782.5721
1282.0,5364.775
1281.0,5408.5245
1280.0,5305.3846
1279.0,5118.2084
1278.0,5102.152
1277.0,5125.9345
1276.0,5149.702
1275.0,5718.262
1274.0,5418.6192
1273.0,5277.932
1272.0,5313.1149
1271.0,5270.7458
1270.0,5639.0616
1269.0,5599.2485
1268.0,4947.7929
1267.0,5084.6696
1266.0,5196.1365
1265.0,5183.2705
1264.0,5187.0715
1263.0,4848.0131
1262.0,4682.7759
1261.0,4924.7571
1260.0,4770.8233
1259.0,4668.7956
1258.0,4638.3356
1257.0,4722.8587
1256.0,4725.033
1255.0,4709.5485
1254.0,4975.9604
1253.0,4659.8126
1252.0,4817.8803
1251.0,4618.6733
1250.0,4770.8549
1249.0,4551.3856
1248.0,4519.9068
1247.0,4603.5203
1246.0,4591.0529
1245.0,4753.2023
1244.0,4677.2947
1243.0,4766.5166
1242.0,4535.2887
1241.0,4655.9066
1240.0,4755.4589
1239.0,4284.5331
1238.0,4358.7004
1237.0,4623.0872
1236.0,4901.4713
1235.0,4846.6054
1234.0,4469.0673
1233.0,4601.4033
1232.0,4821.0855
1231.0,4610.0894
1230.0,4463.3987
1229.0,4685.4314
1228.0,4620.4055
1227.0,4671.0165
1226.0,4734.9899
1225.0,4736.9962
1224.0,4583.4485
1223.0,4515.3242
1222.0,4404.2182
1221.0,4646.7546
1220.0,4535.2095
1219.0,4621.3269
1218.0,4768.5742
1217.0,4778.9545
1216.0,4808.1165
1215.0,4460.5363
1214.0,4332.1422
1213.0,4431.5634
1212.0,4391.6118
1211.0,4790.4556
1210.0,4619.3984
1209.0,4604.9947
1208.0,4728.0238
1207.0,4412.582
1206.0,4362.0796
1205.0,4640.7465
1204.0,4767.2162
1203.0,4630.4704
1202.0,4240.8408
1201.0,4270.5415
1200.0,4267.2291
1199.0,4455.5037
1198.0,4545.3121
1197.0,4598.6797
1196.0,4497.8848
1195.0,4286.0869
1194.0,4405.0705
1193.0,4383.0909
1192.0,4363.5543
1191.0,4587.441
1190.0,4614.5728
1189.0,4303.2898
1188.0,4348.4462
1187.0,4556.5771
1186.0,4594.3453
1185.0,4600.1977
1184.0,4602.297
1183.0,4459.0129
1182.0,4483.4858
1181.0,4491.1568
1180.0,4534.5741
1179.0,4347.7717
1178.0,4446.5092
1177.0,4432.016
1176.0,4849.2712
1175.0,4783.1386
1174.0,4367.8511
1173.0,4460.5709
1172.0,4461.5045
1171.0,4451.3221
1170.0,4439.3721
1169.0,4454.9289
1168.0,4408.7344
1167.0,4376.9562
1166.0,4683.9127
1165.0,4516.4651
1164.0,4368.6088
1163.0,4595.7039
1162.0,4462.0533
1161.0,4305.0232
1160.0,4405.7634
1159.0,4539.7702
1158.0,4556.1579
1157.0,4322.1546
1156.0,4654.269
1155.0,4193.148
1154.0,4403.3017
1153.0,4420.6608
1152.0,4402.8257
1151.0,4372.8478
1150.0,4391.5915
1149.0,4474.4512
1148.0,4559.801
1147.0,4431.5062
1146.0,4132.9511
1145.0,4197.7623
1144.0,4445.9301
1143.0,4558.4688
1142.0,4388.9483
1141.0,4456.3398
1140.0,4692.8883
1139.0,4415.3796
1138.0,4578.9127
1137.0,4469.7798
1136.0,4366.2072
1135.0,4711.2417
1134.0,4209.0394
1133.0,4443.8256
1132.0,4575.1792
1131.0,4552.86
1130.0,4551.1784
1129.0,4552.7894
1128.0,4157.2704
1127.0,4187.7492
1126.0,4282.2661
1125.0,4273.0704
1124.0,4334.128
1123.0,4376.281
1122.0,4538.8392
1121.0,4414.5256
1120.0,4516.8295
1119.0,4269.4048
1118.0,4483.2299
1117.0,4286.989
1116.0,4515.8087
1115.0,4396.1964
1114.0,4259.9298
1113.0,4476.0402
1112.0,4185.8011
1111.0,4189.23
1110.0,4544.3123
1109.0,4542.5782
1108.0,4453.1693
1107.0,4449.854
1106.0,4664.0117
1105.0,4596.7076
1104.0,4427.111
1103.0,4530.2689
1102.0,4717.77
1101.0,4627.6945
1100.0,4554.654
1099.0,4632.4762
1098.0,4324.6717
1097.0,3972.9012
1096.0,4424.7202
1095.0,4203.2462
1094.0,4478.2336
1093.0,4309.9689
1092.0,4450.135
1091.0,4231.3832
1090.0,4345.0807
1089.0,4490.517
1088.0,4358.6857
1087.0,4168.1089
1086.0,4344.0613
1085.0,4441.744
1084.0,4651.3812
1083.0,4342.09
1082.0,4237.6907
1081.0,4257.8972
1080.0,4328.6678
1079.0,4252.2998
1078.0,4481.2582
1077.0,4284.9379
1076.0,4601.4417
1075.0,4442.71
1074.0,4330.1323
1073.0,4436.1624
1072.0,4520.8088
1071.0,4582.7249
1070.0,4466.1898
1069.0,4305.0653
1068.0,4271.5387
1067.0,4113.6805
1066.0,4429.5858
1065.0,4319.2604
1064.0,4534.3789
1063.0,4343.736
1062.0,4424.0706
1061.0,4466.0903
1060.0,4385.4002
1059.0,4421.8069
1058.0,4440.5348
1057.0,4545.905
1056.0,4416.9404
1055.0,4323.3508
1054.0,4420.194
1053.0,4756.2398
1052.0,4412.3318
1051.0,4556.6907
1050.0,4694.6067
1049.0,4703.4271
1048.0,4705.9795
1047.0,4583.2077
1046.0,4684.1558
1045.0,4625.681
1044.0,4529.4046
1043.0,4441.7796
1042.0,4543.0866
1041.0,4771.9832
1040.0,4648.5961
1039.0,4645.1979
1038.0,4512.1827
1037.0,4436.7669
1036.0,4805.2815
1035.0,4652.5571
1034.0,4783.3331
1033.0,4751.8332
1032.0,4653.5988
1031.0,4590.5929
1030.0,4527.3405
1029.0,4474.1422
1028.0,4512.7331
1027.0,4706.5881
1026.0,4587.4559
1025.0,4505.9849
1024.0,4620.0296
1023.0,4654.147
1022.0,4513.306
1021.0,4710.4323
1020.0,4710.0302
1019.0,4708.0007
1018.0,4733.6306
1017.0,4732.9266
1016.0,4654.0437
1015.0,4727.3261
1014.0,4783.2043
1013.0,4960.3172
1012.0,4918.5945
1011.0,4800.3825
1010.0,4739.1215
1009.0,4622.1152
1008.0,4803.6794
1007.0,4987.2548
1006.0,4845.8558
1005.0,4737.3765
1004.0,4766.1435
1003.0,5027.659
1002.0,5173.0432
1001.0,4890.8958
1000.0,4995.5267
999.0,5046.8067
998.0,5219.3307
997.0,5356.6351
996.0,5122.4874
995.0,4912.708
994.0,5097.7196
993.0,5108.0649
992.0,4955.0885
991.0,4744.1356
990.0,5010.9119
989.0,4878.3085
988.0,4537.7164
987.0,4785.7131
986.0,4788.5785
985.0,5070.8763
984.0,4960.4145
983.0,4966.153
982.0,5082.7972
981.0,5221.2579
980.0,5099.5534
979.0,5235.5402
978.0,5556.9357
977.0,5510.8225
976.0,5308.1528
975.0,5217.4138
974.0,5119.229
973.0,4963.0761
972.0,4862.8023
971.0,4722.3192
970.0,4534.7434
969.0,4432.6404
968.0,4569.0675
967.0,4517.6186
966.0,4420.7953
965.0,4502.6463
964.0,4386.8219
963.0,4449.6769
962.0,4698.2091
961.0,4402.1474
960.0,4385.059
959.0,4325.1537
958.0,4145.816
957.0,4175.5349
956.0,4355.0779
955.0,4334.2248
954.0,4380.5552
953.0,4430.6224
952.0,4392.2237
951.0,4302.334
950.0,4303.074
949.0,4587.2185
948.0,4553.2344
947.0,4458.0005
946.0,4402.6729
945.0,4531.4053
944.0,4328.84
943.0,4395.5939
942.0,4485.2732
941.0,4642.3389
940.0,4613.0997
939.0,4564.9357
938.0,4391.8454
937.0,4437.8648
936.0,4433.787
935.0,4431.2964
934.0,4504.803
933.0,4627.084
932.0,4464.7508
931.0,4450.3469
930.0,4593.0696
929.0,4453.9675
928.0,4547.653
927.0,4516.6904
926.0,4745.5174
925.0,4491.2117
924.0,4421.9957
923.0,4493.6
922.0,4713.5396
921.0,4671.3943
920.0,4772.7342
919.0,4513.8547
918.0,4238.7583
917.0,4692.5573
916.0,4724.0204
915.0,4594.0963
914.0,4738.6746
913.0,4540.3406
912.0,4479.9014
911.0,4779.2084
910.0,4791.737
909.0,4640.6856
908.0,4697.7636
907.0,4926.0777
906.0,5041.551
905.0,4906.9581
904.0,4665.8027
903.0,4657.3499
902.0,4885.4686
901.0,4829.1769
900.0,4860.2033
899.0,4980.136
898.0,4900.2261
897.0,5017.2482
896.0,4921.2708
895.0,5005.6115
894.0,5144.7599
893.0,4988.3081
892.0,4811.1527
891.0,4775.2397
890.0,5049.3258
889.0,4897.5886
888.0,4899.6624
887.0,4799.9907
886.0,4886.4142
885.0,4826.3735
884.0,4998.0923
883.0,5032.3131
882.0,5071.7392
881.0,4763.7346
880.0,4734.2349
879.0,5120.7456
878.0,5011.494
877.0,4970.9155
876.0,5003.8488
875.0,5107.6151
874.0,4989.1328
873.0,5013.8525
872.0,4966.8836
871.0,5297.0737
870.0,5108.8393
869.0,5025.3967
868.0,5090.2923
867.0,5126.4727
866.0,5069.007
865.0,5088.6442
864.0,5469.4973
863.0,5048.5503
862.0,4966.8098
861.0,5220.9748
860.0,5020.5737
859.0,5163.2701
858.0,5323.4423
857.0,5353.8003
856.0,5110.6139
855.0,5207.6019
854.0,5198.7596
853.0,5268.1628
852.0,5198.0154
851.0,5242.8042
850.0,5234.9446
849.0,5559.8629
848.0,5438.1892
847.0,5266.2767
846.0,5150.1665
845.0,5260.5539
844.0,5281.193
843.0,5580.2031
842.0,5303.4517
841.0,5447.8769
840.0,5382.1086
839.0,5238.2342
838.0,5347.7965
837.0,5244.062
836.0,5480.9915
835.0,5414.6055
834.0,5327.5466
833.0,5410.0506
832.0,5222.6682
831.0,5376.7037
830.0,5356.6862
829.0,5419.4402
828.0,5368.8418
827.0,5697.474
826.0,5564.7218
825.0,5354.5759
824.0,5633.1753
823.0,5413.5548
822.0,5323.775
821.0,5306.8315
820.0,5480.4868
819.0,5547.1421
818.0,5568.3055
817.0,5651.039
816.0,5567.616
815.0,5798.366
814.0,5479.4075
813.0,5467.275
812.0,5474.2437
811.0,5483.0141
810.0,5669.416
809.0,5455.8048
808.0,5691.9121
807.0,5661.0635
806.0,5723.1492
805.0,5761.8668
804.0,5802.0696
803.0,5776.3944
802.0,5641.5734
801.0,5780.8887
800.0,5609.6897
799.0,5662.6348
798.0,5705.7287
797.0,5433.988
796.0,5586.2559
795.0,5529.5442
794.0,5735.9915
793.0,5807.3349
792.0,5634.5712
791.0,5447.5063
790.0,5804.2847
789.0,5677.585
788.0,5899.2878
787.0,5744.926
786.0,5766.576
785.0,5811.2903
784.0,5978.1703
783.0,6028.303
782.0,5798.9722
781.0,5646.0197
780.0,5933.0157
779.0,5918.0115
778.0,5757.5923
777.0,5702.5995
776.0,5270.9098
775.0,5936.6395
774.0,5957.8816
773.0,5733.1903
772.0,6022.052
771.0,5778.2912
770.0,5837.0424
769.0,5946.9398
768.0,5910.0067
767.0,5918.0286
766.0,6054.2025
765.0,6214.1957
764.0,5984.6389
763.0,6234.6164
762.0,6261.322
761.0,5856.3112
760.0,5791.5216
759.0,6045.6422
758.0,6207.4999
757.0,5999.1595
756.0,6056.4366
755.0,5920.7486
754.0,6031.937
753.0,6028.5959
752.0,6289.8932
751.0,5794.5527
750.0,5904.5935
749.0,6027.7306
748.0,6160.6327
747.0,6125.2238
746.0,6211.8159
745.0,6371.4724
744.0,6313.8893
743.0,6180.7548
742.0,5962.5934
741.0,5918.2142
740.0,5877.5379
739.0,6338.3685
738.0,6227.4153
737.0,6219.3757
736.0,6127.1373
735.0,6328.8391
734.0,6594.9362
733.0,6350.2184
732.0,6256.111
731.0,6145.3908
730.0,6135.0285
729.0,6315.0908
728.0,6330.2448
727.0,6225.7459
726.0,6340.9332
725.0,6375.9772
724.0,6372.592
723.0,6428.9084
722.0,6283.1136
721.0,6625.8928
720.0,6480.1516
719.0,6335.4162
718.0,6428.7133
717.0,6617.6594
716.0,6230.9159
715.0,6392.2168
714.0,6382.742
713.0,6616.9163
712.0,6365.4341
711.0,6647.0704
710.0,6589.1882
709.0,6422.641
708.0,6556.178
707.0,6581.8106
706.0,6374.6514
705.0,6386.5847
704.0,6587.5134
703.0,6172.0543
702.0,6499.2509
701.0,6232.3598
700.0,6386.705
699.0,6399.9958
698.0,6492.1994
697.0,6424.731
696.0,6347.7272
695.0,6601.4107
694.0,6583.8684
693.0,6603.1628
692.0,6406.7053
691.0,6519.1686
690.0,6569.795
689.0,6534.5533
688.0,6469.6813
687.0,6442.6912
686.0,6575.5929
685.0,6416.2612
684.0,6808.5457
683.0,6501.25
682.0,6552.6657
681.0,6410.7367
680.0,6833.2847
679.0,7082.499
678.0,6576.4563
677.0,6471.1243
676.0,6647.2497
675.0,6807.5462
674.0,6663.8547
673.0,6756.482
672.0,7053.7174
671.0,6787.824
670.0,6672.4872
669.0,6664.1809
668.0,6860.2293
667.0,6725.7125
666.0,6612.4429
665.0,6929.9206
664.0,6766.5009
663.0,7119.9679
662.0,6835.0321
661.0,6938.4228
660.0,6617.8124
659.0,6889.1604
658.0,6588.0324
657.0,6811.3961
656.0,6657.6874
655.0,6755.5482
654.0,6647.9753
653.0,6645.7708
652.0,6858.8309
651.0,6908.7669
650.0,6821.1381
649.0,6879.5607
648.0,6654.1187
647.0,7043.0284
646.0,7163.7541
645.0,6985.4629
644.0,6889.2132
643.0,6566.9964
642.0,6886.8914
641.0,6882.3915
640.0,6966.8872
639.0,6799.1333
638.0,7010.2893
637.0,6930.8422
636.0,7198.2225
635.0,7184.8658
634.0,7087.2951
633.0,7331.6927
632.0,7221.6424
631.0,7205.3911
630.0,7025.6945
629.0,7359.8627
628.0,7097.151
627.0,6929.2799
626.0,7170.3197
625.0,6975.6984
624.0,7027.2128
623.0,7167.4527
622.0,7534.9175
621.0,7294.9716
620.0,7350.0869
619.0,7258.175
618.0,7503.6744
617.0,7168.6379
616.0,7354.565
615.0,7233.6834
614.0,7239.0408
613.0,7297.8487
612.0,7180.6457
611.0,7431.5632
610.0,7408.5692
609.0,7544.9328
608.0,7395.3711
607.0,7571.9664
606.0,7433.8433
605.0,7380.1088
604.0,7182.7254
603.0,7337.2188
602.0,7534.0316
601.0,7625.8408
600.0,7512.2833
599.0,7542.2431
598.0,7904.8064
597.0,7799.1938
596.0,7396.1831
595.0,7503.2557
594.0,7811.9006
593.0,7779.9101
592.0,7873.487
591.0,7856.4481
590.0,8028.2099
589.0,7697.4942
588.0,7669.4906
587.0,7959.4581
586.0,8105.8316
585.0,8097.6834
584.0,8163.3197
583.0,7879.002
582.0,7792.8574
581.0,7998.4063
580.0,7807.664
579.0,7736.1857
578.0,7803.6332
577.0,7981.9336
576.0,7799.3627
575.0,7529.909
574.0,7714.3795
573.0,7883.4145
572.0,8046.9845
571.0,7958.6093
570.0,7770.2068
569.0,7601.6722
568.0,7876.0353
567.0,7775.7658
566.0,8215.0643
565.0,8439.1828
564.0,8617.3949
563.0,7894.1928
562.0,7843.3107
561.0,7976.9557
560.0,7595.4623
559.0,7797.9468
558.0,8082.5613
557.0,7807.4948
556.0,8176.5276
555.0,8042.7822
554.0,8215.3567
553.0,8034.5762
552.0,8456.8629
551.0,8343.2847
550.0,8522.2435
549.0,8490.7923
548.0,8238.2477
547.0,8161.21
546.0,8058.8348
545.0,7857.6898
544.0,8078.6342
543.0,7996.8535
542.0,7822.2506
541.0,8193.3729
540.0,7917.2559
539.0,7671.3537
538.0,7805.1153
537.0,7766.8483
536.0,7958.3668
535.0,8193.8432
534.0,8363.0958
533.0,9383.2743
532.0,12596.14
531.0,13512.603
530.0,8990.1383
529.0,7855.686
528.0,7683.681
527.0,7498.9887
526.0,7486.2459
525.0,7234.5613
524.0,7771.9136
523.0,7554.4248
522.0,7430.9206
521.0,7472.0629
520.0,8022.5411
519.0,7801.692
518.0,7607.2157
517.0,7578.1222
516.0,7639.8957
515.0,7610.3766
514.0,8199.338
513.0,7798.1875
512.0,7828.6765
511.0,7572.0845
510.0,7502.4931
509.0,7549.4661
508.0,7903.5569
507.0,7862.0625
506.0,7698.5624
505.0,7947.1297
504.0,7716.3494
503.0,7880.8809
