BE,counts/s
1300.0,16462.126
1299.0,16695.759
1298.0,16769.425
1297.0,16457.77
1296.0,16855.556
1295.0,16805.56
1294.0,16064.793
1293.0,16247.883
1292.0,16164.032
1291.0,16635.302
1290.0,16487.677
1289.0,16509.261
1288.0,16122.788
1287.0,16132.318
1286.0,16752.339
1285.0,16726.359
1284.0,15948.443
1283.0,16360.058
1282.0,16537.794
1281.0,16676.0
1280.0,16503.921
1279.0,16289.758
1278.0,16606.904
1277.0,16924.43
1276.0,16736.623
1275.0,16704.899
1274.0,16763.797
1273.0,16953.97
1272.0,17272.344
1271.0,16677.972
1270.0,16667.139
1269.0,16953.025
1268.0,16678.752
1267.0,17136.935
1266.0,17554.564
1265.0,17109.955
1264.0,16623.393
1263.0,17064.19
1262.0,16456.303
1261.0,16730.616
1260.0,17017.584
1259.0,17187.941
1258.0,16703.663
1257.0,16861.037
1256.0,17139.696
1255.0,17296.681
1254.0,17785.557
1253.0,17218.731
1252.0,17412.818
1251.0,17049.376
1250.0,17351.506
1249.0,17644.928
1248.0,18150.88
1247.0,18075.387
1246.0,17783.64
1245.0,17826.995
1244.0,17479.367
1243.0,17397.698
1242.0,17934.287
1241.0,18254.271
1240.0,18098.427
1239.0,17554.314
1238.0,18489.552
1237.0,18026.196
1236.0,18064.21
1235.0,17796.502
1234.0,17832.208
1233.0,18180.064
1232.0,18861.458
1231.0,18954.525
1230.0,18758.046
1229.0,18771.461
1228.0,19156.146
1227.0,18769.197
1226.0,18885.409
1225.0,19143.656
1224.0,18918.431
1223.0,18717.715
1222.0,18399.874
1221.0,18088.484
1220.0,18242.977
1219.0,17617.998
1218.0,17101.318
1217.0,16825.898
1216.0,16484.237
1215.0,16546.067
1214.0,16315.272
1213.0,15979.899
1212.0,15675.796
1211.0,16136.319
1210.0,15683.19
1209.0,15415.051
1208.0,15497.453
1207.0,15949.843
1206.0,15735.123
1205.0,16135.413
1204.0,15726.251
1203.0,15865.833
1202.0,15739.496
1201.0,15910.514
1200.0,16138.053
1199.0,15618.289
1198.0,15372.073
1197.0,15910.614
1196.0,16055.01
1195.0,15978.53
1194.0,16150.478
1193.0,15733.624
1192.0,15237.249
1191.0,15107.274
1190.0,15534.44
1189.0,15559.307
1188.0,15804.505
1187.0,15777.81
1186.0,15879.109
1185.0,15690.905
1184.0,16015.909
1183.0,15990.793
1182.0,15523.335
1181.0,15654.682
1180.0,15891.458
1179.0,15499.93
1178.0,15531.819
1177.0,15799.771
1176.0,16088.975
1175.0,15419.682
1174.0,15178.191
1173.0,15253.953
1172.0,15959.923
1171.0,15117.588
1170.0,15429.794
1169.0,15587.423
1168.0,15601.67
1167.0,16152.93
1166.0,16139.268
1165.0,15564.446
1164.0,15231.047
1163.0,15189.576
1162.0,14900.131
1161.0,15526.897
1160.0,15269.476
1159.0,15652.522
1158.0,15955.855
1157.0,15390.058
1156.0,15704.429
1155.0,15827.014
1154.0,15931.07
1153.0,15999.18
1152.0,16523.995
1151.0,15895.5
1150.0,15290.352
1149.0,14963.942
1148.0,15713.043
1147.0,16109.445
1146.0,15801.102
1145.0,15893.025
1144.0,15912.646
1143.0,15758.413
1142.0,16265.635
1141.0,16016.596
1140.0,16027.292
1139.0,16213.151
1138.0,16127.375
1137.0,15811.174
1136.0,15785.675
1135.0,15678.284
1134.0,16318.508
1133.0,16164.203
1132.0,16394.313
1131.0,16066.721
1130.0,15706.302
1129.0,16460.531
1128.0,16122.854
1127.0,15976.528
1126.0,16359.114
1125.0,16102.609
1124.0,15626.131
1123.0,15868.198
1122.0,16423.6
1121.0,16436.244
1120.0,16287.115
1119.0,16588.878
1118.0,16269.442
1117.0,16339.6
1116.0,16657.011
1115.0,15974.637
1114.0,15775.674
1113.0,16308.756
1112.0,16215.044
1111.0,16738.235
1110.0,16107.765
1109.0,16347.569
1108.0,16022.811
1107.0,15397.181
1106.0,16040.683
1105.0,16377.544
1104.0,16185.242
1103.0,16129.409
1102.0,16086.168
1101.0,16019.04
1100.0,16664.322
1099.0,16781.961
1098.0,16301.608
1097.0,16597.886
1096.0,16580.745
1095.0,16125.171
1094.0,15742.931
1093.0,16424.762
1092.0,16728.046
1091.0,16012.901
1090.0,16145.565
1089.0,16894.448
1088.0,16580.098
1087.0,16790.763
1086.0,16694.913
1085.0,16325.42
1084.0,16294.493
1083.0,16710.432
1082.0,16820.421
1081.0,16448.1
1080.0,16162.603
1079.0,16382.664
1078.0,16395.895
1077.0,16455.922
1076.0,16807.466
1075.0,16525.814
1074.0,17418.786
1073.0,18378.761
1072.0,18007.528
1071.0,16920.702
1070.0,16686.65
1069.0,16418.496
1068.0,16996.815
1067.0,16404.342
1066.0,16809.519
1065.0,16973.477
1064.0,16744.05
1063.0,16840.072
1062.0,16893.863
1061.0,16900.518
1060.0,17053.881
1059.0,17043.824
1058.0,16759.565
1057.0,16573.613
1056.0,16944.05
1055.0,16913.753
1054.0,16886.311
1053.0,16746.924
1052.0,16932.883
1051.0,17164.923
1050.0,17060.596
1049.0,16901.569
1048.0,16860.642
1047.0,17428.597
1046.0,17406.89
1045.0,17635.08
1044.0,17263.996
1043.0,17108.476
1042.0,17389.421
1041.0,17409.888
1040.0,17471.435
1039.0,16877.208
1038.0,17440.93
1037.0,17337.41
1036.0,16902.025
1035.0,17112.919
1034.0,17823.192
1033.0,17671.178
1032.0,16649.832
1031.0,17375.164
1030.0,17867.9
1029.0,17061.435
1028.0,17409.724
1027.0,17562.072
1026.0,17688.062
1025.0,17754.58
1024.0,17426.159
1023.0,17640.363
1022.0,17815.941
1021.0,17844.891
1020.0,17179.867
1019.0,17557.6
1018.0,17866.135
1017.0,17820.845
1016.0,17667.918
1015.0,17384.087
1014.0,17264.019
1013.0,17780.9
1012.0,16930.936
1011.0,17068.086
1010.0,16873.448
1009.0,17705.654
1008.0,17922.861
1007.0,18138.763
1006.0,18493.694
1005.0,18888.41
1004.0,18417.093
1003.0,19062.871
1002.0,19174.746
1001.0,18759.998
1000.0,17923.487
999.0,18048.422
998.0,17398.641
997.0,17003.432
996.0,16316.888
995.0,16236.4
994.0,16341.134
993.0,15969.277
992.0,15073.916
991.0,14871.237
990.0,14788.071
989.0,14883.548
988.0,14867.909
987.0,14919.152
986.0,15647.814
985.0,16487.164
984.0,17937.586
983.0,19253.543
982.0,20168.854
981.0,21676.667
980.0,22098.498
979.0,20348.409
978.0,18253.071
977.0,16650.639
976.0,15347.721
975.0,14080.662
974.0,13481.489
973.0,12501.878
972.0,12551.134
971.0,11728.465
970.0,10774.581
969.0,10292.215
968.0,10213.6
967.0,9724.355
966.0,9578.6007
965.0,9286.9964
964.0,9393.7152
963.0,9677.1405
962.0,9416.2691
961.0,9035.2695
960.0,9287.5016
959.0,9719.0354
958.0,9650.3964
957.0,9554.1141
956.0,9461.9876
955.0,9686.0844
954.0,9443.256
953.0,9305.2488
952.0,9536.4158
951.0,9564.6065
950.0,9477.4214
949.0,9613.4543
948.0,9696.3621
947.0,9889.2684
946.0,9730.246
945.0,9688.975
944.0,9556.8281
943.0,9542.7853
942.0,9817.6132
941.0,9613.6896
940.0,9676.9865
939.0,9870.3517
938.0,9977.4809
937.0,9685.5298
936.0,9928.0141
935.0,9628.9152
934.0,9846.0252
933.0,9667.5617
932.0,9714.8505
931.0,9717.1929
930.0,9912.618
929.0,10180.475
928.0,9972.0515
927.0,10026.565
926.0,10175.354
925.0,10509.129
924.0,10219.426
923.0,10095.932
922.0,10225.544
921.0,10167.903
920.0,10308.101
919.0,10591.618
918.0,10253.486
917.0,10292.896
916.0,10237.508
915.0,10623.272
914.0,10313.053
913.0,9970.359
912.0,10077.284
911.0,10243.602
910.0,10452.923
909.0,10360.766
908.0,10213.27
907.0,10474.752
906.0,10319.487
905.0,10849.689
904.0,10573.998
903.0,10414.921
902.0,10618.604
901.0,10736.433
900.0,10662.548
899.0,11094.665
898.0,10552.83
897.0,10083.515
896.0,10692.239
895.0,11074.823
894.0,10257.604
893.0,10766.29
892.0,10831.959
891.0,10820.354
890.0,10931.671
889.0,10863.142
888.0,11079.843
887.0,10994.032
886.0,11026.56
885.0,11082.333
884.0,11164.292
883.0,11212.294
882.0,11248.902
881.0,10966.174
880.0,10703.889
879.0,10860.963
878.0,10687.212
877.0,10921.568
876.0,10864.103
875.0,10992.197
874.0,11207.623
873.0,10824.619
872.0,11110.125
871.0,11651.735
870.0,11437.96
869.0,11244.833
868.0,11750.562
867.0,11130.115
866.0,11138.814
865.0,11219.697
864.0,11036.651
863.0,11265.325
862.0,11686.604
861.0,11450.899
860.0,11300.197
859.0,11624.133
858.0,11567.278
857.0,11589.677
856.0,11466.555
855.0,11667.324
854.0,11534.312
853.0,11949.748
852.0,11604.021
851.0,11708.4
850.0,11656.048
849.0,11484.076
848.0,11553.051
847.0,11671.016
846.0,11666.936
845.0,11838.509
844.0,11658.094
843.0,11490.428
842.0,12029.181
841.0,12107.868
840.0,11862.211
839.0,11900.945
838.0,12110.872
837.0,12043.844
836.0,12092.047
835.0,12025.761
834.0,12124.173
833.0,11784.25
832.0,11892.713
831.0,12336.391
830.0,12090.921
829.0,12119.424
828.0,11896.291
827.0,12074.901
826.0,12144.271
825.0,11990.323
824.0,11957.137
823.0,12150.263
822.0,12398.223
821.0,12148.838
820.0,12357.796
819.0,12485.296
818.0,12663.006
817.0,12348.52
816.0,12255.381
815.0,12566.999
814.0,12303.903
813.0,12274.798
812.0,12429.028
811.0,12657.604
810.0,12692.693
809.0,12518.113
808.0,12351.531
807.0,12517.203
806.0,12457.952
805.0,12607.724
804.0,13249.021
803.0,13408.295
802.0,12953.007
801.0,12933.548
800.0,12809.466
799.0,13238.862
798.0,12879.359
797.0,12927.66
796.0,13254.725
795.0,12993.266
794.0,12724.165
793.0,12746.511
792.0,13266.379
791.0,13197.039
790.0,13113.612
789.0,13350.974
788.0,13258.875
787.0,13498.347
786.0,13199.963
785.0,13006.218
784.0,12957.569
783.0,13050.353
782.0,13450.121
781.0,13215.965
780.0,13079.819
779.0,12805.303
778.0,13182.504
777.0,13302.18
776.0,13006.147
775.0,13727.587
774.0,13387.24
773.0,13288.864
772.0,13334.862
771.0,13846.006
770.0,13340.495
769.0,13230.827
768.0,13540.82
767.0,13472.484
766.0,13065.119
765.0,13290.162
764.0,13795.3
763.0,13895.444
762.0,13483.078
761.0,13758.199
760.0,13789.829
759.0,13648.851
758.0,13859.74
757.0,13518.631
756.0,13835.243
755.0,13755.987
754.0,13868.297
