BE,counts/s
1300.0,13716.039
1299.0,13908.149
1298.0,14094.729
1297.0,14076.291
1296.0,13879.971
1295.0,13997.395
1294.0,13761.273
1293.0,13616.302
1292.0,14320.222
1291.0,14137.264
1290.0,13897.218
1289.0,13470.886
1288.0,13492.083
1287.0,13781.601
1286.0,13209.902
1285.0,13473.411
1284.0,13648.709
1283.0,13630.93
1282.0,13633.928
1281.0,13924.082
1280.0,13506.995
1279.0,13733.057
1278.0,13693.755
1277.0,13779.41
1276.0,13281.029
1275.0,13545.586
1274.0,13849.013
1273.0,14093.441
1272.0,13516.676
1271.0,13708.257
1270.0,13837.737
1269.0,13455.948
1268.0,13609.983
1267.0,13715.105
1266.0,13586.353
1265.0,13617.888
1264.0,13765.268
1263.0,14049.231
1262.0,13640.181
1261.0,13210.583
1260.0,13902.932
1259.0,13580.397
1258.0,13661.495
1257.0,13849.252
1256.0,13828.656
1255.0,13350.88
1254.0,13334.934
1253.0,13551.958
1252.0,13452.276
1251.0,13301.829
1250.0,13533.742
1249.0,13593.7
1248.0,13361.239
1247.0,13612.091
1246.0,13435.887
1245.0,13378.584
1244.0,13173.786
1243.0,13311.723
1242.0,13567.136
1241.0,13447.716
1240.0,13530.181
1239.0,14020.052
1238.0,13314.023
1237.0,13373.141
1236.0,13208.9
1235.0,13849.396
1234.0,13704.12
1233.0,13648.723
1232.0,13498.6
1231.0,13631.278
1230.0,13399.423
1229.0,13261.8
1228.0,13346.42
1227.0,13173.626
1226.0,13695.955
1225.0,13801.454
1224.0,13412.873
1223.0,13385.138
1222.0,13444.831
1221.0,13528.719
1220.0,13444.383
1219.0,13068.173
1218.0,13508.159
1217.0,13355.957
1216.0,13200.564
1215.0,13300.603
1214.0,12832.502
1213.0,13351.588
1212.0,13634.436
1211.0,13270.051
1210.0,13388.366
1209.0,13540.096
1208.0,13372.198
1207.0,13133.232
1206.0,13243.076
1205.0,13048.974
1204.0,13209.698
1203.0,13842.116
1202.0,13871.238
1201.0,13719.077
1200.0,13104.383
1199.0,13484.04
1198.0,13394.586
1197.0,13526.098
1196.0,13885.07
1195.0,13520.954
1194.0,13246.218
1193.0,13112.699
1192.0,12967.917
1191.0,13359.328
1190.0,13348.661
1189.0,13400.708
1188.0,13142.049
1187.0,13221.969
1186.0,13284.828
1185.0,13259.841
1184.0,13390.524
1183.0,13477.504
1182.0,13725.246
1181.0,13766.253
1180.0,13723.076
1179.0,13869.062
1178.0,13810.685
1177.0,13492.953
1176.0,13503.99
1175.0,13722.86
1174.0,13703.504
1173.0,13902.971
1172.0,13723.726
1171.0,13573.918
1170.0,14002.273
1169.0,14139.129
1168.0,13406.449
1167.0,13584.211
1166.0,13543.906
1165.0,13555.571
1164.0,13742.34
1163.0,13518.985
1162.0,14026.683
1161.0,13732.662
1160.0,14051.257
1159.0,13227.347
1158.0,13610.457
1157.0,13829.768
1156.0,14204.889
1155.0,13932.891
1154.0,13891.63
1153.0,13604.023
1152.0,13649.126
1151.0,13800.034
1150.0,14307.168
1149.0,13627.393
1148.0,13766.12
1147.0,13685.348
1146.0,13616.028
1145.0,13701.851
1144.0,13601.299
1143.0,13889.618
1142.0,13811.362
1141.0,13791.097
1140.0,14335.154
1139.0,14225.715
1138.0,13692.02
1137.0,13582.69
1136.0,13747.13
1135.0,13911.128
1134.0,14213.499
1133.0,13780.823
1132.0,13544.104
1131.0,13873.838
1130.0,14209.235
1129.0,14087.36
1128.0,13619.847
1127.0,13941.568
1126.0,14203.386
1125.0,14179.781
1124.0,13933.269
1123.0,13897.878
1122.0,14050.993
1121.0,14175.734
1120.0,14156.403
1119.0,13826.548
1118.0,14280.736
1117.0,14076.678
1116.0,14194.825
1115.0,14037.343
1114.0,13976.135
1113.0,14302.349
1112.0,14270.571
1111.0,14343.253
1110.0,14095.759
1109.0,14366.107
1108.0,14681.495
1107.0,14035.37
1106.0,14027.581
1105.0,13923.596
1104.0,13867.189
1103.0,14558.404
1102.0,14513.705
1101.0,14740.363
1100.0,14435.711
1099.0,14540.254
1098.0,14100.357
1097.0,14503.738
1096.0,14106.239
1095.0,13929.196
1094.0,14206.886
1093.0,14243.491
1092.0,14502.076
1091.0,14353.564
1090.0,14614.104
1089.0,13997.986
1088.0,14086.717
1087.0,14619.335
1086.0,14184.141
1085.0,14568.068
1084.0,14570.394
1083.0,14799.627
1082.0,14797.281
1081.0,14947.575
1080.0,15094.229
1079.0,14638.2
1078.0,14215.6
1077.0,14644.007
1076.0,14818.661
1075.0,14730.531
1074.0,14813.081
1073.0,15332.9
1072.0,14731.598
1071.0,14711.758
1070.0,15216.824
1069.0,14733.736
1068.0,15084.843
1067.0,14655.832
1066.0,15236.94
1065.0,15211.783
1064.0,15284.318
1063.0,15395.118
1062.0,15297.675
1061.0,15305.837
1060.0,15422.742
1059.0,15824.914
1058.0,14734.572
1057.0,14714.54
1056.0,15437.341
1055.0,15245.5
1054.0,15199.179
1053.0,14887.489
1052.0,15560.304
1051.0,15851.751
1050.0,15725.965
1049.0,15565.681
1048.0,15252.408
1047.0,15289.269
1046.0,15714.944
1045.0,16216.474
1044.0,16191.215
1043.0,16276.107
1042.0,16128.913
1041.0,16355.484
1040.0,15822.994
1039.0,15814.773
1038.0,16208.57
1037.0,15998.73
1036.0,16429.053
1035.0,16085.132
1034.0,16777.618
1033.0,16263.553
1032.0,16150.953
1031.0,16734.438
1030.0,16058.843
1029.0,16524.446
1028.0,16641.142
1027.0,17167.862
1026.0,16965.266
1025.0,16891.649
1024.0,17341.125
1023.0,16971.96
1022.0,17115.311
1021.0,17604.107
1020.0,17999.43
1019.0,17969.561
1018.0,18066.836
1017.0,18246.582
1016.0,17776.721
1015.0,17163.561
1014.0,16915.299
1013.0,17014.018
1012.0,17017.635
1011.0,17452.799
1010.0,17994.187
1009.0,17441.799
1008.0,18217.875
1007.0,19176.282
1006.0,19614.446
1005.0,19972.809
1004.0,20467.723
1003.0,20665.103
1002.0,21233.834
1001.0,20698.678
1000.0,19160.335
999.0,19046.812
998.0,18257.458
997.0,17793.271
996.0,17148.443
995.0,16372.631
994.0,16414.205
993.0,15710.911
992.0,15576.087
991.0,16258.725
990.0,16754.102
989.0,16916.699
988.0,17110.743
987.0,17791.77
986.0,19889.519
985.0,22110.963
984.0,23876.101
983.0,25764.298
982.0,28025.319
981.0,30029.384
980.0,27045.704
979.0,22775.341
978.0,20051.812
977.0,18060.799
976.0,16395.011
975.0,14558.616
974.0,13028.727
973.0,12105.502
972.0,11565.965
971.0,10662.158
970.0,9593.8293
969.0,8683.9619
968.0,7977.2595
967.0,7765.0136
966.0,7584.9632
965.0,7928.6444
964.0,7871.1484
963.0,7605.5757
962.0,7608.5825
961.0,7343.2814
960.0,7305.1313
959.0,7772.0703
958.0,7564.1112
957.0,7907.046
956.0,7975.7483
955.0,7535.8212
954.0,7623.2515
953.0,7686.5646
952.0,7787.6738
951.0,7617.6136
950.0,7439.9925
949.0,7424.9798
948.0,7804.4672
947.0,7523.2042
946.0,7877.1411
945.0,7584.7737
944.0,7545.0477
943.0,7555.7449
942.0,7409.9178
941.0,7643.2556
940.0,7659.6009
939.0,7840.1933
938.0,7984.2096
937.0,7934.3878
936.0,7829.8963
935.0,7694.1455
934.0,7891.0257
933.0,7863.5674
932.0,7813.706
931.0,8155.3074
930.0,7862.1078
929.0,8076.5562
928.0,8087.915
927.0,8109.0208
926.0,8131.5946
925.0,8169.4087
924.0,7945.8364
923.0,7947.1395
922.0,8239.5012
921.0,8131.7871
920.0,7953.2694
919.0,8013.4695
918.0,8273.7717
917.0,7804.6603
916.0,8120.8904
915.0,8188.3171
914.0,8109.0676
913.0,8169.8504
912.0,8263.7764
911.0,8437.3702
910.0,8147.4883
909.0,8242.3251
908.0,8329.3439
907.0,8580.3559
906.0,8092.246
905.0,7854.7394
904.0,8029.5359
903.0,8420.738
902.0,8637.9641
901.0,8244.4659
900.0,8533.091
899.0,8498.4066
898.0,8532.1402
897.0,8250.1619
896.0,8278.8974
895.0,8810.3175
894.0,8647.0101
893.0,8831.1967
892.0,8479.5643
891.0,8417.5619
890.0,8684.8106
889.0,8766.802
888.0,8497.1765
887.0,8613.465
886.0,8700.338
885.0,8703.6244
884.0,8684.5691
883.0,8472.1221
882.0,8378.5217
881.0,8737.9188
880.0,8678.164
879.0,8530.3741
878.0,8900.7271
877.0,8705.4669
876.0,8660.038
875.0,8560.054
874.0,8528.9054
873.0,8322.1703
872.0,8564.9878
871.0,8979.8411
870.0,8766.3432
869.0,8754.6974
868.0,9074.8384
867.0,9099.9956
866.0,8968.9077
865.0,9077.8861
864.0,9119.6712
863.0,9053.1628
862.0,9001.2056
861.0,9103.1665
860.0,9145.9888
859.0,8841.031
858.0,8870.9147
857.0,8906.3162
856.0,9270.9229
855.0,9483.3302
854.0,9209.0406
853.0,9191.2
852.0,9212.5325
851.0,9273.3269
850.0,9373.4421
849.0,9379.0717
848.0,9433.1276
847.0,9525.6908
846.0,9350.8086
845.0,9588.8083
844.0,9366.6926
843.0,9335.0871
842.0,9635.8661
841.0,9353.6412
840.0,9665.9081
839.0,9864.7921
838.0,9466.7462
837.0,9559.2132
836.0,9906.2851
835.0,9673.5714
834.0,9698.7819
833.0,9521.2495
832.0,9388.3746
831.0,9837.1469
830.0,9915.5861
829.0,9780.304
828.0,9787.9789
827.0,9582.0088
826.0,9886.3207
825.0,9370.1508
824.0,9830.192
823.0,10065.648
822.0,9941.5807
821.0,10013.03
820.0,10050.194
819.0,10145.484
818.0,9804.1936
817.0,9903.5853
816.0,9787.1642
815.0,10615.265
814.0,10300.846
813.0,9859.57
812.0,9966.409
811.0,10256.118
810.0,10406.137
809.0,10283.884
808.0,9941.625
807.0,10068.249
806.0,10326.29
805.0,10350.426
804.0,10368.383
803.0,10966.946
802.0,10325.968
801.0,10334.979
