BE,counts/s
1300.0,8470.1847
1299.0,8824.3465
1298.0,8857.3337
1297.0,8325.2534
1296.0,8474.7399
1295.0,8900.1861
1294.0,8549.1484
1293.0,8339.0723
1292.0,8195.5936
1291.0,8452.3174
1290.0,8586.6976
1289.0,8688.3084
1288.0,8632.6415
1287.0,8325.6927
1286.0,8288.6851
1285.0,8294.9001
1284.0,8209.5368
1283.0,8469.9314
1282.0,8299.2992
1281.0,8259.6389
1280.0,8096.1704
1279.0,7768.2787
1278.0,7969.8913
1277.0,7957.184
1276.0,8162.1614
1275.0,8194.4504
1274.0,8230.4897
1273.0,8395.4841
1272.0,8418.2442
1271.0,8155.1676
1270.0,8001.6673
1269.0,8136.1874
1268.0,8219.9088
1267.0,8174.2396
1266.0,8165.9258
1265.0,8188.4003
1264.0,8108.5081
1263.0,7943.1566
1262.0,8228.6249
1261.0,8049.538
1260.0,8273.8809
1259.0,8043.5199
1258.0,7873.869
1257.0,7673.7846
1256.0,7948.7812
1255.0,7946.1074
1254.0,7738.928
1253.0,8000.5963
1252.0,7960.0039
1251.0,8173.702
1250.0,8000.6617
1249.0,7777.2487
1248.0,7691.6435
1247.0,7730.8768
1246.0,7459.3587
1245.0,7514.3964
1244.0,7648.4182
1243.0,7778.3012
1242.0,7802.6689
1241.0,7807.0692
1240.0,7663.1518
1239.0,7927.663
1238.0,8053.2584
1237.0,7610.7791
1236.0,7641.7231
1235.0,7689.7648
1234.0,7770.889
1233.0,7674.3131
1232.0,7545.873
1231.0,7597.7924
1230.0,7687.8847
1229.0,7846.2725
1228.0,7681.552
1227.0,7571.786
1226.0,7383.4415
1225.0,7475.8072
1224.0,7493.1978
1223.0,7594.8774
1222.0,7635.2676
1221.0,7466.8701
1220.0,7527.5796
1219.0,7664.9105
1218.0,7551.6605
1217.0,7409.9293
1216.0,7770.2296
1215.0,7287.0264
1214.0,7566.7926
1213.0,7823.3871
1212.0,7710.6899
1211.0,7820.0571
1210.0,7732.0127
1209.0,7915.3432
1208.0,7634.1723
1207.0,7971.1594
1206.0,7366.2766
1205.0,7740.4312
1204.0,7237.8934
1203.0,7744.3285
1202.0,7592.602
1201.0,7744.7124
1200.0,7657.1194
1199.0,7455.0063
1198.0,7677.1076
1197.0,7600.3677
1196.0,7687.3663
1195.0,7856.6484
1194.0,7703.745
1193.0,7093.2808
1192.0,7385.8997
1191.0,7685.365
1190.0,7636.6422
1189.0,7660.3528
1188.0,7460.2701
1187.0,7445.8689
1186.0,7552.1025
1185.0,7537.2405
1184.0,7837.8668
1183.0,7681.4304
1182.0,7608.999
1181.0,7920.0491
1180.0,7760.0348
1179.0,7667.0581
1178.0,7523.3704
1177.0,7612.4105
1176.0,7734.9497
1175.0,7429.4387
1174.0,7557.631
1173.0,7411.1546
1172.0,7956.0694
1171.0,7787.276
1170.0,7557.0841
1169.0,7411.4743
1168.0,7532.242
1167.0,7594.1907
1166.0,7718.2734
1165.0,7553.4611
1164.0,7450.3288
1163.0,7627.4534
1162.0,7654.2242
1161.0,7794.051
1160.0,7550.9479
1159.0,7342.3984
1158.0,7709.6176
1157.0,7563.8196
1156.0,7772.4454
1155.0,7531.3932
1154.0,7872.1428
1153.0,7729.046
1152.0,7559.2476
1151.0,7502.855
1150.0,7799.3879
1149.0,7697.3362
1148.0,7450.8572
1147.0,7495.4571
1146.0,7766.8797
1145.0,7643.3278
1144.0,7511.7029
1143.0,7514.4024
1142.0,7475.5558
1141.0,7859.844
1140.0,7778.3918
1139.0,7786.3123
1138.0,7813.6192
1137.0,7565.5349
1136.0,7848.372
1135.0,7872.6201
1134.0,7658.8075
1133.0,7392.7249
1132.0,8198.65
1131.0,7851.0633
1130.0,7593.619
1129.0,7915.7445
1128.0,7345.1343
1127.0,7730.2755
1126.0,7710.9973
1125.0,7975.9929
1124.0,8031.9914
1123.0,7836.1654
1122.0,7636.2033
1121.0,7636.6372
1120.0,7517.4059
1119.0,7647.2195
1118.0,7920.0367
1117.0,7884.022
1116.0,7919.4778
1115.0,8038.9831
1114.0,7876.0587
1113.0,8035.1529
1112.0,7561.3259
1111.0,7820.6109
1110.0,7830.3499
1109.0,7767.5046
1108.0,7746.7051
1107.0,7646.1384
1106.0,8055.9937
1105.0,7721.2922
1104.0,7801.8899
1103.0,7799.0721
1102.0,7987.6223
1101.0,8087.0973
1100.0,8114.8397
1099.0,7789.0483
1098.0,8124.1388
1097.0,8007.1006
1096.0,8369.2317
1095.0,8203.9565
1094.0,8179.2121
1093.0,8226.4351
1092.0,8173.5565
1091.0,8211.6881
1090.0,7677.3585
1089.0,7910.1995
1088.0,8321.7372
1087.0,8287.6191
1086.0,8294.7779
1085.0,7957.4458
1084.0,8161.612
1083.0,8088.8558
1082.0,8321.1438
1081.0,8299.0342
1080.0,8271.9646
1079.0,7938.5958
1078.0,8090.5183
1077.0,8224.3701
1076.0,8361.1003
1075.0,8684.4609
1074.0,8943.3635
1073.0,9622.5481
1072.0,8917.4302
1071.0,8157.1624
1070.0,8380.6669
1069.0,8158.3623
1068.0,8240.2683
1067.0,8534.8759
1066.0,8672.4191
1065.0,8560.554
1064.0,8399.6449
1063.0,8721.9745
1062.0,8184.5712
1061.0,8420.1969
1060.0,8361.2088
1059.0,8407.6832
1058.0,8754.0086
1057.0,8721.5432
1056.0,9004.974
1055.0,8695.6922
1054.0,8774.6145
1053.0,8881.8872
1052.0,8612.4026
1051.0,8569.5881
1050.0,8934.3154
1049.0,8788.9092
1048.0,8855.6699
1047.0,8961.0957
1046.0,8973.2392
1045.0,9063.1187
1044.0,9626.9013
1043.0,9539.0237
1042.0,9282.9091
1041.0,8988.3352
1040.0,9062.6758
1039.0,9495.2564
1038.0,9319.8522
1037.0,9256.8137
1036.0,9287.0887
1035.0,9566.9776
1034.0,9806.0116
1033.0,9498.0114
1032.0,9597.3772
1031.0,9872.2925
1030.0,10033.433
1029.0,10066.288
1028.0,9986.8
1027.0,9926.1868
1026.0,10048.948
1025.0,10307.678
1024.0,10506.317
1023.0,10440.082
1022.0,10489.935
1021.0,10639.039
1020.0,10861.779
1019.0,11099.529
1018.0,10990.472
1017.0,10815.514
1016.0,11227.887
1015.0,11506.471
1014.0,10866.411
1013.0,11128.4
1012.0,11168.849
1011.0,10977.671
1010.0,10607.893
1009.0,10648.964
1008.0,10768.381
1007.0,11401.039
1006.0,11872.063
1005.0,12179.476
1004.0,12244.197
1003.0,12875.314
1002.0,13125.684
1001.0,13172.074
1000.0,13516.295
999.0,13686.849
998.0,13289.245
997.0,12909.159
996.0,12514.064
995.0,12330.895
994.0,11799.308
993.0,11293.94
992.0,11037.59
991.0,11111.703
990.0,11357.935
989.0,11465.72
988.0,11438.508
987.0,11075.108
986.0,11848.925
985.0,12385.719
984.0,13367.16
983.0,14287.203
982.0,15754.364
981.0,16689.67
980.0,18079.571
979.0,19717.153
978.0,18766.908
977.0,16935.179
976.0,14775.321
975.0,12984.944
974.0,11199.481
973.0,10115.994
972.0,9314.2847
971.0,8679.5958
970.0,7753.4806
969.0,7394.3426
968.0,6804.4087
967.0,6074.3984
966.0,5977.9732
965.0,5703.6538
964.0,5630.536
963.0,5352.9439
962.0,5409.0435
961.0,5579.3582
960.0,5350.311
959.0,5363.224
958.0,5117.9204
957.0,5160.0685
956.0,5256.193
955.0,5016.6807
954.0,5456.3896
953.0,5316.7623
952.0,5159.5691
951.0,5162.6524
950.0,5142.8314
949.0,4893.7362
948.0,5115.6219
947.0,5019.3305
946.0,5203.0761
945.0,5375.92
944.0,5242.6578
943.0,5413.533
942.0,5146.9869
941.0,5199.5719
940.0,5354.1349
939.0,5315.5047
938.0,5321.728
937.0,5535.8325
936.0,5408.8206
935.0,5233.6549
934.0,5199.837
933.0,5276.4298
932.0,5621.1957
931.0,5569.3109
930.0,5388.9294
929.0,5391.3148
928.0,5678.8871
927.0,5380.6529
926.0,5285.8635
925.0,5244.9007
924.0,5146.9877
923.0,5251.2378
922.0,5503.8932
921.0,5427.2709
920.0,5224.6136
919.0,5370.8248
918.0,5430.019
917.0,5418.0197
916.0,5507.4968
915.0,5347.7093
914.0,5322.6055
