BE,counts/s
1300.0,7291.08
1299.0,7469.8506
1298.0,7201.3442
1297.0,7109.6357
1296.0,7161.4823
1295.0,7116.5578
1294.0,7265.1808
1293.0,7318.0532
1292.0,7294.2554
1291.0,7111.5881
1290.0,6931.7372
1289.0,7187.4789
1288.0,7232.7875
1287.0,7062.1243
1286.0,6771.2591
1285.0,6953.3383
1284.0,6740.9127
1283.0,6943.6835
1282.0,6561.8324
1281.0,6930.5694
1280.0,6924.2294
1279.0,6367.4774
1278.0,6433.8916
1277.0,6485.3522
1276.0,6482.3788
1275.0,6381.4971
1274.0,6458.2901
1273.0,6959.8482
1272.0,6669.3428
1271.0,6841.5736
1270.0,6743.9995
1269.0,6876.921
1268.0,6891.3679
1267.0,6476.9009
1266.0,6620.7933
1265.0,6510.9169
1264.0,6354.3056
1263.0,6342.2612
1262.0,6288.7726
1261.0,6303.6353
1260.0,6299.6912
1259.0,6309.4908
1258.0,6276.4517
1257.0,6169.4057
1256.0,6469.8145
1255.0,6199.8347
1254.0,6153.868
1253.0,6182.8384
1252.0,5990.4996
1251.0,6256.0689
1250.0,6302.5045
1249.0,6223.4502
1248.0,5861.7711
1247.0,6284.3554
1246.0,6361.861
1245.0,5923.2202
1244.0,6299.4652
1243.0,6430.6479
1242.0,6478.2015
1241.0,6305.0129
1240.0,6080.0816
1239.0,5975.7646
1238.0,6170.834
1237.0,6170.1794
1236.0,6256.6185
1235.0,6065.8759
1234.0,6196.6825
1233.0,5770.2518
1232.0,5817.5242
1231.0,6149.0096
1230.0,6450.0586
1229.0,6125.8761
1228.0,6102.1711
1227.0,6304.3314
1226.0,6275.6765
1225.0,6162.5316
1224.0,6130.0752
1223.0,6178.4543
1222.0,5789.0408
1221.0,5962.1864
1220.0,6194.7679
1219.0,6148.5685
1218.0,5885.2301
1217.0,5910.2172
1216.0,6001.0259
1215.0,6139.1087
1214.0,6085.0816
1213.0,5819.8476
1212.0,5893.3036
1211.0,5856.3787
1210.0,5976.5242
1209.0,6216.6427
1208.0,6011.4021
1207.0,5963.1564
1206.0,6299.2799
1205.0,6131.8357
1204.0,5777.1913
1203.0,5811.8347
1202.0,5785.7113
1201.0,6152.4437
1200.0,6140.4754
1199.0,6085.2885
1198.0,6031.5554
1197.0,5969.0868
1196.0,5918.7828
1195.0,6072.9748
1194.0,5911.2507
1193.0,6077.3208
1192.0,5884.7603
1191.0,5964.5902
1190.0,5971.3961
1189.0,6044.8664
1188.0,5912.9832
1187.0,5861.2295
1186.0,5825.4253
1185.0,5814.5435
1184.0,5708.6846
1183.0,5927.9622
1182.0,5957.6674
1181.0,6029.8103
1180.0,5848.1115
1179.0,5860.213
1178.0,5823.4205
1177.0,5670.7633
1176.0,5643.5979
1175.0,6019.577
1174.0,6012.007
1173.0,5651.5838
1172.0,5855.3453
1171.0,5762.079
1170.0,6033.3773
1169.0,6056.1622
1168.0,6021.3078
1167.0,5807.0238
1166.0,5740.8777
1165.0,5744.5625
1164.0,5936.4696
1163.0,5921.4632
1162.0,5985.0393
1161.0,5801.0392
1160.0,5682.0228
1159.0,5941.4241
1158.0,5954.3525
1157.0,5911.4113
1156.0,5654.7754
1155.0,5853.7495
1154.0,5975.4958
1153.0,5840.0141
1152.0,5970.8608
1151.0,5951.2339
1150.0,5826.3671
1149.0,5692.6163
1148.0,5903.0873
1147.0,5830.1535
1146.0,6174.891
1145.0,5923.1023
1144.0,5705.4101
1143.0,5750.2043
1142.0,5839.2511
1141.0,6169.5296
1140.0,5992.0467
1139.0,5690.8369
1138.0,6090.8348
1137.0,5946.2755
1136.0,5823.8137
1135.0,6008.5159
1134.0,5921.9643
1133.0,5881.4846
1132.0,5953.0287
1131.0,6250.3137
1130.0,6233.1447
1129.0,6470.2949
1128.0,6179.7609
1127.0,6359.7356
1126.0,6168.2237
1125.0,6034.2348
1124.0,5982.4698
1123.0,6051.836
1122.0,6340.8152
1121.0,6240.0863
1120.0,6065.8087
1119.0,6041.8557
1118.0,6076.7562
1117.0,6376.3413
1116.0,5891.808
1115.0,6175.6879
1114.0,6263.1032
1113.0,5865.8769
1112.0,6024.7395
1111.0,5976.5913
1110.0,6041.9539
1109.0,6070.8687
1108.0,6060.5911
1107.0,6038.3349
1106.0,6163.761
1105.0,6241.7824
1104.0,6388.335
1103.0,6283.4072
1102.0,6099.0882
1101.0,6201.7211
1100.0,5904.5415
1099.0,6429.056
1098.0,6334.243
1097.0,6033.7381
1096.0,6088.3902
1095.0,6086.4256
1094.0,6263.3609
1093.0,5781.6091
1092.0,6179.314
1091.0,5870.4041
1090.0,6009.2443
1089.0,5849.9912
1088.0,5976.5105
1087.0,5859.8333
1086.0,6013.9924
1085.0,6204.2885
1084.0,6503.9824
1083.0,6272.6848
1082.0,6198.1851
1081.0,6351.5189
1080.0,6282.9705
1079.0,6227.7229
1078.0,6315.9643
1077.0,6413.1331
1076.0,6305.6922
1075.0,6569.6834
1074.0,6733.0629
1073.0,6931.8383
1072.0,6715.2165
1071.0,6411.1398
1070.0,6543.6427
1069.0,6309.4346
1068.0,6199.1123
1067.0,6289.1068
1066.0,6379.5278
1065.0,6382.5996
1064.0,6535.7437
1063.0,6553.3816
1062.0,6383.9802
1061.0,6477.1944
1060.0,6436.1203
1059.0,6432.3542
1058.0,6663.6254
1057.0,6809.5071
1056.0,6667.8333
1055.0,6542.2096
1054.0,6648.226
1053.0,6504.7183
1052.0,6403.2181
1051.0,6418.2038
1050.0,6443.4003
1049.0,6530.3758
1048.0,6792.862
1047.0,6987.1617
1046.0,6679.5651
1045.0,6893.2827
1044.0,6874.5963
1043.0,6822.5086
1042.0,6754.8621
1041.0,6921.6426
1040.0,6961.7719
1039.0,6782.2186
1038.0,6951.2348
1037.0,6954.3126
1036.0,7002.2291
1035.0,7210.0832
1034.0,6953.7267
1033.0,7200.0043
1032.0,7170.0665
1031.0,7358.7168
1030.0,7412.9426
1029.0,7415.9661
1028.0,7317.1719
1027.0,7328.7706
1026.0,7382.2216
1025.0,7366.4701
1024.0,7507.6279
1023.0,7595.9691
1022.0,7512.4719
1021.0,7614.6557
1020.0,7670.059
1019.0,7733.8841
1018.0,7940.2907
1017.0,7878.657
1016.0,8209.6228
1015.0,8364.9505
1014.0,8403.1125
1013.0,8426.7786
1012.0,8283.2526
1011.0,8206.0097
1010.0,8225.4528
1009.0,7896.0558
1008.0,8111.1926
1007.0,8464.8862
1006.0,8598.4947
1005.0,8459.8323
1004.0,8463.8579
1003.0,8964.24
1002.0,9279.4861
1001.0,9364.3072
1000.0,9331.7926
999.0,10043.177
998.0,9625.6186
997.0,9547.5181
996.0,8994.2054
995.0,8578.2305
994.0,8755.6406
993.0,8364.5798
992.0,8287.1097
991.0,8147.5605
990.0,8153.0287
989.0,8271.0867
988.0,8052.1423
987.0,8102.5232
986.0,8475.393
985.0,8957.4738
984.0,9234.8938
983.0,9508.8008
982.0,10207.173
981.0,10668.914
980.0,11618.761
979.0,12709.741
978.0,12622.19
977.0,12372.209
976.0,11410.004
975.0,9986.5883
974.0,8813.165
973.0,7581.9489
972.0,7158.8892
971.0,6638.1934
970.0,6298.1048
969.0,6214.7388
968.0,5786.827
967.0,5456.8798
966.0,5071.5163
965.0,4735.2419
964.0,5031.2076
963.0,4596.5429
962.0,4767.9853
961.0,4961.848
960.0,4758.3269
959.0,4592.7047
958.0,4414.4227
957.0,4337.7038
956.0,4452.1073
955.0,4505.8634
954.0,4713.3498
953.0,4599.407
952.0,4644.6352
951.0,4591.8293
950.0,4453.3884
949.0,4380.445
948.0,4597.8877
947.0,4724.6175
946.0,4846.0463
945.0,4742.2296
944.0,4768.1458
943.0,4939.5039
942.0,4655.5966
941.0,4844.758
940.0,4623.8604
939.0,4932.4698
938.0,4982.8873
937.0,4610.7958
936.0,4656.7045
935.0,4564.2324
934.0,4931.5405
933.0,4637.257
932.0,4566.4746
931.0,4620.2579
930.0,4506.8688
929.0,4762.8752
928.0,4842.985
927.0,4684.6885
926.0,4845.619
925.0,5008.3244
924.0,4879.7383
923.0,4924.1834
922.0,4773.3932
921.0,4742.4212
920.0,4941.7491
919.0,4640.7498
918.0,5013.1813
917.0,4857.0146
916.0,4960.6659
915.0,4864.7391
914.0,5325.6204
913.0,5207.8436
912.0,5013.1252
911.0,4980.513
910.0,4956.6518
909.0,4998.0086
908.0,4963.715
907.0,5087.818
906.0,5128.626
905.0,5283.2562
904.0,5193.8526
903.0,5194.9177
902.0,4958.7022
901.0,4647.0311
900.0,5007.4751
899.0,5218.5272
898.0,5164.6509
897.0,5208.4567
896.0,5120.5521
895.0,4930.399
894.0,4816.9851
893.0,5164.5775
892.0,4929.9756
891.0,4956.343
890.0,4869.5791
889.0,5301.6328
888.0,5515.3306
887.0,5189.4044
886.0,5142.0362
885.0,5016.291
884.0,5479.3974
883.0,5171.3089
882.0,5086.2517
881.0,5230.5259
880.0,5102.8099
879.0,5029.1655
878.0,5395.4883
877.0,5276.6367
876.0,5335.52
875.0,5159.1428
874.0,5296.7616
873.0,5159.9806
872.0,5269.0355
871.0,5101.6
870.0,5379.0011
869.0,5165.9285
868.0,4902.6164
867.0,5309.0407
866.0,5254.8828
865.0,5295.153
864.0,5376.9864
863.0,5400.455
862.0,5381.6338
861.0,5230.4244
860.0,5351.5935
859.0,5613.1921
858.0,5505.739
857.0,5385.322
856.0,5366.5771
855.0,5432.2102
854.0,5354.116
853.0,5502.9181
852.0,5525.9789
851.0,5788.1812
850.0,5510.9502
849.0,5754.5779
848.0,5571.7785
847.0,5705.198
846.0,5558.6508
845.0,5539.5614
844.0,5982.2585
843.0,5601.8175
842.0,5341.5161
841.0,5360.4464
840.0,5464.6588
839.0,5602.7905
838.0,5563.3608
837.0,5714.6632
836.0,5857.8252
835.0,5560.7027
834.0,5468.8378
833.0,5589.4449
832.0,5606.4267
831.0,5584.4856
830.0,5577.7969
829.0,5629.7195
828.0,5654.4547
827.0,5479.6825
826.0,5940.4209
825.0,6012.0637
824.0,5674.0412
823.0,5607.0992
822.0,5732.8859
821.0,5679.9673
820.0,5781.871
819.0,5745.3193
818.0,5908.3635
817.0,5803.6905
816.0,5863.212
815.0,5859.5683
814.0,5949.3889
813.0,5871.6564
812.0,5736.2529
811.0,5783.1119
810.0,5832.0838
809.0,5553.0291
808.0,5822.5803
807.0,5774.7768
806.0,5750.8899
805.0,5633.6179
804.0,5995.5134
803.0,5976.3828
802.0,5763.3875
801.0,5772.6057
800.0,5936.2219
799.0,5945.6759
798.0,5864.1693
797.0,6084.6317
796.0,6082.3412
795.0,5887.229
794.0,5782.7501
793.0,5968.9869
792.0,5774.3964
791.0,6101.2971
790.0,6306.4743
789.0,6339.2221
788.0,6150.8077
787.0,6211.6979
786.0,5993.1821
785.0,5800.2284
784.0,6010.4221
783.0,6053.1356
782.0,6063.2716
781.0,5939.746
780.0,5993.0047
779.0,6109.5437
778.0,6411.2896
777.0,6190.8593
776.0,6237.889
775.0,6016.0718
774.0,6025.6644
773.0,5970.7569
772.0,6050.8054
771.0,5964.2279
770.0,6004.7405
769.0,5806.8126
768.0,5953.9126
767.0,6200.5922
766.0,6201.2462
765.0,6209.3434
764.0,6206.8675
763.0,6524.0792
762.0,6372.1497
761.0,6285.1149
760.0,6255.933
759.0,6546.4805
758.0,6372.1964
757.0,6338.3363
756.0,6407.5196
755.0,6178.8374
754.0,6367.6787
753.0,6336.2246
752.0,6493.1906
751.0,6457.6711
750.0,6300.4604
749.0,6405.4696
748.0,6626.0644
747.0,6436.0382
746.0,6213.0113
745.0,6252.7011
744.0,6419.3688
743.0,6383.7524
742.0,6452.3576
741.0,6808.3632
740.0,6523.1679
739.0,6564.3987
738.0,6332.3886
737.0,6574.9354
736.0,6777.3221
735.0,6627.2476
734.0,6494.9085
733.0,6654.7176
732.0,6307.1939
731.0,6295.7581
730.0,6620.4301
729.0,6462.3772
728.0,6600.856
727.0,6498.9595
726.0,6656.7276
725.0,6652.6178
724.0,6730.1293
723.0,6903.3961
722.0,6727.4673
721.0,6918.2221
720.0,6950.172
719.0,6774.1655
718.0,6484.5693
717.0,6523.7938
716.0,6758.7864
715.0,6846.3369
714.0,6453.6106
713.0,6900.2464
712.0,6928.5034
711.0,6860.1444
710.0,6825.9256
709.0,7036.2748
708.0,6745.5992
707.0,6807.4155
706.0,6361.5104
705.0,6823.804
704.0,7131.9344
703.0,6807.0425
