BE,counts/s
1300.0,16000.999
1299.0,15977.876
1298.0,16477.235
1297.0,16167.796
1296.0,16075.972
1295.0,16324.474
1294.0,16299.073
1293.0,16293.852
1292.0,16468.305
1291.0,16935.686
1290.0,16547.591
1289.0,16486.268
1288.0,16501.201
1287.0,16306.211
1286.0,16973.53
1285.0,16582.695
1284.0,16186.777
1283.0,16678.696
1282.0,16266.121
1281.0,16240.985
1280.0,16350.715
1279.0,16847.033
1278.0,16342.474
1277.0,16578.075
1276.0,16768.553
1275.0,16687.484
1274.0,16878.52
1273.0,16843.056
1272.0,16749.617
1271.0,16363.136
1270.0,16933.962
1269.0,17154.116
1268.0,16778.553
1267.0,16713.514
1266.0,17350.416
1265.0,17169.019
1264.0,16770.56
1263.0,16746.052
1262.0,16269.139
1261.0,16143.294
1260.0,17060.091
1259.0,16838.285
1258.0,16993.536
1257.0,17013.783
1256.0,16851.673
1255.0,17293.202
1254.0,17688.868
1253.0,17271.602
1252.0,17442.701
1251.0,17553.725
1250.0,17996.823
1249.0,17897.584
1248.0,17838.189
1247.0,17835.103
1246.0,17585.174
1245.0,17961.502
1244.0,17853.372
1243.0,17940.48
1242.0,17845.669
1241.0,18073.874
1240.0,18405.996
1239.0,17767.296
1238.0,18021.735
1237.0,18005.272
1236.0,17894.23
1235.0,17951.014
1234.0,18236.508
1233.0,17897.306
1232.0,18217.179
1231.0,19067.3
1230.0,19126.381
1229.0,19172.091
1228.0,19241.705
1227.0,19406.917
1226.0,18988.207
1225.0,19065.916
1224.0,18271.28
1223.0,18399.378
1222.0,18242.877
1221.0,17730.862
1220.0,17353.323
1219.0,16706.682
1218.0,17431.918
1217.0,17016.09
1216.0,16652.244
1215.0,16132.58
1214.0,15635.741
1213.0,15556.403
1212.0,15737.185
1211.0,15615.718
1210.0,15666.612
1209.0,15669.653
1208.0,15526.193
1207.0,15322.946
1206.0,15093.625
1205.0,15399.446
1204.0,15012.077
1203.0,15137.817
1202.0,15374.142
1201.0,15272.579
1200.0,15274.426
1199.0,15562.025
1198.0,15625.866
1197.0,15468.495
1196.0,15707.129
1195.0,15976.448
1194.0,15528.894
1193.0,15594.638
1192.0,15602.133
1191.0,15726.924
1190.0,15324.335
1189.0,15640.613
1188.0,15495.666
1187.0,15493.063
1186.0,15521.977
1185.0,15604.082
1184.0,15715.549
1183.0,15239.707
1182.0,15295.727
1181.0,15258.868
1180.0,15812.1
1179.0,15722.975
1178.0,15686.225
1177.0,15797.511
1176.0,15200.991
1175.0,15218.639
1174.0,15629.361
1173.0,15759.211
1172.0,15559.959
1171.0,15691.49
1170.0,15705.379
1169.0,16072.244
1168.0,15523.223
1167.0,15248.927
1166.0,15734.934
1165.0,15562.977
1164.0,15088.053
1163.0,15161.937
1162.0,15751.862
1161.0,15851.521
1160.0,15838.151
1159.0,16457.704
1158.0,15707.703
1157.0,15469.209
1156.0,15425.006
1155.0,15755.848
1154.0,15548.609
1153.0,15356.119
1152.0,16411.433
1151.0,16216.291
1150.0,15674.666
1149.0,16132.658
1148.0,16070.617
1147.0,15827.437
1146.0,15952.23
1145.0,15696.51
1144.0,15932.697
1143.0,15918.351
1142.0,16134.076
1141.0,15552.547
1140.0,15409.279
1139.0,15623.889
1138.0,15565.873
1137.0,15184.358
1136.0,15402.137
1135.0,15904.854
1134.0,15952.54
1133.0,16221.288
1132.0,15911.123
1131.0,15678.219
1130.0,15922.446
1129.0,15929.047
1128.0,15919.844
1127.0,16096.167
1126.0,16365.003
1125.0,15904.538
1124.0,16046.82
1123.0,15882.799
1122.0,16255.206
1121.0,15663.46
1120.0,16009.065
1119.0,16387.552
1118.0,16010.453
1117.0,15830.993
1116.0,16112.188
1115.0,16231.384
1114.0,15882.455
1113.0,16390.244
1112.0,16436.761
1111.0,16333.797
1110.0,16931.677
1109.0,16196.753
1108.0,16026.005
1107.0,16119.158
1106.0,16020.943
1105.0,16054.331
1104.0,16047.643
1103.0,15847.179
1102.0,15910.588
1101.0,16279.055
1100.0,16655.8
1099.0,16081.99
1098.0,16217.504
1097.0,16449.051
1096.0,16370.832
1095.0,16344.005
1094.0,16269.047
1093.0,16680.53
1092.0,16476.053
1091.0,16428.386
1090.0,16441.887
1089.0,16511.046
1088.0,16057.507
1087.0,16331.032
1086.0,16344.583
1085.0,16206.096
1084.0,16612.119
1083.0,16651.814
1082.0,16715.037
1081.0,16573.416
1080.0,16449.538
1079.0,16536.126
1078.0,16558.644
1077.0,16352.992
1076.0,16479.899
1075.0,16629.827
1074.0,16955.764
1073.0,18205.367
1072.0,17843.297
1071.0,16762.919
1070.0,16079.008
1069.0,16603.085
1068.0,16626.403
1067.0,16554.809
1066.0,17087.226
1065.0,16733.609
1064.0,16987.117
1063.0,17152.478
1062.0,16978.801
1061.0,16375.489
1060.0,16354.325
1059.0,16673.459
1058.0,16631.01
1057.0,16268.334
1056.0,16320.593
1055.0,16815.224
1054.0,16595.206
1053.0,17305.114
1052.0,16909.086
1051.0,16926.947
1050.0,16803.929
1049.0,16581.12
1048.0,16664.013
1047.0,16623.653
1046.0,16998.433
1045.0,17222.291
1044.0,17109.134
1043.0,16703.542
1042.0,16629.956
1041.0,17024.322
1040.0,17305.272
1039.0,17274.952
1038.0,17215.288
1037.0,16922.502
1036.0,16846.135
1035.0,17462.992
1034.0,17302.868
1033.0,17471.068
1032.0,17201.14
1031.0,17164.151
1030.0,17176.12
1029.0,17373.613
1028.0,17332.295
1027.0,17213.388
1026.0,17263.017
1025.0,17534.106
1024.0,17607.232
1023.0,17353.128
1022.0,17645.324
1021.0,17287.882
1020.0,17463.365
1019.0,17708.605
1018.0,17719.564
1017.0,17856.126
1016.0,17878.974
1015.0,17139.103
1014.0,16526.665
1013.0,16849.282
1012.0,16948.732
1011.0,17248.747
1010.0,16307.779
1009.0,16350.649
1008.0,16835.756
1007.0,16847.048
1006.0,17524.412
1005.0,18010.413
1004.0,18297.493
1003.0,18493.165
1002.0,19222.212
1001.0,18961.226
1000.0,17944.893
999.0,17598.781
998.0,16301.094
997.0,16658.604
996.0,16511.989
995.0,15959.155
994.0,15314.365
993.0,14770.773
992.0,14964.267
991.0,14783.402
990.0,14296.661
989.0,14447.936
988.0,14248.597
