BE,counts/s
1300.0,14930.57
1299.0,14886.256
1298.0,15090.098
1297.0,14982.413
1296.0,14931.93
1295.0,14556.099
1294.0,15216.943
1293.0,15053.568
1292.0,15029.548
1291.0,14680.476
1290.0,14641.457
1289.0,14552.273
1288.0,15025.363
1287.0,14919.877
1286.0,14593.881
1285.0,14899.181
1284.0,14780.74
1283.0,14965.632
1282.0,14722.332
1281.0,14643.314
1280.0,14151.666
1279.0,14417.728
1278.0,14435.022
1277.0,14705.191
1276.0,14923.226
1275.0,14880.742
1274.0,14641.644
1273.0,14590.521
1272.0,15102.899
1271.0,14916.102
1270.0,14712.805
1269.0,14628.566
1268.0,14466.791
1267.0,14627.581
1266.0,14492.723
1265.0,14617.651
1264.0,14708.461
1263.0,15080.696
1262.0,14616.605
1261.0,14952.5
1260.0,15061.317
1259.0,14958.202
1258.0,14576.026
1257.0,14785.084
1256.0,14963.19
1255.0,14728.827
1254.0,14622.309
1253.0,14692.363
1252.0,15047.343
1251.0,14806.15
1250.0,14851.968
1249.0,14576.889
1248.0,14596.028
1247.0,14544.722
1246.0,14811.38
1245.0,15212.49
1244.0,14574.188
1243.0,14510.34
1242.0,14361.128
1241.0,14335.939
1240.0,14689.356
1239.0,14460.132
1238.0,14537.408
1237.0,14869.993
1236.0,14850.371
1235.0,14742.376
1234.0,14490.684
1233.0,14563.685
1232.0,14811.616
1231.0,14985.71
1230.0,14715.223
1229.0,14413.017
1228.0,14455.169
1227.0,14719.684
1226.0,14791.957
1225.0,14635.776
1224.0,14251.183
1223.0,14506.533
1222.0,14371.691
1221.0,14635.747
1220.0,14933.533
1219.0,14395.383
1218.0,14734.621
1217.0,14584.64
1216.0,14691.406
1215.0,14734.692
1214.0,14473.052
1213.0,14128.077
1212.0,14449.782
1211.0,15083.198
1210.0,14558.872
1209.0,14457.738
1208.0,14591.732
1207.0,14866.403
1206.0,15206.888
1205.0,14882.77
1204.0,14749.454
1203.0,14390.04
1202.0,14986.436
1201.0,14999.127
1200.0,14396.885
1199.0,14759.682
1198.0,14849.18
1197.0,14832.02
1196.0,15027.441
1195.0,14911.413
1194.0,14723.159
1193.0,14939.187
1192.0,14962.917
1191.0,14742.747
1190.0,14525.246
1189.0,14821.647
1188.0,14845.208
1187.0,14841.3
1186.0,14851.574
1185.0,14412.496
1184.0,14522.898
1183.0,14592.562
1182.0,14483.934
1181.0,14668.348
1180.0,14584.182
1179.0,14440.805
1178.0,14661.746
1177.0,14576.477
1176.0,14369.451
1175.0,15271.034
1174.0,15161.882
1173.0,14379.23
1172.0,14355.492
1171.0,14909.131
1170.0,14930.296
1169.0,14567.939
1168.0,14768.251
1167.0,14974.023
1166.0,14994.718
1165.0,15007.308
1164.0,14650.727
1163.0,14744.484
1162.0,14925.622
1161.0,15022.531
1160.0,14785.355
1159.0,14583.614
1158.0,14921.885
1157.0,15356.735
1156.0,14890.706
1155.0,14752.905
1154.0,14703.472
1153.0,14525.69
1152.0,14414.822
1151.0,14889.441
1150.0,14690.402
1149.0,14630.996
1148.0,14929.934
1147.0,15155.162
1146.0,15313.942
1145.0,14923.328
1144.0,14739.41
1143.0,14986.459
1142.0,15067.486
1141.0,15302.05
1140.0,15345.328
1139.0,14865.586
1138.0,14634.386
1137.0,14693.158
1136.0,14610.766
1135.0,15497.977
1134.0,15060.967
1133.0,15107.432
1132.0,15016.652
1131.0,14803.342
1130.0,15227.599
1129.0,15064.624
1128.0,14979.544
1127.0,14732.523
1126.0,14892.063
1125.0,14813.873
1124.0,15212.977
1123.0,14904.351
1122.0,14810.014
1121.0,14890.926
1120.0,15547.787
1119.0,15351.135
1118.0,15678.502
1117.0,15280.651
1116.0,15425.409
1115.0,15346.421
1114.0,15202.664
1113.0,15233.522
1112.0,15117.625
1111.0,15325.939
1110.0,15756.897
1109.0,15283.89
1108.0,15408.673
1107.0,15000.386
1106.0,15345.79
1105.0,15065.923
1104.0,15051.387
1103.0,15405.98
1102.0,15628.049
1101.0,15614.435
1100.0,15616.517
1099.0,15127.768
1098.0,15169.376
1097.0,15270.509
1096.0,15945.131
1095.0,15600.913
1094.0,15554.723
1093.0,15393.406
1092.0,15386.571
1091.0,15295.541
1090.0,15323.665
1089.0,15505.256
1088.0,15389.812
1087.0,15382.807
1086.0,15725.903
1085.0,15681.671
1084.0,15777.868
1083.0,15412.558
1082.0,15226.293
1081.0,15582.841
1080.0,15817.905
1079.0,15917.342
1078.0,15693.952
1077.0,15615.094
1076.0,15969.227
1075.0,15773.088
1074.0,15728.897
1073.0,15484.379
1072.0,15854.541
1071.0,16217.343
1070.0,16098.483
1069.0,15960.441
1068.0,16322.576
1067.0,15708.183
1066.0,15910.63
1065.0,16050.81
1064.0,16111.194
1063.0,16130.264
1062.0,15868.807
1061.0,16543.356
1060.0,16118.158
1059.0,16177.794
1058.0,16365.023
1057.0,16125.417
1056.0,16318.41
1055.0,16345.353
1054.0,16063.152
1053.0,16823.317
1052.0,16508.645
1051.0,16297.897
1050.0,16726.101
1049.0,16732.442
1048.0,17176.183
1047.0,16940.917
1046.0,16854.402
1045.0,17275.066
1044.0,16937.785
