BE,counts/s
1300.0,15692.279
1299.0,15106.127
1298.0,15106.826
1297.0,15088.726
1296.0,15372.07
1295.0,14777.144
1294.0,15459.889
1293.0,15496.22
1292.0,15508.78
1291.0,15795.089
1290.0,15443.121
1289.0,15557.701
1288.0,15459.83
1287.0,15450.706
1286.0,15609.617
1285.0,15250.84
1284.0,15827.338
1283.0,15778.329
1282.0,15282.451
1281.0,15596.903
1280.0,15615.768
1279.0,15612.271
1278.0,15183.349
1277.0,14889.955
1276.0,15131.369
1275.0,15411.923
1274.0,15367.706
1273.0,15479.524
1272.0,15500.262
1271.0,15530.371
1270.0,15406.369
1269.0,15555.055
1268.0,15222.896
1267.0,15258.961
1266.0,15324.574
1265.0,15106.673
1264.0,15260.143
1263.0,15381.878
1262.0,15486.332
1261.0,15820.182
1260.0,15468.438
1259.0,15289.828
1258.0,15025.028
1257.0,15625.311
1256.0,15001.271
1255.0,15170.483
1254.0,15638.194
1253.0,15035.138
1252.0,15327.419
1251.0,15489.38
1250.0,15248.309
1249.0,15077.142
1248.0,15430.573
1247.0,15937.391
1246.0,15089.436
1245.0,14967.153
1244.0,14978.189
1243.0,15263.19
1242.0,15526.509
1241.0,15312.087
1240.0,15233.641
1239.0,15820.069
1238.0,15695.222
1237.0,15439.864
1236.0,15530.56
1235.0,15198.762
1234.0,15092.389
1233.0,15353.31
1232.0,15492.669
1231.0,15303.305
1230.0,15536.745
1229.0,15313.593
1228.0,15608.462
1227.0,15077.668
1226.0,15256.264
1225.0,15438.595
1224.0,15630.401
1223.0,15241.448
1222.0,15168.186
1221.0,15449.275
1220.0,15752.446
1219.0,15694.032
1218.0,14959.321
1217.0,15078.679
1216.0,15292.403
1215.0,15137.739
1214.0,15242.711
1213.0,15593.907
1212.0,15610.402
1211.0,15416.633
1210.0,14767.513
1209.0,14935.473
1208.0,15623.638
1207.0,14779.304
1206.0,15379.288
1205.0,15326.029
1204.0,15010.22
1203.0,15205.897
1202.0,15632.905
1201.0,15999.275
1200.0,15740.592
1199.0,15255.954
1198.0,15227.614
1197.0,15628.185
1196.0,15422.533
1195.0,15613.533
1194.0,15420.92
1193.0,15423.481
1192.0,15251.561
1191.0,15200.003
1190.0,15352.695
1189.0,15112.722
1188.0,15263.005
1187.0,15489.971
1186.0,15302.23
1185.0,15196.154
1184.0,14909.982
1183.0,15026.994
1182.0,15652.732
1181.0,15859.385
1180.0,15511.335
1179.0,15290.931
1178.0,15514.267
1177.0,15447.966
1176.0,15344.453
1175.0,15415.294
1174.0,15555.163
1173.0,15295.616
1172.0,15667.508
1171.0,15250.106
1170.0,15086.971
1169.0,15479.295
1168.0,15465.947
1167.0,15465.342
1166.0,15530.88
1165.0,15551.774
1164.0,15482.14
1163.0,15235.303
1162.0,15723.491
1161.0,15190.637
1160.0,15303.263
1159.0,15578.492
1158.0,15659.33
1157.0,15145.157
1156.0,15307.999
1155.0,15684.655
1154.0,15655.163
1153.0,15386.732
1152.0,14969.839
1151.0,15371.385
1150.0,15055.485
1149.0,15371.69
1148.0,15669.229
1147.0,15633.543
1146.0,15266.832
1145.0,14926.557
1144.0,15614.072
1143.0,15499.162
1142.0,15749.887
1141.0,15399.709
1140.0,15409.512
1139.0,15203.162
1138.0,15428.45
1137.0,15403.198
1136.0,15622.82
1135.0,15553.952
1134.0,15465.571
1133.0,16017.796
1132.0,15738.529
1131.0,15428.36
1130.0,15162.055
1129.0,15618.933
1128.0,15664.486
1127.0,15483.591
1126.0,15538.711
1125.0,16164.198
1124.0,15661.145
1123.0,15691.852
1122.0,15985.092
1121.0,15058.264
1120.0,15337.967
1119.0,15311.874
1118.0,15934.503
1117.0,15647.772
1116.0,15882.398
1115.0,16071.003
1114.0,15739.941
1113.0,15442.891
1112.0,15782.307
1111.0,16165.094
1110.0,15841.22
1109.0,15707.366
1108.0,15990.833
1107.0,16026.221
1106.0,15897.409
1105.0,16159.1
1104.0,15874.897
1103.0,15532.672
1102.0,16227.871
1101.0,15855.399
1100.0,15946.591
1099.0,16008.409
1098.0,16226.829
1097.0,16340.564
1096.0,16056.174
1095.0,16236.683
1094.0,15767.191
1093.0,15756.783
1092.0,16183.358
1091.0,15997.891
1090.0,15969.599
1089.0,16013.538
1088.0,15784.864
1087.0,16500.878
1086.0,16450.259
1085.0,16347.853
1084.0,16097.053
1083.0,16486.905
1082.0,16252.756
1081.0,16133.165
1080.0,16262.225
1079.0,15978.8
1078.0,16466.231
1077.0,16219.549
1076.0,16178.46
1075.0,16388.456
1074.0,16282.642
1073.0,16398.452
1072.0,16688.345
1071.0,16437.649
1070.0,17135.299
1069.0,16693.627
1068.0,16904.542
1067.0,16865.993
1066.0,16941.391
1065.0,16886.069
1064.0,16408.002
1063.0,16561.305
1062.0,16570.724
1061.0,16156.5
1060.0,16287.054
1059.0,16993.548
1058.0,16749.424
1057.0,16987.759
1056.0,17241.986
1055.0,16990.516
1054.0,17059.955
1053.0,17321.334
1052.0,17185.89
1051.0,17163.426
1050.0,17450.776
1049.0,17626.654
1048.0,17298.596
1047.0,17614.182
1046.0,17280.001
1045.0,17392.285
1044.0,17271.402
1043.0,17365.987
1042.0,17806.173
1041.0,17840.529
1040.0,17621.362
1039.0,17623.364
1038.0,17562.869
1037.0,17362.603
1036.0,17758.332
1035.0,17511.353
1034.0,17672.901
1033.0,18243.666
1032.0,17807.378
1031.0,17966.173
1030.0,18030.578
1029.0,18088.55
1028.0,17845.479
1027.0,18866.625
1026.0,18908.841
1025.0,18929.779
1024.0,18748.172
1023.0,18431.368
1022.0,18682.404
1021.0,18995.726
1020.0,19355.626
1019.0,20124.78
1018.0,19447.262
1017.0,19003.908
1016.0,19078.209
1015.0,18888.653
1014.0,18440.304
1013.0,18715.003
1012.0,18838.562
1011.0,19048.335
1010.0,18741.03
1009.0,19350.156
1008.0,19994.683
1007.0,21325.886
1006.0,20959.627
1005.0,21522.092
1004.0,21968.959
1003.0,22693.789
1002.0,22236.61
1001.0,21268.074
1000.0,20287.055
999.0,20056.483
998.0,19357.305
997.0,18694.006
996.0,18462.788
995.0,17627.218
994.0,16856.448
993.0,16707.711
992.0,17049.451
991.0,17802.061
990.0,17917.944
989.0,18581.824
988.0,19021.217
987.0,20360.623
986.0,22552.759
985.0,24770.262
984.0,26637.336
983.0,28562.125
982.0,30573.125
981.0,29935.9
980.0,26279.046
979.0,22738.854
978.0,20498.735
977.0,18558.999
976.0,17180.594
975.0,15695.232
974.0,14623.85
973.0,13629.4
972.0,12383.249
971.0,11450.651
970.0,10654.224
969.0,9928.8404
968.0,9313.4371
967.0,9303.8468
966.0,9503.6496
965.0,9348.8378
964.0,9162.3387
963.0,9204.3102
962.0,9111.558
961.0,9063.2269
960.0,9202.3601
959.0,9164.676
958.0,8939.7907
957.0,9211.7231
956.0,9309.9083
955.0,9140.5439
954.0,9356.3932
953.0,9428.3817
952.0,9037.0624
951.0,8905.619
950.0,9184.1843
949.0,8905.3544
948.0,8776.017
947.0,9146.1401
946.0,9357.4942
945.0,9325.8582
944.0,9307.8573
943.0,9272.0389
942.0,9478.018
941.0,9465.692
940.0,9322.2676
939.0,9470.6886
938.0,9285.2576
937.0,9233.706
936.0,9496.8311
935.0,9444.7495
934.0,9537.9454
933.0,9512.5823
932.0,9349.4969
931.0,9115.0741
930.0,9620.3874
929.0,9745.8386
928.0,9809.8279
927.0,10081.609
926.0,9747.5109
925.0,9637.3351
924.0,9662.1901
923.0,9431.5584
922.0,9597.5279
921.0,9589.5073
920.0,9829.2787
919.0,9869.6812
918.0,9673.902
917.0,9901.8659
916.0,9893.0557
915.0,10080.508
914.0,10011.803
913.0,9634.8943
912.0,9778.3405
911.0,10027.168
910.0,10151.266
909.0,9741.7784
908.0,9763.1803
907.0,9709.7681
906.0,10020.84
905.0,9884.553
904.0,9998.4429
903.0,10067.833
902.0,10241.111
901.0,10206.723
900.0,10258.098
899.0,9878.8141
898.0,10319.584
897.0,10151.162
896.0,9855.6672
895.0,10073.5
894.0,10236.662
893.0,10017.981
892.0,10530.825
891.0,10468.982
890.0,10849.965
889.0,10903.987
888.0,10077.088
887.0,10182.928
886.0,10103.319
885.0,10587.737
884.0,10689.635
883.0,10545.319
882.0,10653.798
881.0,10687.623
880.0,10824.277
879.0,10616.5
878.0,10595.192
877.0,10389.054
876.0,10839.056
875.0,10892.457
874.0,10653.25
873.0,10950.868
872.0,10975.289
871.0,10519.02
870.0,10351.237
869.0,10685.698
868.0,10639.318
867.0,10781.616
866.0,10923.653
865.0,11088.643
864.0,11117.753
863.0,10793.066
862.0,10683.516
861.0,10898.199
860.0,10983.213
859.0,11251.378
858.0,11110.598
857.0,11176.09
856.0,11296.633
855.0,11187.868
854.0,10768.955
853.0,11200.314
852.0,11334.884
851.0,11241.604
850.0,11094.528
849.0,11160.869
848.0,11316.341
847.0,11407.249
846.0,11542.85
845.0,11562.253
844.0,11940.778
843.0,11783.918
842.0,11792.009
841.0,11505.883
840.0,11411.739
839.0,11555.143
838.0,11509.931
837.0,11320.49
836.0,11727.904
835.0,11802.995
834.0,11708.291
833.0,11754.19
832.0,11922.326
831.0,11919.967
830.0,11680.271
829.0,12179.68
828.0,11880.487
827.0,12233.618
826.0,11927.701
825.0,12089.91
824.0,12349.189
823.0,11551.428
822.0,11944.711
821.0,12037.983
820.0,11967.989
819.0,11747.894
818.0,11949.249
817.0,11798.757
816.0,12304.659
815.0,11969.618
814.0,12311.678
813.0,12205.245
812.0,12279.482
811.0,12061.299
810.0,12391.746
809.0,12592.804
808.0,12746.258
807.0,12568.778
806.0,12716.692
805.0,12261.059
804.0,12474.785
803.0,12294.428
802.0,12321.524
801.0,12371.546
800.0,12524.329
799.0,12518.623
798.0,12036.363
797.0,12312.355
796.0,12475.63
795.0,12341.844
794.0,12399.317
793.0,12721.271
792.0,13234.871
791.0,12991.689
790.0,13047.646
789.0,12876.0
788.0,12969.679
787.0,12397.82
786.0,12943.3
785.0,12724.977
784.0,13015.586
783.0,13217.897
782.0,13006.982
781.0,13124.434
780.0,13249.45
779.0,13037.308
778.0,12848.905
777.0,13435.222
776.0,12991.797
775.0,13054.899
774.0,13390.998
773.0,13564.171
772.0,13740.653
771.0,13254.119
770.0,13229.703
769.0,13375.446
768.0,13670.754
767.0,13536.202
766.0,13408.813
765.0,13265.11
764.0,13746.58
763.0,13958.163
762.0,13776.027
761.0,13222.842
760.0,13681.571
759.0,13730.932
758.0,13700.642
757.0,13508.172
756.0,13528.934
755.0,13523.84
754.0,13887.71
753.0,13748.416
752.0,13813.578
751.0,13308.986
750.0,13495.914
749.0,13895.803
748.0,13399.76
747.0,13515.839
746.0,13943.062
745.0,13605.593
744.0,13902.943
743.0,13967.677
742.0,13732.284
741.0,14003.968
740.0,14140.729
739.0,14343.609
738.0,13955.335
737.0,14147.539
736.0,13943.935
735.0,13703.66
734.0,13409.759
733.0,14024.448
732.0,14093.858
731.0,13746.265
730.0,14066.551
729.0,14444.318
728.0,14327.127
727.0,14428.403
726.0,14639.476
725.0,14350.46
724.0,14164.75
723.0,14298.623
722.0,14712.565
721.0,14355.558
720.0,14075.897
719.0,14515.899
718.0,14381.236
717.0,14388.416
716.0,14358.765
715.0,14440.677
714.0,14227.226
713.0,14849.916
712.0,15124.076
711.0,14794.956
710.0,14912.266
709.0,14677.285
708.0,15066.792
707.0,14914.218
706.0,15003.43
705.0,14955.144
704.0,15070.002
703.0,15537.709
702.0,14945.551
701.0,15010.964
700.0,14866.687
699.0,14953.538
698.0,14979.211
697.0,15110.87
696.0,14995.757
695.0,14935.385
694.0,15006.691
693.0,15059.179
692.0,15510.669
691.0,15880.082
690.0,15300.259
689.0,14983.591
688.0,15444.195
687.0,15856.711
686.0,15521.301
685.0,15318.303
684.0,15432.148
683.0,15739.823
682.0,15633.213
681.0,15170.707
680.0,15306.359
679.0,15355.76
678.0,15531.761
677.0,15405.617
676.0,16010.177
675.0,15846.786
674.0,15935.964
673.0,16426.111
672.0,15986.066
671.0,16031.353
670.0,15265.487
669.0,15455.186
668.0,15585.244
667.0,16057.028
666.0,16211.106
665.0,16359.774
664.0,16241.427
663.0,16432.821
662.0,16394.242
661.0,16235.859
660.0,16342.54
659.0,16026.919
658.0,16482.048
657.0,16703.352
656.0,16544.107
655.0,16783.695
654.0,16388.792
653.0,16279.484
652.0,16151.164
651.0,16323.479
650.0,16624.767
649.0,16428.348
648.0,16966.194
647.0,16639.633
646.0,17095.829
645.0,16825.985
644.0,16908.182
643.0,16876.079
642.0,17266.134
641.0,16875.206
640.0,16941.715
639.0,16705.574
638.0,17338.827
637.0,17103.96
636.0,16636.044
635.0,17049.363
634.0,17008.745
633.0,16879.436
632.0,17006.414
631.0,16815.259
630.0,17095.208
629.0,17225.633
628.0,17491.632
627.0,17571.982
626.0,17217.393
625.0,17199.177
624.0,16991.875
623.0,16928.857
622.0,17513.42
621.0,17691.348
620.0,17534.031
619.0,17792.841
618.0,17918.391
617.0,17956.683
616.0,17783.118
615.0,18268.188
614.0,17710.126
613.0,17555.937
612.0,18261.043
611.0,18035.256
610.0,17900.054
609.0,17482.945
608.0,18518.66
607.0,18424.866
606.0,17856.021
605.0,17865.092
604.0,17929.118
603.0,18595.36
602.0,18355.175
601.0,18679.488
600.0,18887.382
599.0,18591.099
598.0,18407.769
597.0,18169.962
596.0,17660.593
595.0,17644.812
594.0,18048.362
593.0,18394.414
592.0,18480.43
591.0,18774.233
590.0,19017.722
589.0,18610.968
588.0,19002.79
587.0,19269.456
586.0,18987.541
585.0,18890.156
584.0,19941.345
583.0,19262.249
582.0,19017.974
581.0,18905.466
580.0,18793.865
579.0,18809.26
578.0,18831.568
577.0,18828.524
576.0,19119.529
575.0,19293.468
574.0,19129.317
573.0,18849.332
572.0,18314.606
571.0,18093.993
570.0,18586.559
569.0,17797.503
568.0,17146.298
567.0,17718.896
566.0,18255.772
565.0,18780.928
564.0,19946.775
563.0,20741.154
562.0,21115.369
561.0,21820.836
560.0,22799.51
559.0,23185.249
558.0,23285.188
557.0,23355.094
