BE,counts/s
1300.0,12740.877
1299.0,12647.909
1298.0,12497.771
1297.0,12413.851
1296.0,12430.545
1295.0,12748.986
1294.0,12554.076
1293.0,12811.06
1292.0,12469.508
1291.0,12475.354
1290.0,12323.991
1289.0,12603.046
1288.0,12318.37
1287.0,12043.899
1286.0,12173.6
1285.0,12361.07
1284.0,12085.002
1283.0,12154.521
1282.0,12103.109
1281.0,12053.789
1280.0,12181.395
1279.0,12537.886
1278.0,12482.367
1277.0,12422.756
1276.0,12076.884
1275.0,12054.999
1274.0,12345.713
1273.0,12304.013
1272.0,12206.593
1271.0,12437.919
1270.0,12048.956
1269.0,11440.259
1268.0,12147.697
1267.0,12218.352
1266.0,11828.328
1265.0,11719.958
1264.0,12014.113
1263.0,12347.69
1262.0,12079.134
1261.0,11972.569
1260.0,11917.799
1259.0,11879.739
1258.0,11887.57
1257.0,11705.323
1256.0,11876.581
1255.0,11751.546
1254.0,11944.948
1253.0,11769.845
1252.0,12042.15
1251.0,12100.026
1250.0,11672.423
1249.0,11553.076
1248.0,11865.185
1247.0,11933.11
1246.0,11935.762
1245.0,11968.081
1244.0,11905.896
1243.0,11779.854
1242.0,12014.305
1241.0,12093.126
1240.0,12197.833
1239.0,11816.269
1238.0,11903.48
1237.0,12035.364
1236.0,12104.476
1235.0,12027.373
1234.0,11950.379
1233.0,11856.252
1232.0,11819.597
1231.0,11721.04
1230.0,11679.893
1229.0,11557.561
1228.0,11849.242
1227.0,12052.74
1226.0,11617.808
1225.0,11649.603
1224.0,11731.053
1223.0,11670.762
1222.0,11984.345
1221.0,12244.065
1220.0,12100.872
1219.0,11739.327
1218.0,11762.479
1217.0,11644.448
1216.0,11628.476
1215.0,11611.304
1214.0,11744.64
1213.0,11806.216
1212.0,12169.737
1211.0,12182.961
1210.0,12081.331
1209.0,11537.084
1208.0,11701.153
1207.0,11663.496
1206.0,11761.625
1205.0,12094.578
1204.0,11600.395
1203.0,12126.47
1202.0,11973.915
1201.0,12267.74
1200.0,11612.958
1199.0,11598.274
1198.0,11847.895
1197.0,12196.984
1196.0,11938.3
1195.0,11476.73
1194.0,11760.75
1193.0,12226.351
1192.0,11534.665
1191.0,11564.286
1190.0,12312.459
1189.0,12161.149
1188.0,12216.771
1187.0,12182.87
1186.0,12379.809
1185.0,11903.995
1184.0,12453.508
1183.0,12146.073
1182.0,12284.215
1181.0,12017.33
1180.0,11971.02
1179.0,11703.63
1178.0,12016.626
1177.0,12172.281
1176.0,11400.865
1175.0,11988.682
1174.0,12071.208
1173.0,11862.869
1172.0,11567.2
1171.0,11798.765
1170.0,12032.257
1169.0,12034.32
1168.0,11730.427
1167.0,11693.875
1166.0,11971.466
1165.0,12084.0
1164.0,11909.691
1163.0,12103.617
1162.0,12412.922
1161.0,12274.586
1160.0,11948.276
1159.0,12456.54
1158.0,12084.229
1157.0,12200.457
1156.0,12513.052
1155.0,12047.503
1154.0,11801.091
1153.0,12082.867
1152.0,11746.082
1151.0,11860.428
1150.0,11769.205
1149.0,11895.181
1148.0,12420.583
1147.0,12215.685
1146.0,11915.465
1145.0,12153.122
1144.0,12385.469
1143.0,11723.508
1142.0,12212.368
1141.0,12377.301
1140.0,12366.29
1139.0,12427.415
1138.0,12118.34
1137.0,12215.145
1136.0,12042.998
1135.0,12094.931
1134.0,12277.852
1133.0,12437.148
1132.0,12207.697
1131.0,12680.886
1130.0,12392.194
1129.0,12740.005
1128.0,12923.632
1127.0,12776.253
1126.0,12039.696
1125.0,12418.974
1124.0,12067.571
1123.0,12406.568
1122.0,12718.508
1121.0,12750.495
1120.0,12531.153
1119.0,12964.474
1118.0,12693.019
1117.0,12498.218
1116.0,12455.081
1115.0,12580.374
1114.0,12393.945
1113.0,12497.745
1112.0,12555.33
1111.0,12820.641
1110.0,12438.424
1109.0,12855.791
1108.0,12934.191
1107.0,12765.452
1106.0,12582.115
1105.0,12928.347
1104.0,12639.403
1103.0,12623.148
1102.0,12361.926
1101.0,12692.919
1100.0,12508.666
1099.0,12915.953
1098.0,12571.968
1097.0,12726.243
1096.0,13477.84
1095.0,13253.083
1094.0,12746.637
1093.0,12895.601
1092.0,12988.321
1091.0,13228.852
1090.0,13187.769
1089.0,13469.785
1088.0,13110.033
1087.0,13612.053
1086.0,13423.142
1085.0,13168.423
1084.0,12916.811
1083.0,12838.85
1082.0,13400.568
1081.0,13172.632
1080.0,12919.153
1079.0,13369.89
1078.0,13505.851
1077.0,13307.19
1076.0,13268.73
1075.0,13687.719
1074.0,13516.111
1073.0,13404.404
1072.0,13342.612
1071.0,13003.267
1070.0,13517.315
1069.0,13369.31
1068.0,13116.288
1067.0,13666.211
1066.0,13684.634
