BE,counts/s
114.0,244.74543
113.9,252.16169
113.8,242.91234
113.7,268.13224
113.6,243.44223
113.5,230.50764
113.4,215.73639
113.3,224.93755
113.2,206.14014
113.1,213.23928
113.0,211.64639
112.9,220.95582
112.8,214.88872
112.7,195.67364
112.6,233.92779
112.5,207.56241
112.4,204.68414
112.3,216.12209
112.2,217.27013
112.1,209.59213
112.0,209.50834
111.9,195.24412
111.8,189.98405
111.7,214.99783
111.6,199.88659
111.5,206.17949
111.4,194.42995
111.3,199.0478
111.2,182.60426
111.1,199.16726
111.0,190.92083
110.9,208.26622
110.8,191.93684
110.7,188.84112
110.6,196.00788
110.5,191.28841
110.4,190.15735
110.3,182.0837
110.2,179.17132
110.1,168.75724
110.0,185.50585
109.9,179.0667
109.8,176.79679
109.7,176.8341
109.6,178.37152
109.5,164.48991
109.4,158.05053
109.3,179.51469
109.2,175.89298
109.1,171.11243
109.0,162.19478
108.9,162.72115
108.8,163.51577
108.7,149.72409
108.6,168.54873
108.5,183.31012
108.4,174.85005
108.3,171.98959
108.2,164.4963
108.1,162.55105
108.0,158.53481
107.9,166.18029
107.8,174.30484
107.7,169.39177
107.6,160.0522
107.5,157.92753
107.4,158.67406
107.3,167.7104
107.2,177.5994
107.1,157.34086
107.0,142.04544
106.9,156.25476
106.8,164.04011
106.7,145.47779
106.6,135.82379
106.5,139.1438
106.4,139.94468
106.3,154.0663
106.2,166.21047
106.1,159.85195
106.0,134.84833
105.9,152.05793
105.8,162.52864
105.7,161.04562
105.6,154.90452
105.5,147.82971
105.4,173.78711
105.3,187.81698
105.2,179.29433
105.1,193.61635
105.0,190.77917
104.9,226.77359
104.8,243.86707
104.7,268.44076
104.6,275.11889
104.5,305.46893
104.4,320.64864
104.3,359.71049
104.2,395.42819
104.1,408.22964
104.0,422.88041
103.9,481.60709
103.8,540.75004
103.7,544.86897
103.6,586.1079
103.5,572.96482
103.4,621.77737
103.3,651.68509
103.2,648.22699
103.1,653.14907
103.0,672.26031
102.9,662.93545
102.8,660.46507
102.7,640.04481
102.6,633.13823
102.5,648.73856
102.4,678.49457
102.3,654.79934
102.2,628.04772
102.1,619.21003
102.0,612.45707
101.9,612.0688
101.8,564.97338
101.7,560.19375
101.6,522.44331
101.5,548.80223
101.4,563.588
101.3,535.89924
101.2,564.51204
101.1,535.667
101.0,558.12839
100.9,553.09687
100.8,556.59032
100.7,561.67291
100.6,609.98982
100.5,612.60991
100.4,707.94635
100.3,796.33163
100.2,898.5925
100.1,1005.5053
100.0,1108.672
99.9,1161.4552
99.8,1232.2605
99.7,1272.1402
99.6,1317.7917
99.5,1378.0497
99.4,1447.5217
99.3,1366.7587
99.2,1269.1524
99.1,1086.696
99.0,849.29214
98.9,576.98833
98.8,393.53909
98.7,244.3001
98.6,163.87222
98.5,104.85437
98.4,88.127837
98.3,70.600062
98.2,60.201328
98.1,65.138571
98.0,50.376257
97.9,44.81748
97.8,43.810242
97.7,45.529569
97.6,52.896
97.5,47.435974
97.4,48.489142
97.3,47.941542
97.2,38.135492
97.1,52.716654
97.0,54.058498
