BE,counts/s
114.0,109.49906
113.9,101.44151
113.8,103.06744
113.7,73.702114
113.6,95.272047
113.5,85.950866
113.4,89.443565
113.3,78.040342
113.2,89.386569
113.1,80.005683
113.0,82.658737
112.9,93.193241
112.8,89.366558
112.7,92.390229
112.6,89.689038
112.5,80.43069
112.4,90.86141
112.3,82.201603
112.2,87.2783
112.1,89.35139
112.0,86.058041
111.9,81.653254
111.8,89.226454
111.7,81.135373
111.6,82.181045
111.5,70.420717
111.4,82.817407
111.3,80.609895
111.2,87.417191
111.1,84.006456
111.0,75.877251
110.9,68.92239
110.8,77.072868
110.7,87.441611
110.6,79.253714
110.5,83.835135
110.4,72.376995
110.3,74.170989
110.2,82.30507
110.1,75.022644
110.0,80.11767
109.9,73.874877
109.8,73.346897
109.7,70.64166
109.6,62.42097
109.5,74.135666
109.4,74.779266
109.3,68.490316
109.2,79.919868
109.1,73.623196
109.0,67.021333
108.9,70.83155
108.8,72.925001
108.7,77.067784
108.6,73.938846
108.5,69.209255
108.4,69.971638
108.3,81.495837
108.2,83.919768
108.1,65.372853
108.0,79.93594
107.9,89.052623
107.8,75.607206
107.7,77.17766
107.6,79.494963
107.5,102.01818
107.4,93.488967
107.3,116.48475
107.2,142.81286
107.1,156.84755
107.0,154.17242
106.9,184.89992
106.8,232.45764
106.7,260.75336
106.6,320.63006
106.5,385.01947
106.4,427.55327
106.3,529.70365
106.2,611.49827
106.1,724.3169
106.0,829.27739
105.9,943.41206
105.8,1038.9512
105.7,1154.3628
105.6,1275.3773
105.5,1426.9382
105.4,1574.0487
105.3,1547.774
105.2,1712.8859
105.1,1681.619
105.0,1762.6729
104.9,1792.3537
104.8,1710.3326
104.7,1645.0338
104.6,1628.1656
104.5,1588.105
104.4,1491.1127
104.3,1392.633
104.2,1244.3616
104.1,1131.0103
104.0,983.75852
103.9,882.14307
103.8,742.67615
103.7,696.27608
103.6,582.47974
103.5,463.52823
103.4,441.54388
103.3,377.1615
103.2,323.15359
103.1,279.35781
103.0,247.85053
102.9,192.85777
102.8,174.98347
102.7,180.20361
102.6,165.44353
102.5,130.78871
102.4,115.30147
102.3,107.81606
102.2,100.41502
102.1,94.273533
102.0,98.416698
101.9,92.337485
101.8,82.616326
101.7,84.808921
101.6,76.881004
101.5,87.020254
101.4,72.794637
101.3,63.259093
101.2,72.669885
101.1,75.382964
101.0,69.1898
100.9,64.327916
100.8,68.833783
100.7,79.08615
100.6,67.259744
100.5,61.068354
100.4,73.350807
100.3,88.56727
100.2,93.276648
100.1,99.939476
100.0,110.26886
99.9,93.435097
99.8,95.836106
99.7,109.11242
99.6,135.56848
99.5,124.48545
99.4,92.68022
99.3,84.635475
99.2,80.767707
99.1,65.605302
99.0,58.843077
98.9,54.707554
98.8,56.465312
98.7,55.144929
98.6,62.927249
98.5,58.150741
98.4,50.792224
98.3,52.411228
98.2,54.299803
98.1,54.465219
98.0,51.924577
97.9,53.520076
97.8,51.220446
97.7,65.199071
97.6,63.520899
97.5,55.952106
97.4,54.895984
97.3,56.13645
97.2,54.047994
97.1,61.331765
97.0,58.311117
