BE,counts/s
114.0,108.56615
113.9,94.154994
113.8,104.17809
113.7,88.148759
113.6,83.544832
113.5,95.853412
113.4,98.569419
113.3,98.451883
113.2,86.86859
113.1,82.142472
113.0,85.764552
112.9,89.759126
112.8,85.311796
112.7,93.38497
112.6,93.312204
112.5,89.147716
112.4,79.824414
112.3,76.328135
112.2,79.95781
112.1,86.359694
112.0,79.273966
111.9,84.905778
111.8,82.416812
111.7,88.621023
111.6,89.756141
111.5,79.51489
111.4,77.260255
111.3,83.417982
111.2,84.913355
111.1,75.678952
111.0,64.983773
110.9,82.065715
110.8,81.426492
110.7,71.955403
110.6,74.826685
110.5,72.297391
110.4,67.712181
110.3,73.997622
110.2,77.449398
110.1,74.923278
110.0,80.592349
109.9,72.263191
109.8,79.121821
109.7,71.553705
109.6,63.079168
109.5,81.229152
109.4,79.257007
109.3,76.474816
109.2,73.27391
109.1,73.358687
109.0,64.701144
108.9,58.454437
108.8,59.748913
108.7,62.565257
108.6,62.112099
108.5,59.105792
108.4,53.557391
108.3,68.570413
108.2,67.845404
108.1,61.214089
108.0,58.781671
107.9,58.288467
107.8,58.489467
107.7,59.496219
107.6,57.23559
107.5,66.785628
107.4,57.261708
107.3,51.635425
107.2,58.871617
107.1,57.79498
107.0,63.862259
106.9,67.346996
106.8,71.931085
106.7,75.756612
106.6,83.85092
106.5,85.977175
106.4,91.583147
106.3,106.08072
106.2,135.23687
106.1,155.37853
106.0,180.57561
105.9,194.36485
105.8,242.24058
105.7,287.42072
105.6,328.86255
105.5,392.3516
105.4,503.00712
105.3,538.32525
105.2,606.11265
105.1,717.73636
105.0,815.54865
104.9,923.15316
104.8,1002.5266
104.7,1063.7664
104.6,1131.6242
104.5,1128.4283
104.4,1184.1209
104.3,1205.6506
104.2,1201.5949
104.1,1133.3606
104.0,1092.9562
103.9,1050.0378
103.8,1020.461
103.7,927.31067
103.6,866.77957
103.5,789.48724
103.4,702.25558
103.3,622.79655
103.2,569.50197
103.1,515.69623
103.0,458.76053
102.9,408.67403
102.8,341.65649
102.7,308.61232
102.6,284.35343
102.5,252.82763
102.4,211.05023
102.3,206.41584
102.2,173.68427
102.1,162.34972
102.0,128.68426
101.9,121.38309
101.8,117.03741
101.7,102.63282
101.6,95.125355
101.5,103.20685
101.4,103.10901
101.3,98.201042
101.2,83.267274
101.1,80.677666
101.0,103.64281
100.9,86.583333
100.8,88.301186
100.7,83.643301
100.6,91.572884
100.5,90.986201
100.4,96.362878
100.3,111.34359
100.2,114.00357
100.1,151.28999
100.0,157.03109
99.9,155.44462
99.8,158.91549
99.7,181.79263
99.6,172.77245
99.5,196.32296
99.4,202.68844
99.3,198.84841
99.2,163.33428
99.1,141.67109
99.0,120.30372
98.9,92.750779
98.8,74.510946
98.7,55.968763
98.6,49.128269
98.5,34.415795
98.4,37.010342
98.3,41.65813
98.2,38.007674
98.1,38.931451
98.0,41.022327
97.9,38.017312
97.8,34.263299
97.7,26.631651
97.6,40.185217
97.5,44.90825
97.4,39.890438
97.3,42.498041
97.2,42.612574
97.1,39.372872
97.0,34.660632
