BE,counts/s
114.0,61.673904
113.9,67.556738
113.8,62.052948
113.7,61.28318
113.6,62.469917
113.5,65.959369
113.4,69.286215
113.3,52.757917
113.2,48.130536
113.1,46.963776
113.0,50.348131
112.9,57.412612
112.8,60.663994
112.7,58.311025
112.6,54.191932
112.5,52.408838
112.4,53.992455
112.3,61.488104
112.2,56.764359
112.1,53.033991
112.0,45.553689
111.9,41.69429
111.8,53.335395
111.7,51.66117
111.6,53.296313
111.5,53.683792
111.4,50.342829
111.3,54.381578
111.2,47.860499
111.1,55.920366
111.0,48.999211
110.9,44.351888
110.8,44.813326
110.7,47.010929
110.6,50.413682
110.5,54.242226
110.4,54.370433
110.3,52.641933
110.2,55.311099
110.1,58.766539
110.0,50.237347
109.9,47.229443
109.8,47.098408
109.7,40.638406
109.6,42.9174
109.5,32.074047
109.4,35.215313
109.3,44.423245
109.2,41.523669
109.1,42.474922
109.0,33.759629
108.9,36.571939
108.8,34.404323
108.7,34.988011
108.6,38.232295
108.5,36.690183
108.4,40.641154
108.3,37.361677
108.2,45.729185
108.1,44.563414
108.0,50.817427
107.9,52.553083
107.8,41.273407
107.7,52.77648
107.6,55.879617
107.5,46.265536
107.4,52.412046
107.3,56.681165
107.2,61.254901
107.1,87.095178
107.0,95.762023
106.9,98.403705
106.8,131.18464
106.7,133.41941
106.6,149.06416
106.5,208.02311
106.4,235.00213
106.3,261.01079
106.2,297.8355
106.1,345.50746
106.0,405.228
105.9,492.17082
105.8,556.50156
105.7,610.66764
105.6,678.58341
105.5,754.02621
105.4,847.7093
105.3,867.73057
105.2,868.04737
105.1,927.775
105.0,956.83229
104.9,953.26337
104.8,977.00375
104.7,975.59729
104.6,897.75914
104.5,857.84489
104.4,806.97942
104.3,747.97988
104.2,711.40831
104.1,624.75812
104.0,585.32806
103.9,505.79696
103.8,439.59759
103.7,391.73191
103.6,354.74157
103.5,287.30516
103.4,274.57483
103.3,231.57814
103.2,187.36091
103.1,159.79129
103.0,151.18219
102.9,137.06244
102.8,114.78294
102.7,95.705101
102.6,94.211517
102.5,91.553677
102.4,74.581059
102.3,70.263303
102.2,64.492114
102.1,55.303896
102.0,56.830236
101.9,46.931651
101.8,56.064444
101.7,48.407811
101.6,39.714081
101.5,37.203604
101.4,40.988795
101.3,34.842226
101.2,43.489566
101.1,41.643806
101.0,44.899603
100.9,39.575124
100.8,43.585949
100.7,29.651626
100.6,34.453218
100.5,41.082151
100.4,40.689424
100.3,46.009294
100.2,47.553025
100.1,48.063831
100.0,36.454719
99.9,39.176325
99.8,41.994118
99.7,41.992924
99.6,46.022184
99.5,46.458795
99.4,48.300934
99.3,41.435715
99.2,40.159391
99.1,31.31685
99.0,32.10305
98.9,37.890592
98.8,39.598433
98.7,31.344675
98.6,33.943295
98.5,33.156598
98.4,28.971114
98.3,36.951477
98.2,32.013756
98.1,32.253542
98.0,35.28596
97.9,37.60098
97.8,30.160244
97.7,37.254375
97.6,28.892309
97.5,29.381874
97.4,28.29193
97.3,35.325429
97.2,35.023425
97.1,39.046903
97.0,29.333726
