BE,counts/s
114.0,170.18256
113.9,173.72589
113.8,165.99345
113.7,169.80429
113.6,148.01148
113.5,141.68441
113.4,167.40207
113.3,154.47692
113.2,147.79277
113.1,142.16532
113.0,147.73399
112.9,146.24462
112.8,156.09863
112.7,147.6297
112.6,144.51563
112.5,150.14708
112.4,142.81226
112.3,136.70273
112.2,131.39214
112.1,130.3087
112.0,138.08642
111.9,142.88514
111.8,132.24044
111.7,134.94643
111.6,139.30175
111.5,140.04007
111.4,120.68504
111.3,139.05387
111.2,133.84257
111.1,138.52192
111.0,145.34414
110.9,130.73512
110.8,124.66413
110.7,125.14157
110.6,127.37444
110.5,125.17208
110.4,121.04557
110.3,124.12379
110.2,119.73938
110.1,135.75677
110.0,129.91357
109.9,123.08579
109.8,122.67104
109.7,119.51179
109.6,124.02152
109.5,127.21148
109.4,116.00718
109.3,127.70472
109.2,123.27557
109.1,111.57052
109.0,104.27181
108.9,115.89943
108.8,120.63036
108.7,116.38084
108.6,103.78824
108.5,124.23571
108.4,120.86573
108.3,100.35167
108.2,106.5466
108.1,99.003069
108.0,112.69832
107.9,106.4968
107.8,99.834681
107.7,102.30271
107.6,122.41296
107.5,99.818532
107.4,96.722743
107.3,120.08199
107.2,110.41344
107.1,108.71258
107.0,95.739742
106.9,109.5445
106.8,110.25723
106.7,97.465682
106.6,103.35592
106.5,100.91566
106.4,94.37542
106.3,97.315411
106.2,98.864255
106.1,99.357818
106.0,112.11947
105.9,103.74491
105.8,101.12009
105.7,101.44944
105.6,103.72737
105.5,89.848369
105.4,99.574342
105.3,104.83
105.2,108.92363
105.1,86.779077
105.0,95.067268
104.9,108.36367
104.8,95.076698
104.7,105.27196
104.6,106.79198
104.5,108.7114
104.4,114.53025
104.3,105.21641
104.2,118.47628
104.1,143.64155
104.0,150.29823
103.9,142.16146
103.8,181.37929
103.7,164.42723
103.6,167.74477
103.5,167.82946
103.4,174.96234
103.3,187.71813
103.2,195.73912
103.1,188.83224
103.0,197.35771
102.9,219.62934
102.8,230.69659
102.7,236.564
102.6,254.03686
102.5,245.97731
102.4,255.89862
102.3,265.8723
102.2,250.17319
102.1,270.58426
102.0,284.45713
101.9,274.66337
101.8,287.00068
101.7,286.6951
101.6,282.76208
101.5,295.60225
101.4,310.78805
101.3,325.62119
101.2,335.52557
101.1,337.02186
101.0,332.77138
100.9,330.50869
100.8,358.13163
100.7,396.94081
100.6,433.06582
100.5,482.43453
100.4,523.90404
100.3,584.58044
100.2,687.64552
100.1,715.35483
100.0,856.07976
99.9,887.40296
99.8,924.90163
99.7,963.27971
99.6,1016.2142
99.5,1043.7531
99.4,1066.8696
99.3,1038.5082
99.2,927.55363
99.1,813.43486
99.0,636.30353
98.9,451.26559
98.8,302.88992
98.7,208.01748
98.6,128.5173
98.5,80.078079
98.4,45.515842
98.3,56.785897
98.2,47.697656
98.1,48.310636
98.0,36.327046
97.9,39.755879
97.8,41.269283
97.7,34.49097
97.6,28.618249
97.5,29.765316
97.4,32.83519
97.3,38.752116
97.2,29.048045
97.1,32.249024
97.0,26.974671
