BE,counts/s
114.0,363.64231
113.9,366.23366
113.8,347.14171
113.7,362.28775
113.6,361.26993
113.5,346.17304
113.4,350.8204
113.3,333.08852
113.2,328.53269
113.1,349.46453
113.0,355.79104
112.9,333.94926
112.8,312.10063
112.7,316.78536
112.6,311.91617
112.5,302.60538
112.4,286.45091
112.3,292.96823
112.2,282.83983
112.1,292.62831
112.0,299.68216
111.9,303.41167
111.8,305.51766
111.7,265.80091
111.6,283.69047
111.5,283.51286
111.4,252.98379
111.3,283.53348
111.2,261.64351
111.1,246.65404
111.0,258.50689
110.9,253.45536
110.8,268.53352
110.7,254.68326
110.6,217.17712
110.5,242.41341
110.4,250.57155
110.3,253.92538
110.2,262.55986
110.1,228.77316
110.0,221.43186
109.9,218.5113
109.8,238.69101
109.7,230.46162
109.6,217.80711
109.5,228.07837
109.4,227.87749
109.3,224.36953
109.2,223.22279
109.1,212.28288
109.0,219.56936
108.9,200.42154
108.8,223.25553
108.7,226.9904
108.6,210.87528
108.5,190.10461
108.4,211.54809
108.3,200.69447
108.2,208.73033
108.1,205.72275
108.0,212.25176
107.9,188.15092
107.8,197.78658
107.7,190.44435
107.6,199.29923
107.5,218.76386
107.4,217.58211
107.3,195.34868
107.2,194.83405
107.1,184.17265
107.0,188.44355
106.9,160.3932
106.8,180.42975
106.7,163.05357
106.6,175.48286
106.5,183.61334
106.4,173.94984
106.3,175.54221
106.2,184.74002
106.1,182.09885
106.0,183.34912
105.9,195.02558
105.8,180.10403
105.7,177.02225
105.6,176.08218
105.5,180.73141
105.4,176.42687
105.3,178.33077
105.2,189.73422
105.1,195.35564
105.0,188.49709
104.9,174.8834
104.8,186.79348
104.7,182.89288
104.6,169.76599
104.5,176.10323
104.4,161.15929
104.3,172.51186
104.2,155.49424
104.1,179.69144
104.0,169.50326
103.9,180.24923
103.8,186.71728
103.7,169.68891
103.6,167.01149
103.5,171.05015
103.4,171.87584
103.3,166.02921
103.2,175.31645
103.1,171.90255
103.0,169.69882
102.9,176.01396
102.8,171.32657
102.7,161.24816
102.6,193.83534
102.5,193.79821
102.4,183.64347
102.3,170.6294
102.2,176.46061
102.1,181.08008
102.0,191.01877
101.9,189.41236
101.8,195.53123
101.7,200.05195
101.6,207.42875
101.5,223.13192
101.4,239.02945
101.3,244.16907
101.2,246.2748
101.1,278.59727
101.0,354.08015
100.9,378.54806
100.8,425.14449
100.7,459.08959
100.6,522.12321
100.5,582.38951
100.4,752.36775
100.3,929.98567
100.2,1198.6181
100.1,1510.2428
100.0,1814.9737
99.9,2124.9812
99.8,2413.1104
99.7,2529.7695
99.6,2733.5304
99.5,2924.5836
99.4,3158.6779
99.3,3324.0852
99.2,3296.5719
99.1,3077.4784
99.0,2602.7929
98.9,1897.9408
98.8,1290.9661
98.7,798.79164
98.6,455.74274
98.5,272.92467
98.4,163.15675
98.3,133.47536
98.2,97.362993
98.1,69.202454
98.0,55.456948
97.9,59.097118
97.8,61.746714
97.7,56.393858
97.6,55.96216
97.5,48.123485
97.4,52.661845
97.3,43.707961
97.2,40.771077
97.1,45.742983
97.0,45.722205
