BE,counts/s
114.0,59.761685
113.9,55.733903
113.8,55.769096
113.7,67.349567
113.6,70.161724
113.5,54.933181
113.4,55.569163
113.3,69.323272
113.2,64.71487
113.1,58.315764
113.0,70.598313
112.9,60.729763
112.8,59.712971
112.7,68.311627
112.6,61.681475
112.5,58.231428
112.4,61.114926
112.3,59.084275
112.2,69.442192
112.1,60.89558
112.0,58.362456
111.9,54.51392
111.8,64.37131
111.7,60.504125
111.6,57.899438
111.5,59.267009
111.4,62.308045
111.3,55.91219
111.2,56.523421
111.1,53.284467
111.0,49.185576
110.9,52.278946
110.8,54.521415
110.7,55.766041
110.6,65.11506
110.5,58.795066
110.4,44.643952
110.3,50.570915
110.2,51.501994
110.1,48.627835
110.0,47.979833
109.9,54.25091
109.8,51.320383
109.7,50.533513
109.6,47.226513
109.5,48.95002
109.4,53.947647
109.3,46.073823
109.2,52.180487
109.1,44.663651
109.0,49.549597
108.9,47.420665
108.8,49.849116
108.7,45.624114
108.6,34.161539
108.5,37.07537
108.4,42.858892
108.3,45.020756
108.2,49.12239
108.1,46.543582
108.0,45.121137
107.9,55.88808
107.8,62.382841
107.7,56.448162
107.6,55.94236
107.5,60.676367
107.4,57.543299
107.3,60.344491
107.2,68.872376
107.1,80.850957
107.0,99.436221
106.9,106.88616
106.8,146.21679
106.7,144.98191
106.6,176.43945
106.5,213.77999
106.4,242.50483
106.3,281.78258
106.2,340.91148
106.1,409.26193
106.0,488.70441
105.9,546.17597
105.8,618.17839
105.7,714.45654
105.6,808.37562
105.5,835.24436
105.4,881.74922
105.3,1003.9213
105.2,1016.3472
105.1,1024.1591
105.0,1067.3657
104.9,1109.2477
104.8,1141.2404
104.7,1080.8098
104.6,1058.9995
104.5,1015.1675
104.4,971.12291
104.3,936.85068
104.2,853.27459
104.1,784.05901
104.0,652.30319
103.9,604.90963
103.8,532.96336
103.7,468.46574
103.6,400.13535
103.5,380.48296
103.4,329.68093
103.3,259.70102
103.2,228.72346
103.1,190.62468
103.0,174.77622
102.9,161.50323
102.8,143.35621
102.7,108.49916
102.6,115.31275
102.5,99.505647
102.4,82.137827
102.3,76.332188
102.2,67.219926
102.1,60.603868
102.0,59.578679
101.9,57.23365
101.8,62.001488
101.7,57.429554
101.6,63.587448
101.5,59.759405
101.4,61.104922
101.3,57.418584
101.2,51.719276
101.1,53.235742
101.0,51.977898
100.9,59.169664
100.8,42.974461
100.7,50.402427
100.6,52.039676
100.5,51.47439
100.4,47.424243
100.3,47.926707
100.2,57.858502
100.1,64.054167
100.0,56.949245
99.9,46.664299
99.8,48.759649
99.7,55.20041
99.6,55.964088
99.5,53.162078
99.4,62.608533
99.3,60.097633
99.2,48.932497
99.1,35.644979
99.0,35.125239
98.9,35.449675
98.8,51.082807
98.7,41.769709
98.6,38.214112
98.5,49.089401
98.4,46.207681
98.3,42.941507
98.2,33.55321
98.1,32.791481
98.0,39.756497
97.9,45.945715
97.8,38.434886
97.7,32.345011
97.6,38.800287
97.5,35.311202
97.4,37.124284
97.3,44.342179
97.2,38.418503
97.1,48.413666
97.0,43.398337
