BE,counts/s
114.0,147.74547
113.9,181.17022
113.8,176.09777
113.7,177.37558
113.6,161.57078
113.5,161.61507
113.4,151.26929
113.3,154.32184
113.2,167.80346
113.1,143.10649
113.0,153.39809
112.9,163.25958
112.8,147.48852
112.7,149.17499
112.6,151.83753
112.5,136.33119
112.4,139.34965
112.3,151.0964
112.2,147.42594
112.1,145.9748
112.0,137.36035
111.9,109.53428
111.8,134.40614
111.7,120.25325
111.6,125.79564
111.5,121.7085
111.4,141.80171
111.3,129.40582
111.2,136.30412
111.1,139.99031
111.0,150.64658
110.9,125.92857
110.8,127.15083
110.7,117.45543
110.6,119.73993
110.5,119.54272
110.4,107.04251
110.3,99.079524
110.2,122.6035
110.1,117.27551
110.0,113.36766
109.9,115.83106
109.8,117.47456
109.7,109.73601
109.6,108.70842
109.5,105.65425
109.4,115.65182
109.3,104.73147
109.2,112.00625
109.1,103.69677
109.0,110.18368
108.9,95.460917
108.8,105.49363
108.7,108.27467
108.6,105.20675
108.5,94.776963
108.4,100.21176
108.3,96.870359
108.2,91.081871
108.1,88.282952
108.0,88.49335
107.9,81.458639
107.8,100.95801
107.7,99.811944
107.6,91.771283
107.5,92.718395
107.4,91.31722
107.3,86.899432
107.2,95.605385
107.1,80.846966
107.0,88.673939
106.9,91.340663
106.8,97.010402
106.7,89.71067
106.6,71.903758
106.5,77.943275
106.4,76.705918
106.3,75.904845
106.2,72.461787
106.1,75.944307
106.0,88.608314
105.9,88.809865
105.8,80.142276
105.7,84.232966
105.6,78.631522
105.5,86.648223
105.4,76.121905
105.3,84.537653
105.2,77.10033
105.1,87.898548
105.0,85.746226
104.9,81.664598
104.8,73.827757
104.7,79.501741
104.6,92.537187
104.5,87.998181
104.4,83.194604
104.3,77.384754
104.2,86.600724
104.1,85.690746
104.0,90.43413
103.9,72.088048
103.8,69.846542
103.7,70.3394
103.6,71.284947
103.5,78.139913
103.4,68.434353
103.3,66.539431
103.2,83.29849
103.1,78.212986
103.0,70.239578
102.9,79.093571
102.8,78.015374
102.7,69.388489
102.6,73.123958
102.5,78.490995
102.4,65.699067
102.3,73.547263
102.2,69.004628
102.1,71.064414
102.0,74.187963
101.9,75.876728
101.8,84.382302
101.7,96.948983
101.6,91.886864
101.5,92.084224
101.4,87.134308
101.3,98.773314
101.2,107.23571
101.1,110.77035
101.0,135.29664
100.9,143.35146
100.8,171.37112
100.7,194.97484
100.6,223.08702
100.5,261.73332
100.4,308.50211
100.3,425.05952
100.2,498.92386
100.1,639.36678
100.0,759.22628
99.9,930.78387
99.8,1011.2599
99.7,1109.1198
99.6,1237.1767
99.5,1275.8501
99.4,1335.9207
99.3,1363.9289
99.2,1391.0528
99.1,1308.165
99.0,1104.1534
98.9,872.427
98.8,635.23845
98.7,413.10101
98.6,279.85985
98.5,159.64101
98.4,98.021301
98.3,64.66072
98.2,50.587721
98.1,45.337103
98.0,42.254947
97.9,31.269395
97.8,30.573252
97.7,30.817043
97.6,33.880202
97.5,26.079474
97.4,28.584773
97.3,29.418257
97.2,25.678205
97.1,22.515255
97.0,19.666328
